title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
毛泽东传（全6卷）,2012-04-01 00:00:00,人物传记-军政领袖,本书的主要依据是中央档案馆保存的毛泽东同志的文稿、电报、书信、讲话记录和他所参加会议的大量记录；同时，参考了同毛泽东同志有过直接接触的同志的访问记录、回忆录和当时的报刊资料。力求根据丰富而可靠的第一手资料，写出比较翔实的信史。,32,912,0,60,https://wfqqreader-1252317822.image.myqcloud.com/cover/906/23640906/s_23640906.jpg
邓小平时代,2012-11-01 00:00:00,人物传记-军政领袖,美国哈佛大学傅高义教授倾十年心力完成的权威巨著《邓小平时代》，是对邓小平跌宕起伏的一生以及中国惊险崎岖的改革开放之路的全景式描述。作者对邓小平个人性格及执政风格进行了深层分析，并对中国改革开放史进行了完整而独到的阐释。书中涵盖丰富的中外档案资料和研究成果，以及为数众多的作者独家访谈。对中美建交、华国 锋历史评估、改革开放的幕后曲折、邓小平和诸多当时关键人物之关系、香港问题、邓小平南巡等重大议题均有详述及剖析。本书既具学院研究的严谨专精，又对中国现实政治与事理人情有透彻把握，被誉为邓小平研究“纪念碑式”的著作。,9,903,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/48/674048/s_674048.jpg
毛泽东传：名著珍藏版（插图本）,2010-08-01 00:00:00,人物传记-军政领袖,美国著名学者兼记者、作家罗斯·特里尔的名著《毛泽东传》，是西方数百种毛泽东传记中最受推崇、最畅销的作品之一。自登陆中国以来，已累积畅销近两百万册，在国内引起了巨大的反响。该书不仅体现出作者对于历史事件高度的敏感性，而且也渗透着政治学视角的理论穿透力，对于人物的情景分析更是出神入化，引导读者体味“故事”背后的时代困惑。本次推出的珍藏版，对原著进行了更为细致和忠实的再现，并增加了二十多幅精美珍贵的照片。它必将推动国内当下的毛泽东研究热潮的继续深化，使人们看到一个从这种独特的角度描述和阐释的毛泽东，从而开阔视野，受到启发，并以自己个人的眼光、经历、立场出发，重新去理解、认识和评价毛泽东。,8,772,0,41,https://wfqqreader-1252317822.image.myqcloud.com/cover/910/785910/s_785910.jpg
乾隆皇帝（全集）,2009-09-01 00:00:00,人物传记-军政领袖,清帝小说鼻祖”二月河重磅力作。时年二十五岁的乾隆继位。他胸怀大志，一心开创大清盛世。他坚持推行“以宽为政”的施政方略，革除前朝苛政。重视直臣能吏，简拔新秀，整顿吏治，对贪官污吏严加惩处。他励精图治，蠲免赋税，使民休养生息，并不断微服私访，体察民情，派能吏赈灾济民，杜塞乱源。先后进军大小金川、西域和台湾，平息叛乱。让纪昀主修《四库全书》，以收束笼络天下士子之心。乾隆朝逐步走向生业滋繁的隆盛之世。但与此同时，土地兼并矛盾愈演愈烈，官场贪贿荒淫糜烂不堪，且边患不已，危机四伏，树大中空，加上晚年乾隆好大喜功，多有失政，又任用和珅等佞臣，黜退贤良，国势逐渐江河日下。,69,823,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/247/843247/s_843247.jpg
我的前半生（全本）,2021-01-22 00:00:00,人物传记-军政领袖,他名为皇帝，却无家无国；他坐拥九重宫苑，但这宫苑并不属于他；他有自己的新娘，却没有自己的家。他是爱新觉罗·溥仪，中国最后一个皇帝。从登上帝位的那一天起，他的人生注定与众不同。由帝王沦为傀儡，由战犯转为平民，他的一生沧桑巨变，历经荣辱浮沉。帝国黄昏，满宫残照，斯人已去，一切尽归平淡。翻开本书，让我们走进末代皇帝的内心世界，感受时代洪流下个人的命运浮沉。,25,795,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/971/35992971/s_35992971.jpg
普京传,2017-01-01 00:00:00,人物传记-军政领袖,"在人们的眼中，普京是世界上富有魅力的总统。他精通柔道功夫，酷爱枪法，会开飞机，喜欢搭乘潜艇，上天入地，劈波斩浪，纵横驰骋……他从叶利钦身边的红人一跃到自己入主克里姆林宫；在走下总统宝座后又一次王者归来……他也是俄罗斯历史上经历传奇的领袖人物，他那机智、坚定而且强势的性格令无数人为他折服，他曾在公开场合不止一次地说：“给我20年，还你一个奇迹般的俄罗斯。”他是俄罗斯民众口中的“上帝派来拯救俄罗斯的伟大使者”。普京以他非凡的能力和超强的魅力赢得了无数俄罗斯人的支持和崇拜。《普京传》是一部对普京个人经历及其执政生涯的全面记录，它将告诉你关于普京的一切。
",27,721,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/771/931771/s_931771.jpg
中国皇帝全传（超值白金版）,2011-11-01 00:00:00,人物传记-军政领袖,本书汇集了四百余位皇帝的全传，上起秦始皇，下至溥仪，大体反映了历代封建王朝帝王的概貌。本书图文并茂，可读性强，可以让读者便捷、轻松地了解每一个皇帝的生平故事。,18,719,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/693/842693/s_842693.jpg
为什么是毛泽东,2019-05-01 00:00:00,人物传记-军政领袖,《为什么是毛泽东》以时间为线索，讲述了毛泽东的开蒙、求学过程，以及他经历的一系列重大事件，直至建立了一个伟大的共和国。作者没有将更多的笔墨着眼于对诸多历史事件的细致描述或是揭示秘闻上，而是将重点放在分析毛泽东为什么能够获得成功上，试图探讨他诸多重大决策背后的深意。弄清了这些问题，也就不难明白，为什么中国的最高领袖会是毛泽东，而不是有钱有枪的蒋介石，也不是那些拥有更高学历、更大声望的人，比如周恩来，比如陈独秀。历史无法重演，伟人更加无法复制，但我们仍不会放弃学习他，研究他，因为哪怕我们从他身上只学到了一点皮毛，就足以让我们游刃于战场、商场、名利场。毕竟，站在巨人的肩膀上思考，也许能让我们离成功更近一点。,10,888,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/557/424557/s_424557.jpg
蒋介石与现代中国,2012-07-01 00:00:00,人物传记-军政领袖,前美驻华外交官、哈佛学者、《蒋经国传》作者陶涵力作，完整引用蒋介石日记的传记。杨天石作序，史景迁推荐。一九四九年两岸分治，此后蒋介石的历史评价始终摆脱不掉“丢掉中国的人”。其专制性格，加上白色恐怖的印象，也似乎掩盖了他的复杂功过。然而蒋介石是唯一在中国大陆与台湾都曾掌权的政治领袖，终其一生不断参与具世界影响力的政治事件，且其时间长度近代少有人能及。蒋介石的一生牵动着现代中国的挣扎以及世界局势的复杂变换。,10,749,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/671/635671/s_635671.jpg
苏东坡传（图文典藏版）,2018-02-01 00:00:00,人物传记-军政领袖,苏东坡虽文章闻名天下，仕途却历尽艰辛，屡遭迫害，但他终不改乐观的天性。他一生融儒、释、道于一体，诗、文、词、书、画俱在才俊辈出的宋代登峰造极。他政绩卓著，爱民如子，文韬武略兼备，发展慈善事业，创办公立医院，堪比和煦春阳，带给世界无尽生机和温暖。他襟怀苍生，却无奈生活寄于风雨，岁月失于道路，命运困于党争。他波澜壮阔的一生早已没入历史的尘埃，而他所表现出的伟大人格与社会良心，直至今天仍熠熠生辉。林语堂笔下的苏东坡，性格鲜明，形象饱满，可亲可敬，堪称人世间完美的理想人格。,10,814,0,33.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/112/927112/s_927112.jpg
