title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
傅雷家书,2016-07-01 00:00:00,人物传记-学者,本书是傅敏先生对这部当代经典的最新修订，以傅雷夫妇为主线，傅聪信以附录形式收入。编排上更重视傅雷家书的思想性和丰富性，对傅家父子之间关于音乐、文学等艺术，为人处世的人生哲学，以及对文学艺术名家的讨论等都尽量忠实收录，是更厚重、更原汁原味的傅雷家书。基于家书完整著作权的独占性，本书情节完整，背景清晰，人物鲜明，好看感人。贯穿全书的傅雷家人照片和家书墨迹与内容相辅相成，拉近了家书与读者的距离，迥别于其他内容不完整的选编本。,14,868,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/919/840919/s_840919.jpg
维特根斯坦传：天才之为责任,2011-06-01 00:00:00,人物传记-学者,《维特根斯坦传:天才之为责任》是哲学家维特根斯坦的生平传记。与其他相关传记不同的是，《维特根斯坦传:天才之为责任》较多的设计到维特根斯坦的生活和个性方面，因而不只是维特根斯坦的研究者，普通对哲学感兴趣的读者也能从中获得丰富、深入的阅读体验。媒体推荐蒙克的《维特根斯坦传》丰富、深入、好读，公认为维特根斯坦的最佳传记，在我看，实是思想家传记中少见的佳作，不仅向我们展现了这位伟大思想家的深刻的灵魂生活，而且有助于我们理解他的哲学思想。译者王宇光中英文俱佳，不辜负原著。——陈嘉映蒙克的这本传记运笔深透，对普通读者也丰盛可口……一个美妙生命的一幅美妙肖像。——《卫报》,12,820,0,38.71,https://wfqqreader-1252317822.image.myqcloud.com/cover/993/932993/s_932993.jpg
陈寅恪的最后二十年,2013-09-01 00:00:00,人物传记-学者,《陈寅恪的最后20年（修订本）》为陈寅恪先生后半生（1949-1969年）的传记。陈先生学贯中西，文史兼通，学术研究有很高的境界。他一生潜心学问，不求显达，深为国内外学人敬重。《陈寅恪的最后20年（修订本）》根据大量档案文献和第一手的采访资料，详尽描绘了陈先生生命最后二十年的坎坷经历，披露了许多鲜为人知的史实。《陈寅恪的最后20年（修订本）》为读者打开了一段尘封的历史，从陈先生的生存状态和人际关系入手，探索了他的内心世界，并以此分析、诠释了陈先生晚年作品的内涵，提出了不少颇有说服力的见解。这部也许沉重的作品，能给读者许多启示。《陈寅恪的最后20年（修订本）》1996年初版。此次修订再版，作者参考了近年发现的新材料。新研究，在“时代与入”的一些节骨眼上，新注入近年治学的思考与心得，并补入当年尚未知晓的一些重要史迹。,9,934,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/109/40442109/s_40442109.jpg
绝非偶然,2012-09-01 00:00:00,人物传记-学者,"《绝非偶然:社会心理学家阿伦森自传》的作者埃利奥特?阿伦森是二十世纪最杰出的心理学家之一，曾荣获美国心理协会全部三项大奖：杰出教学奖、杰出著作奖、杰出研究奖。他所著的《社会性动物》被誉为“美国社会心理学的《圣经》”。
一个性格腼腆、资质平平的小男孩，在无财无势的家庭中长大，如何成为举世闻名的社会心理学家？年少时哈佛大学望洋兴叹的“笨小子”，十年后竟成为哈佛大学教授？在《绝非偶然:社会心理学家阿伦森自传》一书中，阿伦森用自己的经历阐明了社会心理学的真义：无论个人还是社会，都可以向好的方向发展，一个人可以不受儿时不愉快经历和个性缺陷的束缚，通过自我完善成就可能的自我。
此外，作者在书中详述了社会心理学许多最具代表性的实验，从理论假设到实验过程再到最后的结论分析，每一步都清晰可见。如果你对社会心理学实验和理论感兴趣，《绝非偶然:社会心理学家阿伦森自传》无疑是一顿饕餮大餐。",13,883,0,14.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/337/713337/s_713337.jpg
黄河青山：黄仁宇回忆录（精装版）,2015-08-01 00:00:00,人物传记-学者,书是作者的回忆录，从作者早年的从军经历到壮年时期在美国打工、求学、无所不包；本书又是一部眼光非凡的“大历史”，检讨中国近代革命，统摄几千年的中国历史进程；黄仁宇传递给我们他脱胎于悠久文化的壮阔史观，即使他对此文化不无批评之处。他的文字浅显明白，就算毫无背景的人也读得懂。黄仁宇的回忆录共有36万字篇幅，自述生平经历与学术研究经验，并具小说叙述的技巧。全书定名为《黄河青山》（Yellow River and Blue Mountains）；分为两大部分：“自己的浴室”、“我所付出的代价”；书前并有多幅珍贵的个人及历史照片。,9,759,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/991/840991/s_840991.jpg
我的心是一面镜子（精装珍藏版）,2016-01-01 00:00:00,人物传记-学者,本书是季羡林对自己百年学问人生的回忆与记述，他将自己的心比作一面镜子，是一位百岁老人对中国近一个世纪的真实见证。,9,807,0,13.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/182/22515182/s_22515182.jpg
哈耶克传,2014-04-01 00:00:00,人物传记-学者,"    《哈耶克传》完整记录了哈耶克思想发展轨迹及其代表作《通往奴役之路》和其他作品的创作过程、目的及影响力。通过哈耶克的一生，向我们全面展示了其关于市场经济及自由主义的观点，如何深刻影响了20世纪及当前社会的经济发展进程。
",20,859,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/884/635884/s_635884.jpg
身在浮世，心向清欢,2018-07-01 00:00:00,人物传记-学者,这本书里，有着26位唐宋文人传奇的一生，以及他们的185首（篇）传世作品。26位文人的生平轶事里，有历史，有政治，有战争，有风俗，让你对一千年前那个充满魅力的时代和那群站成不朽的人们有一个全新而完整的认识。而那185首（篇）作品，作者带着自己的一腔热情和感动，结合当时的时代背景和诗人的经历，跨越时空将它们娓娓道来。,4,903,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/567/22689567/s_22689567.jpg
最贤的妻，最才的女：杨绛传,2014-08-01 00:00:00,人物传记-学者,"本书作者以温暖的笔触叙写了文学大师杨绛先生的百年人生——风风雨雨，有起有伏、有悲有喜。内容主要涉及：杨绛先生童年的成长、家庭的变迁、求学历程，以及她同钱钟书半个多世纪相濡以沫的爱情，从而描摹出一位博学、睿智、宽容、淡定、从容、坚强和韧性的奇女子。此外，杨绛先生对抗战火、疾病、政治风暴、生离死别的态度，堪称生命的正能量。翻开《最贤的妻，最才的女：杨绛传》，你将看到一串串精彩的故事，经受一次次精神的洗礼。
",5,869,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/687/456687/s_456687.jpg
断臂上的花朵：人生与法律的奇幻炼金术,2014-09-01 00:00:00,人物传记-学者,南非种族和解、社会转型的关键人物、铺就南非法治之路的萨克斯大法官一生的传奇与回忆。南非宪法可以说是世界上最先进的宪法。作为宪法法院法官，萨克斯以其特殊的个人经历与对宪法深刻而又温情的解读，剖析各种跨族群、跨国界的司法争议，确保每一个人，不论善恶，都能享有新宪法保障的基本权利，并获得真正的自由。书中处处可见他对“人性尊严”的坚守。他期盼种族大和解、为弱势族群的权利据理力争、统合法律论辩与人文关怀、笃信“人就应当被当人对待”的理念。正是这些努力，使南非这片被认为不可能孕育宪法正义的土地生发出了“人性尊严、平等、自由等最先进的思想”，从而实现了社会转型。,7,733,0,34.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/752/857752/s_857752.jpg
