title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
中医入门公开课：名师讲授从零开始学懂中医,2019-01-02 00:00:00,医学健康-医学,本书共分4篇60章，涵盖中医入门基础学、诊法辨证学、本草方剂学、疾病证治学等内容，对中医理、法、方、药理论体系和临床常见疾病的中医辨治作了通俗易懂的介绍，并附有《医学三字经》《濒湖脉学》《药性歌括四百味》《汤头歌诀》等中医入门必读歌诀。,10,831,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/269/26535269/s_26535269.jpg
病人家属，请来一下（译文科学）,2021-09-01 00:00:00,医学健康-医学,家人得了癌症，我该怎么办？如何选择合适的医院和医生？如何跟医生有效沟通？要不要告诉家人他得癌症了？癌症病人饮食有哪些禁忌？工薪阶层该如何有效应对癌症带来的经济压力？什么时候该放弃治疗？临终关怀该怎么做？本书是一名临床经验丰富的肿瘤科主治医生为癌症病人家属写的书，作者通过一个个生动真实的故事，以幽默诙谐而不乏温情的叙述，解答了癌症病人及家属广泛关注的困惑和问题：如何正确就医？如何与医生交流？如何决定合理的治疗方案，少走冤枉路、少花冤枉钱？如何正确看待癌症？怎样调整生活方式和心态？掌握哪些护理技巧可以帮助患者减轻痛苦、早日康复？如果大限来临，应该做些什么准备？……作者王兴，北京大学肿瘤学博士。先后任北京大学肿瘤医院胸外科主治医师、上海市肺科医院胸外科博士后、上海市第一人民医院胸外科主治医师。长期受邀担任中央电视台《健康之路》节目明星演示嘉宾。荣获《健康报》2017年度“健康传播影响力人物”称号。已出版作品有《肺话》《怪医笔记》《癌症病人怎么吃》《胸腺外科学》（英文版）等，其中《癌症病人怎么吃》还出版了繁体中文版。,31,962,0,31.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/695/41396695/s_41396695.jpg
知己,2018-08-01 00:00:00,医学健康-医学,如今，人们对于自己的身体健康越来越重视，养生已经不再是中老年人的专利，很多90后早已加入了养生的行列。但泡枸杞、上健身房就是对身体好吗？著名中医专家、《黄帝内经说什么》作者徐文兵先生说，人只有先认识、了解自己的肉身、灵魂、意志、性命，才谈得上顺养心性、保障安康。在他的新书《知己》中，徐文兵先生从首到趾，详解了人体49个身体部位及4种体液的运行奥秘。帮助我们了解自己身体每个部位、每个器官的功能、特性，以及它们对于健康的意义。《知己》延续了徐文兵先生经典作品《字里藏医》的叙述风格，每章以中医最基本的词汇入手，追溯字词背后的历史典故、文化内涵，使读者在了解中医健康知识的同时，领略国学的风采。先恢复自知再恢复自觉，是我们现代人所需要的。,9,874,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/249/23691249/s_23691249.jpg
皮肤的秘密,2019-02-01 00:00:00,医学健康-医学,皮肤，是人体最大但常被忽略的“器官”，它是与外界沟通、联系的桥梁，也所有器官抵御外界伤害和刺激的最佳战友，更能与多种器官合作來维持人体的运转。但你可不知道，它竟然也会影响我们的伴侶选择。经验丰富的作者企图将这些知识以浅显易懂的样貌呈呈现大众。,26,687,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/682/29503682/s_29503682.jpg
协和专家孕产大百科,2016-08-01 00:00:00,医学健康-医学,北京协和医院妇产科、儿科、营养科医生联手打造，专属中国妈妈的怀孕圣经！胎宝宝变化、营养饮食、体重管理、产检、保健、胎教、情绪、运动……40周怀孕全程指导，悉心呵护每一刻！,5,854,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/226/31795226/s_31795226.jpg
生命的反转：急重症科医生手记,2021-06-01 00:00:00,医学健康-医学,一个病症的背后，有很多的可能，面对复杂的病情，医生需要“按图索骥”，对症下药。每一次急诊救治都是一场对疾病种类的逻辑推理。重症医学科中的诊疗过程，有时可以上演一场关乎生命的“大反转”……本书以故事形式，讲述病人在治疗过程中出现的种种疑难症状，以及医生如何像侦探一样，从疑惑不解到抽丝剥茧，综合种种原因，ZUI终得出确诊结果与背后逻辑。对确诊过程中关键症状的发现、紧急状态下的医疗处置及其如何改变了医生的医学认知，或改变了患者的人生命运，进行了细致而发人深省的描写。,24,955,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/520/38636520/s_38636520.jpg
中药功效“快快”记忆法（第3版）,2015-06-01 00:00:00,医学健康-医学,本书分类系统与所选药物以《中药学》九版教材为蓝本，引入谐音联想为主的综合趣味记忆法，可帮助读者很快记住400种常用中药的功效，使读者获得学习乐趣，改变学中药枯燥乏味的观念，从而增强学习的主动性、积极性；为记忆法、教学法研究增添新实例，填补中药科学记忆法的空白。本书可作为参加各类中药学考试学生的辅导用书，也可作为中医药学校教师的教学参考书。,8,856,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/233/918233/s_918233.jpg
中医人生：一个老中医的经方奇缘,2017-12-01 00:00:00,医学健康-医学,《中医人生：一个老中医的经方奇缘》是当代经方研究者娄绍昆医师的一部重要著作。娄绍昆医师多年来致力于仲景学说的临床研究，注重《伤寒论》方证辨证及日本汉方在临床医学中的运用，擅长针灸等外治法与方证辨证内治法相结合治疗疑难病证。作者用浅近平实的笔法来叙述经方医学的丰富内涵，使读者能够轻松地走进中医的大门。作者通过一个个真实鲜活的故事，活龙活现地把一百多个典型病案的诊治经过，全方位地再现在读者的眼前，使读者在不知不觉之中了解到经方医学重经验、重实证的鲜明特色。面向不同层次的读者。可以给喜爱经方的人去魅解惑；可以让临床医师了解不同的诊治思路与疾病治疗的秘诀；也可以给文学者提供一个民间中医师在底层社会摸爬滚打的样本。也是面向没有医学知识但关心自己健康的人群，读者可以从轻松的阅读中发现一种为家人或自己排忧解难的方法。不是一般的回忆录，而是娄绍昆先生思考中医、思考经方的记录。初学中医时的迷茫，百思不得其解时的困惑，遇到良师指点后的豁然开朗，交友切磋学术火花四进时的激动，都在这本书中娓娓道来。,15,915,0,110.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/458/27361458/s_27361458.jpg
实用内科学（第15版）（下）,2017-11-01 00:00:00,医学健康-医学,秉承一贯的“实用”特色，介绍了各种内科疾病和综合征的诊断方法、诊断标准和成熟的治疗方法，并从临床实际出发对各病种有关病因、发病机制、诊断和治疗方面的新发展都尽可能予以反映。将转化医学、整合医学、系统生物学、循证医学的理念融入其中，以及在新证据学基础上，介绍了各种疾病诊疗指南的改进。此外，某些疾病的概念、分类或分期、诊断和治疗已与国际接轨。力求定义准确、概念清楚，从临床实际出发，重点突出诊断与治疗的先进性和实用性，优化临床思维。,47,931,0,174,https://wfqqreader-1252317822.image.myqcloud.com/cover/747/27613747/s_27613747.jpg
实用内科学（第15版）（上）,2017-11-01 00:00:00,医学健康-医学,秉承一贯的“实用”特色，介绍了各种内科疾病和综合征的诊断方法、诊断标准和成熟的治疗方法，并从临床实际出发对各病种有关病因、发病机制、诊断和治疗方面的新发展都尽可能予以反映。将转化医学、整合医学、系统生物学、循证医学的理念融入其中，以及在新证据学基础上，介绍了各种疾病诊疗指南的改进。此外，某些疾病的概念、分类或分期、诊断和治疗已与国际接轨。力求定义准确、概念清楚，从临床实际出发，重点突出诊断与治疗的先进性和实用性，优化临床思维。,76,946,0,174,https://wfqqreader-1252317822.image.myqcloud.com/cover/745/27613745/s_27613745.jpg
癌症·真相：医生也在读,2015-09-01 00:00:00,医学健康-医学,这是一本讲癌症的书，但和你以往见过的该题材的书完全不同。这不是一本“养生秘籍”，不会推荐什么神奇的保健品，但会告诉你，哪些生活习惯能致癌，哪些能防癌。这不是一本“心灵鸡汤”，不会保证任何癌症都是可以战胜的，但会告诉你，哪些癌症治愈率很高，哪些治疗方法是有效的。会告诉你，为什么癌症治疗的第三次革命来了，为什么最近的免疫治疗新药能治愈晚期癌症。这不是一本“癌症生物学”，不会堆砌各种专业词汇，但会让你明白，什么是BRCA基因突变，为什么影星朱莉30多岁就主动切掉了乳房和卵巢。这不是一本“癌症临床指南”，不会指导你如何化疗和放疗，但会让你明白，为什么化疗放疗会有这么多副作用，为什么我们要努力开发新的靶向药物。希望这本书把癌症的一些基本知识明明白白地讲给大家听，知其然，知其所以然。希望患者和家属读完这本书能更好地理解医生的推荐和选择；希望医务工作者读完这本书能更好地知道前沿的药物研究方向和成果；希望科学爱好者读完这本书能了解癌症的本质和社会上癌症热点新闻背后的科学。 希望大家知道癌症的真相，不再恐慌，不再盲从。,14,868,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/614/852614/s_852614.jpg
本草纲目：白话手绘彩图典藏本（2019年新版）,2019-01-01 00:00:00,医学健康-医学,《本草纲目》是举世闻名的博物学巨著，也是中华医库中一部食物养生学和药物学大典，影响后世的食物养疗学，饮食烹饪学、医药学、动物学、种植学，以及400年来人们对日常食物品味的选择。影响中国人400年日常生活，中国药物学的著作！白话文译本，900张全彩手绘插图，一物一图，700多页内文！内附7000多条生活附方，涵盖吃穿住行，适宜男女老少，是居家常用的生活用书。,347,847,0,32,https://wfqqreader-1252317822.image.myqcloud.com/cover/710/23886710/s_23886710.jpg
