title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
文治帝国：大宋300年的世运与人物,2021-05-01 00:00:00,历史-历史地理,本书按照时间顺序，从陈桥兵变，写到崖山王国，用34个人物串起两宋大事件，包括开国、北伐、文化盛况、党争漩涡、靖康之变、南渡偏安、崖山亡国等历史。全书结构清晰、文章耐读，适合普通读者梳理宋史脉络，了解宋朝人物。,14,855,0,39.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/173/38119173/s_38119173.jpg
中国历史地理十五讲,2019-04-01 00:00:00,历史-历史地理,大地是人类生存的根基，也是人类活动的舞台，人类依托大地、利用大地、改造大地的行为，成为地理学研究的各个领域。历史地理是研究往昔的地理，《中国历史地理十五讲》涉及历史地理研究的主要领域--疆域、环境、政区、农业、交通、军事、城市等。,19,831,0,38.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/761/24275761/s_24275761.jpg
危险的愉悦：20世纪上海的娼妓问题与现代性,2018-10-01 00:00:00,历史-历史地理,《危险的愉悦》是一部上海娼妓业史话，但它是产生于后结构主义时代的史学著作，得益于20世纪后半叶丰富的理论探索、思想对话与多重视角，作者尤其受到马克思主义、女性主义与社会性别研究、后结构主义、后殖民研究中“下属群体”概念等的影响，将“史料”和自己所生产的“历史”都看作是无比生动的、复杂的、开放的“过程”中的对话、商谈、记忆、建构、创造活动。《危险的愉悦》分五大部分，共15章，论述从晚清到20世纪90年代初100年间，“娼妓”问题在各个层面上如何扭结了民族意识、政治权力关系、商业和经济利益、强国方针、社会改革、民族心理、欲望和恐惧、社会性别构造等等的丰富的语义场，成为相当核心的中国政治、经济、历史和精神文化的象征符号。《危险的愉悦》获得美国历史学会琼·凯利妇女史著作纪念奖，这是历史学会首次将此奖项授予写美国以外地区妇女历史的作者。,25,938,0,29.33,https://wfqqreader-1252317822.image.myqcloud.com/cover/95/27444095/s_27444095.jpg
历史地理学十讲,2020-09-01 00:00:00,历史-历史地理,中国历史地理学巨擘、学科创建人之一史念海经典作品，历史地理学之集大成者，一书尽览祖国河山历史，北大教授辛德勇为恩师倾情作序。本书通俗易懂，妙趣横生，适合大众普及祖国历史地理知识。资料具有极高可靠性，亦可为专题研究提供准确的一手资料。史念海先生是我国现代历史地理学的创始人之一。《历史地理学十讲》汇聚了其学术成果的精粹，以十个专题分别从我国的古今气候、人口迁徙、版图规模、交通运输、城市演变、经济重心等方面厘清历史地理学中的一些基本问题。作者治学严谨，用详实的史料、严密的论证再现了我国古代历史时期地理的发展与沿革，为历史地理学的创建和发展做出重要贡献。,4,752,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/967/36846967/s_36846967.jpg
西藏历史图说,2019-12-01 00:00:00,历史-历史地理,全书共分六章，借鉴西藏史书的写法，以95个故事，讲述西藏从远古到1951年和平解放以来的历史，再加以数百幅图片及其简要说明，全面呈现了西藏自有人类以来的文明发展，从远古时代开始娓娓道来，它既遵循严格的历史逻辑，但又不拘泥于刻板的史书形式，而是穿插了许多生动的历史故事，让人从一个个人物的悲喜命运和一个个恢弘的历史场景中感受西藏历史的发展脉络。,30,827,0,55.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/294/31504294/s_31504294.jpg
文明的地图,2020-11-01 00:00:00,历史-历史地理,张信刚教授对“一带一路”各区域的历史、政治、文化有多年深入研究，并进行了实地考察与寻访。他从丝绸之路的历史变迁、地缘政治、文化脉络等角度展开，从历史与现实、国际与国内两种角度深入剖析“一带一路”的昨天、今天与明天。在他看来，“一带一路”的提出不仅是中国应对全球形势变化、统筹国内国际两个大局的战略构想，也是对丝绸之路的历史与文化传承。同时，他将其个人行走于丝绸之路沿线国家的体验融入书中，并以自身深厚的文化底蕴，将一带一路这一话题描述得生动且充满趣味，我们可以更加生动、形象地感知丝绸之路沿线的人口迁移、文化交融、地缘政治风云、各国历史渊源，以及当今国际形势，更容易把握“一带一路”倡议对中国的文化意义、历史传承和国际影响。无论是对丝绸之路、文明变迁的宏观描述，还是对大中亚、印度、伊朗、高加索、土耳其等地的单独透视，这本书都堪称历史、文化的盛宴。,9,846,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/346/35036346/s_35036346.jpg
一醒惊天下：三星堆古蜀文明,2022-03-11 00:00:00,历史-历史地理,沉睡三千年，一醒惊天下！三星堆遗址的发现，可以说是中国考古史上的一个奇迹。由一个考古遗址的发掘，发现了一个失落的文明，甚至改写了一部文化史。这是一段被湮没的辉煌历史，如此灿烂、神秘、独特，有着许多令人匪夷所思的未解之谜，它正向世人展示着穿越时空的巨大魅力。本书以文学笔法、图文并茂的形式，追溯了三星堆遗址发现和发掘的过程，对三星堆古蜀文明的起源、发展、兴盛、衰亡进行了考证和梳理，并将其与中原及其他地区文明以至西亚古代文明进行了比较研究。,5,741,0,24,https://weread-1258476243.file.myqcloud.com/weread/cover/70/3300016570/s_3300016570.jpg
缠足：“金莲崇拜”盛极而衰的演变,2009-03-01 00:00:00,历史-历史地理,作者跨越了国族主义、女性主义和东方主义的框架，明确地将缠足摆置在时尚史的范畴之中。透过巧妙的叙事策略——先从缠足在现代的消逝过程说起——她将前现代全盛时期的缠足史，设定为一部有关遮蔽的故事，埋藏其中的，是隐密化的源头、隐密化的身体，以及隐密化的意义。层层遮蔽的缠足，有如一道道幻影，当它被呈现为欲望客体的同时，其实也不经意地透露出妇女们的我群认同。,23,875,0,11,https://wfqqreader-1252317822.image.myqcloud.com/cover/73/27444073/s_27444073.jpg
徐霞客游记（译注本）,2020-05-01 00:00:00,历史-历史地理,本书是明代伟大的旅行家、地理学家、史学家、文学家徐霞客所著的一部日记体的中国地理名著。徐霞客在34年旅行中记录下了六十余万字的游记资料，死后由他人整理成《徐霞客游记》。这部书既是地理百科全书，也是一部实录性质的历史著作，还是一部文学名著。具有多方面的科学价值。,7,932,0,9.95,https://wfqqreader-1252317822.image.myqcloud.com/cover/832/37095832/s_37095832.jpg
大萧条时期的中国：市场、国家与世界经济（1929—1937）,2010-03-01 00:00:00,历史-历史地理,1930年代的经济大萧条是一次全球性事件，它深刻地影响了中国现代历史。由于当时各国都已纷纷摆脱银本位，世界货币体系由金本位主导，而中国是当时世界上几乎唯一仍采用银本位的国家，因此当世界上其他国家作为商品的Eh银价格发生波动，就会对中国的金融和经济生产带来直接的冲击。本书通过长江中下游地区棉纺业、缫丝业在大萧条中的表现具体演示了这种传导效应。当终于无法承受这种冲击之时，国民政府不得不积极地进行币制改革，废除银本位。这场由；政府主导的币制改革，从一开始就面临着复杂的国际关系和严峻的国内经济形势的挑战。尽管以摆脱银本位的法币改革初时颇见成效，但外汇储备始终不足、对财政金融管控不力，都为中国经济后来更大的混乱埋下伏笔。,17,909,0,8.33,https://wfqqreader-1252317822.image.myqcloud.com/cover/75/27444075/s_27444075.jpg
