title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
柏杨白话版资治通鉴（全72册）,2020-04-23 00:00:00,历史-历史文化,以史为鉴，知兴替，明得失。柏杨耗时十年，将《资治通鉴》译成现代语言，让一部原本只供帝王将相阅读的史书，飞入寻常百姓家。全书超过1500张地图及宫城图，让读者从图上读懂历史。柏杨查阅史书，增补历朝历代历史名家对相关事件的点评，又以现代人的观点独立撰述“柏杨曰”，使古今对话，思辨激撞，多方面、多角度解读历史事件。随文夹注历史典故、文化常识，标注今地名，帮助读者零基础读懂浩瀚巨著。中国当代文学研究会副会长、北京大学中文系主任陈晓明、中央电视台著名主持人白岩松、著名历史学家唐德刚诚意推荐。,25,877,0,2200,https://wfqqreader-1252317822.image.myqcloud.com/cover/684/31485684/s_31485684.jpg
三国志,2017-01-17 00:00:00,历史-历史文化,《三国志》为西晋陈寿所撰，共六十五卷，其中《魏书》三十卷、《蜀书》十五卷、《吴书》二十卷，主要叙述三国时期的历史，与《史记》、《汉书》、《后汉书》并称“前四史”。南朝宋裴松为之注，引魏晋时人著述两百多种，丰富了陈寿《三国志》文本本身。,21,900,0,44,https://wfqqreader-1252317822.image.myqcloud.com/cover/518/29793518/s_29793518.jpg
血酬定律：中国历史中的生存游戏,2009-04-01 00:00:00,历史-历史文化,本书探讨了不同朝代的性命价格、平民百姓的反抗策略、土匪绑票勒赎的利害逻辑、商贾巨富的抗害手段等主题，深入浅出地为读者说明影响中国历史的终极法则以及社会的形塑原理。作者开创性地提出了“血酬”概念，即流血拼命所得的酬报，及“血酬定律”的三大要点：一、血酬就是以生命为代价从事暴力掠夺的收益。二、当血酬大于成本时，暴力掠夺发生。三、暴力掠夺不创造财富。在暴力掠夺发生时，人类必定权衡成本和收益。成本至少有四类：1、良心。同情心和正义感。2、机会成本。在权衡中，与卖命并列的还有卖力、卖身和卖东西等选项，人们会比较血、汗、身、财的付出与收益。3、人工和物资的消耗。4、暴力对抗带来的风险。无论是暴力镇压，暴力反抗，还是暴力掠夺者之间的竞争，暴力掠夺都要面临一定的伤亡风险。以上四类成本与收益的权衡，每类都能演义出一串历史故事。根据第三个要点，暴力掠夺不创造财富，只能转移财富，这就会引出暴力掠夺者与财富创造者互动的漫长故事。作者吴思为著名历史学者、《炎黄春秋》杂志社原总编辑，代表作有《潜规则：中国历史中的真实游戏》，《血酬定律：中国历史中的生存游戏》、位居近30年来对国人影响最大的图书之列，是了解中国史、中国人和中国社会的必读之书。,8,858,0,7.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/535/823535/s_823535.jpg
国史大纲（全2册）,2011-07-01 00:00:00,历史-历史文化,《国史大纲》是一部中国通史，力求简要，举其大纲，删其琐节。在不到1000页的篇幅里，其人物之详、事业之备，又显示了作者驾驭繁复历史的伟力，整书纲举目张，简繁得当。《国史大纲》纵论中华传统学术思想、政治制度、社会风气之演变发展，兼及中外形势，以求我国家历史之通贯一体，明其治乱盛衰之所由，阐其一脉相承之统系，指陈吾民族生命精神之所寄。钱穆先生著述本书于抗战期间，在国家危亡中，读书人以笔为戎，以“历史最完备之国家”为著述之深厚根基，洋洋洒洒近80万言，荡气回肠，以激扬国人之民族精神，因应现实，更作为抗战建国之镜鉴。,22,897,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/74/23523074/s_23523074.jpg
中国考古探秘纪实丛书（全11册）,2021-09-01 00:00:00,历史-历史文化,“中国考古探秘纪实丛书”是作家岳南等先后在二十年间写成的叙述中国近年来重大考古与发现的探秘纪实系列作品集，作者采用纪实文学的手法，将发掘全程分层铺开，在考古发掘过程融合大量相关的重要历史背景，人物事件之间自如切换，情节生动，引人入胜。还原考古真相，探秘寻幽纪实，带你走进真实的古墓，为读者展现了风云变幻的历史画卷。全套丛书共计11本，分别为：、《风雪定陵——明定陵地下玄宫洞开记》、《复活的军团——秦始皇陵兵马俑发现记》、《越国之殇——广州南越王墓发掘记》、《万世法门——法门寺地宫佛骨现世记》（商成勇、岳南著）、《天赐王国——三星堆与金沙遗址惊世记》、《寻找祖先——“北京人”头盖骨化石失踪记》、《西汉孤魂——长沙马王堆汉墓发掘记》、《日暮皇陵——清东陵地宫珍宝被盗记》、《千古学案——夏商周断代工程解密记》、《旷世绝响——擂鼓墩曾侯乙墓发掘记》、《绝代兵圣——银雀山破译记》。,126,806,0,313.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/643/41159643/s_41159643.jpg
唐朝穿越指南：长安及各地人民生活手册（新版）,2017-08-01 00:00:00,历史-历史文化,如果有一天，您一睁眼发现自己穿越到了唐朝——不要惊慌，来，拿起这本《唐朝穿越指南：长安及各地人民生活手册》：先过了语言关，学几句中古汉语、唐朝国骂；再混进官府食堂开开小灶，品茶喝酒。记住，像穿越小说中那样大大咧咧走在街上，随手拿出纹银几两是会悲剧的，户口本、暂住证一个也不能少。可随旅行团游览长安城最热门的五大景点，顺便逛逛青楼，看看马球，带上豹子去户外狩猎。更可入乡随俗，像个唐朝人一样过端午、春节、七夕情人节。想洋气一点也没问题，圣诞节唐朝就已有！运气好的话，还能受邀去别人家里做个客，唱K、跳舞，乐不思蜀，最后买套占地十亩限价房。如果您是女士，这本指南能使您掌握长安最潮时尚衣饰。万一落地生根，嫁给唐朝人，也能了解婚礼细节，及婚后各种斗小三秘籍。如果您有心混入政界，本书也提供唐朝公务员薪资、法律和政治制度以供参考；无论您想做文官，做武将，还是想穿越成外国来的留学生，攻略都已为您备好。穿越无限好，乐活在唐朝。,13,754,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/332/918332/s_918332.jpg
彩图全解资治通鉴（彩图精装）,2013-09-01 00:00:00,历史-历史文化,《资治通鉴》是我国北宋时期著名史学家司马光主持编撰的一部规模空前的史学巨著，由宋神宗取意“鉴于往事，有资于治道”而亲赐名。无论是在史学史，还是在文学史上，它都占有举足轻重的地位，和司马迁的《史记》并称“史学双璧”。全书卷帙浩繁，共294卷，300余万字，记载了上自周威烈王二十三年（公元前403年），下至后周世宗显德六年（公元959年），共1362年的历史，内容以政治、民事和民族关系方面的重要史实为主，兼及经济、文化和历史人物评价，博大精深，通古今之变，有“网罗宏富、体大思精，为前古之所未有”的美誉，备受历代统治者及文人学士的青睐，视之为必读之书。,15,818,0,5.96,https://wfqqreader-1252317822.image.myqcloud.com/cover/293/813293/s_813293.jpg
中国国民性演变史,2020-05-01 00:00:00,历史-历史文化,本书旨在探讨中国国民性格的演变历程。作者认为，国民性并不是一成不变的，从春秋到唐宋，再到明清，中国人的性格如同瀑布一样，飞流直下，越来越恶化。是落后的制度造成了中国人的劣根性。站在空间与时间的双重视角中，本书可说是一部另类的中国通史，也为中国未来的改造和发展寻找真正的出路。,7,733,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/961/34845961/s_34845961.jpg
中国通史简编,2020-05-01 00:00:00,历史-历史文化,本书由原始公社一直写到鸦片战争，从浩如烟海的历史典籍中选择出真实材料，完整勾勒出古代人民的生活百态，全景概括了工农生产和赋税制度背后的经济问题，精准剖析了古代政治和军事的得失，清楚厘清了学术思想和宗教哲学的交锋与传承，此外还对文学、艺术、外交等方面的发展做出了独到精辟的分析。本书旁征博引、深入浅出、有趣好读，带领读者看清中国历朝历代文治武功成败兴衰的根源，透视古代社会发展的基本法则，为现代社会发展注入鲜活的智慧。,10,784,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/918/30883918/s_30883918.jpg
左传（全二册）,2015-07-01 00:00:00,历史-历史文化,《春秋左氏传》多以史实解释《春秋》，起自鲁隐公元年（前722年），终于鲁悼公十四年（前454年），比《春秋》增多27年，以记事为主，兼载言论，全面反映了当时的社会历史面貌，既是重要的儒家经典，又是中国第一部完整的编年体史书，在文学上亦有很高的成就。,10,899,0,41,https://wfqqreader-1252317822.image.myqcloud.com/cover/565/29793565/s_29793565.jpg
