title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
小王子（英文版）,2018-04-01 00:00:00,原版书-英文原版,一位飞行员因飞机发生故障被迫降落在撒哈拉沙漠中，遇见了可爱的小王子。小王子来自一个很小的星球，那里有一朵玫瑰花，小王子很喜欢她，可是却不懂如何爱她。他厌倦了玫瑰的自夸和对他无休止的要求，离开了自己的星球。他去了许多不同的星球，遇到了国王、虚荣的人、酒鬼和商人等，后来到了地球，邂逅了落难的飞行员。小王子爱提问、爱看日落，他要求飞行员给他画一只绵羊，并带飞行员找到了沙漠中的清泉。一年的旅行中，小王子从未停止过对玫瑰花的思念，他决定重新返回自己的星球。临别时，他把笑声作为礼物送给飞行员。分别六年后，飞行员写下这个故事，以表达自己对小王子深深的怀念之情。,9,895,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/170/22720170/s_22720170.jpg
FLIPPED怦然心动（中英双语典藏版）,2018-02-01 00:00:00,原版书-英文原版,"布莱斯全家搬到小镇，邻家女孩朱莉前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树要被砍掉，她誓死捍卫，希望他能与她并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑。她凭借鸡下蛋的项目获得了科技展第一名，成了全场焦点，令他黯然失色。她把自家鸡蛋送给他，他听家人怀疑她家鸡蛋不卫生，便偷偷把鸡蛋丢掉。她得知真相，很伤心，两人关系跌入冰点。她跟家人诉说，引发争吵……他向她道歉，但是并未解决问题。他开始关注她。鸡蛋风波未平，家庭晚宴与午餐男孩评选又把两人扯在了一起……
",10,913,0,23.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/210/927210/s_927210.jpg
傲慢与偏见：PRIDE AND PREJUDICE（英文原版）,2015-11-01 00:00:00,原版书-英文原版,《傲慢与偏见》，英国著名女作家简·奥斯汀代表作，一部描写爱情与婚姻的小说。《傲慢与偏见》以男女主人公达西和伊丽莎白由于傲慢和偏见而产生的爱情纠葛为线索，共写了四起姻缘，小说情节曲折，富有戏剧性，语言清新流畅，充满机智，是奥斯汀最受欢迎的一部小说。女主人公伊丽莎白·班纳特，出身于小地主家庭，有四个姐妹，姐姐简·班纳特、妹妹玛丽·班纳特、凯蒂·班纳特和莱蒂娅·班纳特。姐妹五人单调且略显平静的生活伴随着两个年轻小伙子的到来而泛起无可平灭的波澜。健康向上的宾格里和富家子达西是一对要好的朋友，在结识了镇上班纳特家的这“五朵金花”之后，一段美丽而饱含“傲慢与偏见”的爱情故事由此展开。,18,885,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/277/748277/s_748277.jpg
小妇人：LITTLE WOMEN（英文原版）,2015-11-01 00:00:00,原版书-英文原版,"    《小妇人》美国作家路易莎·奥尔科特代表作，《小妇人》以家庭生活为描写对象，以家庭成员的感情纠葛为线索，描写了马奇一家的天伦之爱。马奇家的四姐妹中，无论是为了爱情甘于贫困的梅格，还是通过自己奋斗成为作家的乔，以及坦然面对死亡的贝思和以扶弱为己任的艾美，虽然她们的理想和命运都不尽相同，但是她们都具有自强自立的共同特点。着重描写了她们对家庭的眷恋；对爱的忠诚以及对亲情的渴望。《小妇人》故事情节简单而真实，感人至深，问世一百多年以来，多次被搬上银幕，并被译成各种文字，成为世界文学宝库中的经典名作。
",15,855,0,6,https://wfqqreader-1252317822.image.myqcloud.com/cover/28/820028/s_820028.jpg
月亮与六便士：The Moon and Sixpence（英文版）,2016-06-01 00:00:00,原版书-英文原版,1919年，毛姆45岁时，发表了这部《月亮与六便士》。小说故事情节相对比较简单：某进入中年的英国券商，忽然决定抛妻弃子，跟随内心长久以来积压着的念头，立志要成为一个艺术家。这个故事的源头来自画家高更的生平故事。这种行为并不为世俗社会所认可。本来作为一个券商，手里有大把大把的钞票可以挥霍过活，为什么非要当什么艺术家？为什么最后连生存都变成一个问题？结果，这位想成为艺术家的券商后来连个住处都找不到，身体也患上了疾病，混到了没有钱买食物果腹，整天挨饿的境地。也许，艺术家的世界，凡夫俗子们永远不会懂。这位艺术家不仅没有被这种境地吓倒，反而愈加坚强地活了下去。而且，不顾身体上的疾病带来的不适，也无视周遭环境的恶劣程度，一心扑在绘画的创作之中。在太平洋的一个叫作塔西提的小岛上，他创作出了让人看一眼就会产生荡气回肠感觉的“杰作”。但此时，他已经溘然长逝。那么，为什么叫“月亮与六便士”？其实，用毛姆自己的话说，这个书名的意义并没有在书里得到应有的展示，而是出自某评论家在评论上述《人性的枷锁》时所写的某句话。原话如下：《人性的枷锁》里的主人公菲利普·凯利（PhilipCarey）被形容为一个太过执着找寻月亮的家伙，以至于他从来没发现过脚底下就有一块六便士。毛姆后来这样解释道：“假如你低头在地上不住地要找寻一块六便士硬币，头也不抬起来一下，那么，你就会丢掉月亮。”,19,849,0,4,https://wfqqreader-1252317822.image.myqcloud.com/cover/833/25791833/s_25791833.jpg
老人与海（英文原版）,2017-07-01 00:00:00,原版书-英文原版,　　《老人与海（鲸歌英文原版）》是海明威于1951年在古巴写的一篇中篇小说，于1952年出版。它是海明威创作并在他还在世时出版的很后一部主要的虚构作品。作为他很有名的作品之一，它围绕一位老年古巴渔夫，与一条巨大的马林鱼在离岸很远的湾流中搏斗。虽然对它有不同的文学评价，但它在20世纪小说和海明威的作品中是值得注目的，奠定了他在世界文学中的突出地位，对于他1954年获得诺贝尔文学奖也起了重要作用。同时该书也被评为影响历史的百部经典之一；美国历目前里程碑式的32本书之一。,1,866,0,4.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/804/30011804/s_30011804.jpg
简爱：JANE EYRE（英文原版）,2016-01-01 00:00:00,原版书-英文原版,"    人们普遍认为《简·爱》是夏洛蒂·勃朗特“诗意的生平写照”，是一部具有自传色彩的作品。讲述了一位从小变成孤儿的英国女子在各种磨难中不断追求自由与尊严，坚持自我，最终获得幸福的故事。小说引人入胜地展示了男女主人公曲折起伏的爱情经历，歌颂了摆脱一切旧习俗和偏见，成功塑造了一个敢于反抗，敢于争取自由和平等地位的妇女形象。
",12,834,0,6,https://wfqqreader-1252317822.image.myqcloud.com/cover/17/820017/s_820017.jpg
瓦尔登湖：Walden（英文版）,2013-10-01 00:00:00,原版书-英文原版,美国作家梭罗独居瓦尔登湖畔的记录，描绘了他两年多时间里的所见、所闻和所思。这部著作区别于先前文学作品的第一个特征，是其对自然巨细靡遗的描摹和引申。大至四季交替造成的景色变化，小到两只蚂蚁的争斗，无不栩栩如生地再现于梭罗的生花妙笔之下，并且描写也不流于表浅，而是有着博物学家的精确。作者无微不至地描述两年多的湖畔独居生活，目的在于通过这次亲力亲为的实验向读者证明：其实不需要很多钱，也能够好好地活着，而且能够快快乐乐地活着。,6,863,0,4.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/782/25791782/s_25791782.jpg
秘密花园：THE SECRET GARDEN（英文原版）,2015-11-01 00:00:00,原版书-英文原版,美国女作家弗兰西斯·H·伯内特的《秘密花园》（The SecretGarden），是一部百年来畅销不衰的经典儿童小说，它被一代代孩子们不断重复阅读，是很多人童年时代记忆最深刻的一本书。故事主要讲述了一个在霍乱中失去父母的印度小女孩，搬到英国后重新获得幸福生活的故事。一场霍乱使性情怪戾的玛丽成了孤儿，她只得被送往远在英国约克郡的密素斯特庄园和姨父克莱文先生一起生活。克莱文先生伤心妻子之死，变得阴郁古怪消沉遁世，他的庄园里有上百间被锁闭的房间，有十年不许人进入的秘密花园。玛丽意外地在知更鸟的帮助下找到这个秘密花园的大门和钥匙，并且，她还听到了一个神秘的哭声，吸引着她去探索庄园之谜。玛丽在迪肯的帮助下，使荒芜的花园重现生机。不久，被认为离死不远的庄园小主人科林也参与了进来。大自然的力量改变了一切，长年笼罩在阴霾之下的古老庄园及其主人也一同获得了新生。,11,824,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/278/748278/s_748278.jpg
临床常见疾病：医学英语文献阅读,2019-09-01 00:00:00,原版书-英文原版,本书精心挑选临床上最常见的100种常见疾病，以疾病的概念、临床表现、诊断和治疗原则为主线，以问答的形式串联，采用通俗化的语言，便于理解和掌握，在每个疾病后附有医学关键词汇和主要短语的中英文注释，是医学生从公共英语过渡到专业英文文献和论文阅读的桥梁教材。,30,973,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/999/36534999/s_36534999.jpg
