title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
被讨厌的勇气：“自我启发之父”阿德勒的哲学课,2017-05-01 00:00:00,哲学宗教-伦理学,一名深陷自卑、无能与不幸福的青年，听到了一名哲人主张的“世界无比单纯，人人都能幸福”便来挑战，两人展开了你来我往的思考和辩论，在一夜一夜过去后，青年开始思考，为什么“所谓的自由，就是被别人讨厌”？问题不在于世界是什么样子，在于你是什么样子。,21,861,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/385/25615385/s_25615385.jpg
少有人走的路：心智成熟的旅程,2017-12-01 00:00:00,哲学宗教-伦理学,或许在我们这一代，没有任何一本书能像《少有人走的路》这样，给我们的心灵和精神带来如此巨大的冲击。仅在北美，其销售量就超过了700万册，被翻译成23种以上的语言；在《纽约时报》畅销书榜单上，它停驻了近20年的时间。这是出版史上的一大奇迹。毫无疑问，本书创造了空前的销售纪录，而且，至今长盛不衰。本书处处透露出沟通与理解的意味，它跨越时代限制，帮助我们探索爱的本质，引导我们过上崭新、宁静而丰富的生活；它帮助我们学习爱，也学习独立；它教诲我们成为更称职的、更有理解心的父母。归根到底，它告诉我们怎样找到真正的自我。正如本书开篇所言：人生苦难重重。M.斯科特·派克让我们更加清楚：人生是一场艰辛之旅，心智成熟的旅程相当漫长。但是，它没有让我们感到恐惧，相反，它带领我们去经历一系列艰难乃至痛苦的转变，最终达到自我认知的更高境界。,18,813,0,17.85,https://wfqqreader-1252317822.image.myqcloud.com/cover/862/33800862/s_33800862.jpg
人生十二法则,2019-11-22 00:00:00,哲学宗教-伦理学,2018-2019年全球现象级畅销书，长踞52国畅销书排行榜，全球销量超300万册。作者是当今世界最重要的思想家之一，演讲视频累计播放量超过1亿次。读懂十二条法则，解决人生80%的不如意。我对任何事都提不起兴趣怎么办？我处于人生的至暗时刻怎么办？上班让我不快乐怎么办？面对人生中的混乱迷茫，我们真正需要的，不是虚伪的励志、空洞的安慰，而是严父近乎残酷的苛责教诲。在引爆全球的现象级畅销书《人生十二法则》中，著名心理学家乔丹·彼得森将人类数千年来的哲学思考、神话故事中的精神财富与心理学、生物学、神经科学等学科的前沿研究相结合，用12条最基本的人生法则，为我们找到摆脱人生困境的方法。科学作家万维钢老师说：“彼得森这些建议我完全赞同，我希望我儿子长大以后读读彼得森这本书。,21,774,0,17.97,https://wfqqreader-1252317822.image.myqcloud.com/cover/52/27256052/s_27256052.jpg
人生护城河：如何建立自己真正的优势,2019-07-01 00:00:00,哲学宗教-伦理学,“股神”巴菲特认为，判定任何特定公司是否具备竞争优势在于它是否拥有宽广的、可持续的“护城河”。围绕“城堡”挖掘的“护城河”将竞争者挡在“城外”，从而保证公司的利润。该理念同样适用于个人：人生就像一家公司，要想经营好这家公司，打造“护城河”，就要建立自己的核心优势。《人生护城河：如何建立自己真正的优势》通过以始为终、思行合一、高度透明、多点支撑四个理念以及基于这些理念所开展的实践阐述如何经营人生有限公司。以始为终是指要有终局思考力，学会站在未来看今天，从而找到“对的事”，并坚持做一辈子。思行合一就是要明确支配自己行为的理念，继而不断地践行。高度透明是指要经常谈失败、谈焦虑、谈坎坷，勇于发现自己的不足，时刻与外界交换“能量”，从而提高自己。多点支撑就是要在追求财务自由和精神自由的路上多寻找其他支点，以使人生之路更加宽阔。通过践行以上理念，我们可以建立自己真正的优势，获得个人成长的方法论和策略，进而打造“护城河”，掌控自己的人生。,7,775,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/106/26011106/s_26011106.jpg
何为良好生活：行之于途而应于心,2015-04-01 00:00:00,哲学宗教-伦理学,本书呈现了作者对哲学中与我们生活最切近的伦理学诸问题的深入思考和明晰论述。“我该怎样生活”这个问题不只是人生道路之初的问题，而是贯穿人的一生的问题。这个问题，主要不是选择人生道路的问题，不是选对或选错人生道路的问题，而是行路的问题——知道自己在走什么路，知道这条路该怎么走：我们是否贴切着自己的真实天性行路。在最初“选择人生道路”的时候，没谁一开始通透了解自己的本性，了解周边环境并预见环境的变化。我们一开始不可能通透了解自己的本性，这不在于我们还不够聪明，而在于我们的本性在一开始不够具体，本性有待在盘根错节的实践中向我们逐渐清晰地显现。我们大概可以在这个意义上去理解歌德说他的浮士德是一系列越来越纯粹或纯洁（rein）的努力。我把这个“纯粹”或“纯洁”理解为：自身通透。我以为，这种自身通透是phronesis最核心的含义——洞明自己行在何处，浑然一体地洞明自己和自己所行之路，从而能贴切着自己的真实天性行路，把自己大致保持在天性所指的道路上。,22,894,0,39,https://wfqqreader-1252317822.image.myqcloud.com/cover/641/32307641/s_32307641.jpg
谈修养,2017-05-01 00:00:00,哲学宗教-伦理学,本书以理智澄明、沉稳舒缓的文字，把人生修养及途径、心灵困惑及排解、个人障碍及消除，娓娓道来，引导人生走向理想的境界。作者学贯中西，融汇古今，在平淡中谈出不凡之处，以随意的语言说出从容的胸怀，从宽容的胸襟中道出真知灼见。本书历久弥新，散发着诱人的独特魅力，激励人们追求高境界的人生，是优秀的大众修养读物。,6,879,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/321/24275321/s_24275321.jpg
厚黑学全集（足本典藏版）,2013-06-03 00:00:00,哲学宗教-伦理学,李宗吾遍检诸子百家，读破二十四史，目睹人间冷暖，看穿宦海沉浮，终于发现历史的真谛：古之为英雄豪杰者，不过面厚心黑而已。愤而写成轰动一时、流传后世的一本奇书——《厚黑学》，并以“厚黑教主”自居，开创“厚黑学派”的一家之言，被誉为“影响中国文化的20大奇才怪杰”之一。本书将“厚黑教主”李宗吾目前存世的文字编为《厚黑学》《厚黑丛话》《厚黑别论》《厚黑原理》《宗吾自述》等五个部分，真正堪称典藏《厚黑学全集》，以飨广大“教友”以及有志斯学者膜拜研读之用。,18,774,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/761/29963761/s_29963761.jpg
臣服的力量,2018-06-01 00:00:00,哲学宗教-伦理学,臣服是否代表软弱、失败或者放弃？臣服是否是一种不好的品质，需要被摒弃？面对难以解决的问题，我们应该抵抗到底还是适时放下？在生活、工作等领域，我们应该怎样理解并恰当利用“臣服”？在《臣服的力量》一书中，蜚声国际的能量治疗师兼医生朱迪斯·欧洛芙详细剖析了何为臣服，以及如何应用臣服。朱迪斯认为，臣服指的是懂得何时坚持，何时放下，全然拥抱当下的变化。而这样的臣服具有强大的力量，能让我们拥抱更多的可能性，收回错用的抵抗，摆脱完美主义、害怕失败、过度敏感、思虑过多等带来的问题。朱迪斯还告诉我们，臣服是一种与自己，与他人，与外界事物达成和解的艺术。通过《臣服的力量》一书，朱迪斯结合精神医学、直觉疗愈和灵性指引，详细剖析了在面对金钱、工作、爱情、病痛、死亡等11大人生课题时应该怎么做。很多时候，当我们不问成败反而能轻易地达成目标。,6,743,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/281/23691281/s_23691281.jpg
金钱不能买什么,2012-11-30 00:00:00,哲学宗教-伦理学,作为哈佛大学最受欢迎的课程讲席教授之一，桑德尔曾在全球掀起过“公正”热潮。他教授的《公正》课程，是哈佛大学有史以来累计听课人数最多的课程，并成为哈佛大学首个免费公开课。在其新作《金钱不能买什么：金钱与公正的正面交锋》中，迈克尔·桑德尔论述了当下最为突出的道德问题之一：在我们这个世界，任何事物都可以出售，这个世界难道没有问题？如果是这样，我们又该如何防止市场价值观侵蚀本不该由它们主导的领域？市场的道德界限又何在？,23,723,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/841/635841/s_635841.jpg
现代性,2020-04-08 00:00:00,哲学宗教-伦理学,“现代性”是一个中外学术界都频繁使用的词。关于“现代性”，无论是其概念内涵、历史实践过程，还是其特征、其所包含的核心概念，以及后现代主义出现所标志的现代性的危机，都使得“现代性”变得纷繁复杂。本书试图对此作出简明扼要的叙述。作者从现代性的各个层面着手，对此进行了深入浅出的分析。,4,894,0,22.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/452/33239452/s_33239452.jpg
人间行走：向着通透与自由,2021-06-01 00:00:00,哲学宗教-伦理学,这是一本分享人生正确生活态度的心理励志书。作者将人生喻作一场旅行，而我们都是人世间的行人。在这趟旅行中，每个人都不免会遇到焦虑、挣扎、彷徨……但是这些光怪陆离的世相背后，仍有些不变东西需要我们去了解，而著作就是通过自己富有哲思兼具有趣的内容，带我们正确看待生活常遇到的问题，比如偏见、与他人的交往、孤独、爱情、婚姻，等等。著作结构别具一格，采取“虚实结合”的手法，将主题寓于现实旅行及思想旅行之中，将困扰我们生活的话题娓娓道来，以自己一贯的辛辣文风，分享具有哲理性的认知。让我们能够更加通透地看待世事，给思想解绑，获得自由。,9,845,0,47.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/303/38478303/s_38478303.jpg
责任胜于能力大全集,2011-05-01 00:00:00,哲学宗教-伦理学,本书从责任、忠诚、敬业、态度等四个方面对责任胜于能力进行了深入的思考和深刻剖析，为从各种职业品质方面加强员工责任意识提供了行动方案，对提升员工责任意识、工作能力有不可估量的作用。,12,0,0,7.45,https://wfqqreader-1252317822.image.myqcloud.com/cover/983/827983/s_827983.jpg
智慧书,2018-08-01 00:00:00,哲学宗教-伦理学,本书包含300则浓缩智慧囊括识人观事、慎断是非提升自我、防范邪恶等为人处世之道是公认洞悉人性和完善自我的智慧奇书问世400年，畅销400年,91,623,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/104/25169104/s_25169104.jpg
所有问题都是可以解决的,2021-05-01 00:00:00,哲学宗教-伦理学,我们每个人都会在解决问题或实现目标方面遇到困难，而信念则是支撑我们解决问题、完成挑战的决定性力量。很多时候我们给自己找了太多的借口和理由——没有时间，没有足够的钱，没有做好准备等。事实是，生活并没有那么复杂。这本书作者玛丽·弗里奥是主持人、演讲家，同时也是企业家、慈善家，还拥有人生教练的身份，有着丰富的人生阅历和经验。在这本书中，玛丽通过自己的人生故事，提出“所有问题都是可以解决的”这一人生信念和生活哲学，阐述了信念的力量，并一针见血地指出我们总是失败的原因。只有找到内心的坚持，重塑自己的思维模式，戳穿所有的借口和理由，我们在面对挫折时才会更具复原力、创造力，变不可能为可能。无论你是想换一份工作，戒掉上瘾症，找到更多的兴趣爱好，修复一段关系，还是想发展一项新的事业，这本书都会告诉你如何去做，如何成就更好的自我，帮助你掌握一生受用的精神力量。,14,750,0,36.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/780/38259780/s_38259780.jpg
伦理学（汉译世界学术名著丛书）,1998-01-01 00:00:00,哲学宗教-伦理学,《伦理学》一书是斯宾诺莎的主要著作，他的哲学思想基本上都表述在这本书中。他写这部著作花费了十多年的功夫，从1662年写起，到1675年才完成。斯宾诺莎的世界观是在尼德兰资本主义生产关系急剧发展的时期形成的，反映了新兴资产阶级的利益和要求，他的哲学思想应该看作是对资产阶级自由的论证。,7,802,0,12.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/261/33889261/s_33889261.jpg
耶鲁大学公开课：死亡,2014-04-01 00:00:00,哲学宗教-伦理学,"    《耶鲁大学公开课：死亡》一书源于最受欢迎的国际名校公开课之一《哲学：死亡》。在这本通俗易懂的哲学著作中，谢利·卡根教授挑战了对于死亡，许多我们习以为常或未经深思的观点，邀请读者系统反思死亡的哲学之谜，以更清晰的概念探讨死亡的意义为何，从形而上学到价值观，认真、理性地思考生命和死亡的真相。有了对死亡的深刻意识，才会有对生命价值的深刻了解。蒙田说：“探讨哲学就是学习死亡。”
",5,653,0,10.17,https://wfqqreader-1252317822.image.myqcloud.com/cover/631/683631/s_683631.jpg
