title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
素书,2015-08-01 00:00:00,哲学宗教-哲学读物,《素书》在中国古代修身治国、处世智谋、人生韬略著作中占有极其重要的地位。这本原文只有六章、一百三十二句、一千三百六十字的类似“语录体”的书，被历代隐士高人、谋臣策士奉为千古不传的谋略秘籍和成就大事业的不二指南，流传甚广，影响极大。该书作者相传为秦朝末年著名的隐士黄石公，经过多次考验张良，最终将这本书传给张良。张良凭借这本书中的韬略原则辅助刘邦成就霸业。该书采取经文写法，语言高度精练，内涵极其丰富，对人事变化和事物发展的趋势观察细微，体会深刻，对如何提高自身的修养、为人处世、理家治国、趋吉避凶、成就大业，总结出一整套法则和经验。,6,852,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/705/809705/s_809705.jpg
活出生命的意义,2010-06-01 00:00:00,哲学宗教-哲学读物,美国最具影响力的10本图书之一。著名心理学家弗兰克尔是20世纪的一个奇迹。纳粹时期，作为犹太人，他的全家都被关进了奥斯威辛集中营，他的父母、妻子、哥哥，全都死于毒气室中，只有他和妹妹幸存。弗兰克尔不但超过了这炼狱般的痛苦，更将自己的经验与学术结合，开创了意义疗法，替人们找到绝处再生的意义，也留下了人性史上最富光彩的见证。弗兰克尔一生对生命充满了极大的热情，67岁仍开始学习驾驶飞机，并在几个月后领到驾照。一直到80岁还登上了阿尔卑斯山。这本书曾经感动千千万万的人，它被美国国会图书馆评选为具影响力的十本著作之一。到今天，这部作品销售已达1200万册，被翻译成24种语言。他并不是当年集中营里被编号为119104的待决囚徒，而是让人的可能性得以扩大的圣者。,7,822,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/527/857527/s_857527.jpg
哲学家们都干了些什么,2015-04-01 00:00:00,哲学宗教-哲学读物,"    “哲学史写得这么浅白风趣八卦，你让我们哲学系的人还怎么混？！”用穷凶极恶的吐槽和喜闻乐见的八卦，彻底瓦解你对哲学史的成见，翻开任何一页，都是欲罢不能的哲学故事。来吧，哲学家们！自己说说看，你们究竟都干了些什么？宇宙的外面是什么？世界会不会是假的？上帝到底存在还是不存在？这个世界有没有终极真理？……你知道吗，你想过或者没想过的这些奇形怪状的问题，早在几千年前就被哲学家们一本正经地提出，挖空心思地找证据，面红耳赤地争论过了。在整个世界忙着探索、发展的漫长历史中，这帮哲学家们却神经质地死磕这个世界的真相和人生的意义，就好像一个网络游戏里的角色试图琢磨自己手里武器的代码是什么……
",15,810,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/598/821598/s_821598.jpg
菜根谭,2017-05-01 00:00:00,哲学宗教-哲学读物,《菜根谭》涵盖了中国人处世哲学的方方面面，如果能读透这一本书，那么便能够帮助自己更好地处理好人际关系，能够让自己在这纷繁多变的世界里从多个方面感悟、体谅、修行，从而遇见更好的自己。,6,858,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/1/854001/s_854001.jpg
王阳明心学（典藏修订版）,2015-07-01 00:00:00,哲学宗教-哲学读物,一介儒生王阳明，为什么能成为立德、立功、立言三不朽的圣人？为什么能成为曾国藩、梁启超、伊藤博文、稻盛和夫等中外名人共同的心灵导师？后世无数阳明心学的践行者，为什么也能走出精彩人生，成就辉煌事业？这是因为他们无一例外地掌握了解决一切问题的利器——阳明心学。阳明心学集儒、释、道三家之大成，强调心即理、知行合一、致良知，是500年来中国人最精妙的神奇智慧。本书用通俗易懂的语言解读阳明心学的传世典籍《传习录》，深入浅出地阐释阳明心学的核心理念，旨在让今天的读者轻松领悟阳明心学知行合一的智慧精髓，修炼内心强大的自己，开启与生俱来的正能量，获得幸福完满的人生。,13,839,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/977/36927977/s_36927977.jpg
生命之书：365天的静心冥想,2011-08-01 00:00:00,哲学宗教-哲学读物,"《生命之书：365天的静心冥想》是克里希那穆提教诲的精选，诸多内容内地读者都不曾接触。对于尚未领略克氏智慧之光的人而言，这本是上佳入门读物，深入浅出，完整详实。对于已经入门的读者而言，它是深化之书，厘清困惑，涤净烦忧。绝对值得再三阅读，细细品味。
　　你可曾安静地坐着，不专注于任何事物，也不费劲地集中注意力，而是非常安详地坐着？这时你会听到各式各样的声音，会听到远处的喧闹声以及近在咫尺的细微声响。这意味着你把所有的声音都听进去了。你会发现自己的心在不强求的情况下产生了惊人的转变。这份转变里自有美和深刻的洞识。",38,916,0,35.99,https://weread-1258476243.file.myqcloud.com/weread/cover/88/3300018688/s_3300018688.jpg
存在主义咖啡馆：自由、存在和杏子鸡尾酒,2017-12-01 00:00:00,哲学宗教-哲学读物,巴黎，1933年。三位朋友正坐在蒙帕纳斯大道上的煤气灯酒吧里喝杏子鸡尾酒。其中一个叫雷蒙·阿隆的年轻哲学家，正在向同为哲学家的让-保罗·萨特和西蒙娜·德·波伏娃盛赞一种他在德国发现的新鲜哲学——现象学。就这样，20世纪影响最广泛深远的哲学运动发端了。受到启发的萨特，将现象学与他法式的人文主义情感结合在一起，创立了一门全新的哲学思想——现代存在主义。作者将历史、传记与哲学结合在一起，以史诗般恢弘的视角，激情地讲述了一个充满了斗争、爱情、反抗与背叛的存在主义故事，深入探讨了在今天这个纷争不断、技术驱动的世界里，当我们每个人再次面对有关绝对自由、全球责任与人类真实性的问题时，曾经也受过它们困扰的存在主义者能告诉我们什么。,9,836,0,43.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/498/932498/s_932498.jpg
哲学家们都干了些什么？ （修订版）,2022-02-01 00:00:00,哲学宗教-哲学读物,"一部严谨却不严肃的哲学史！
      宇宙的外面是什么？
      世界会不会是假的？
      我是不是活在虚拟世界/别人的梦中？
      上帝到底存在还是不存在？
      这个世界有没有终极真理？
      人生的意义是什么？
      ……
      你知道吗，你想过或者没想过的这些奇奇怪怪的问题，早在几千年前就被哲学家们一本正经地提出，挖空心思地找证据，面红耳赤地争论过了。在整个世界忙着探索、开垦、打仗、上天、发展的漫长历史中，这帮哲学家们却神经质地死磕这个世界的真相和人生的意义，就好像一个网络游戏里的角色试图琢磨自己手里武器的代码是什么……
翻开本书，从神烦的苏格拉底开始，了解哲学家们穷其一生苦思的问题及最终答案。",10,932,0,59.9,https://weread-1258476243.file.myqcloud.com/weread/cover/10/3300013610/s_3300013610.jpg
洞见：从科学到哲学，打开人类的认知真相,2020-08-01 00:00:00,哲学宗教-哲学读物,这是一本通过进化心理学理论来印证佛学观点，进而帮助人们发现更真实的自我、收获人生大智慧的哲学类书籍。本书是美国进化心理学家、全球百位最具影响力思想家之一的罗伯特·赖特多年研究与实践所成，书中以一个现代人的视角，通过进化心理学的知识求证佛陀当初说的关于人类的5大认知真相：（1）我们的快乐其实是基因设计出来的，基因的设定就是不满足（苦）；（2）快乐和烦恼都是“感觉”（非我）；（3）人本质上是由感觉驱动的(无我)；（4）我们无法客观看待世间万物（空）；（5）我们能够从烦恼和苦中解脱出来（冥想）。并教会我们通过正念自控训练冲破大脑错觉，实现与各种感觉的剥离，从而摆脱烦恼与痛苦，变得更智慧，更幸福。,6,772,0,44.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/196/33641196/s_33641196.jpg
鬼谷子（白话全译）,2012-03-01 00:00:00,哲学宗教-哲学读物,本书依据《鬼谷子》的权威原著，甄别、博采众家之长，力求对原文作出精当而晓畅的注释与翻译，每篇篇首皆附有提要加以解析、导读。并借鉴国外工商管理硕士的培养方法，精选古今中外颇具代表性的，涵盖商场、职场、处世等各个领域的经典案例，对鬼谷思想逐篇阐释、透析、解读，可使不同行业、不同背景、不同层次的读者皆能从中有所获益。同时，本书设计精美独到，图文并茂，大量古朴生动的图片，与文本和谐统一，相得益彰，大大增强了阅读的趣味与兴致。经典深刻的思想，精审独到的案例及评析，恰到好处的图文相生，使本书融哲理性、故事性、实用性、全集性于一体，可谓是各类读者参悟、运用鬼谷子大智慧的首选读本。,3,835,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/203/314203/s_314203.jpg
