title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
谈美,2018-04-01 00:00:00,哲学宗教-美学,本书是我国著名美学家朱光潜先生建立其早期美学理论体系的重要著作之一。作者在写作该书时，有感于当时时局动乱，人心不古，于是从十五个方面着手，将自己在美学乃至人生经验方面的研究心得介绍给青年朋友，让他们逐步培养起美感的经验和态度，进而推广到人生世相方面，使之成为脱离世俗、对社会有用的栋梁之材。,6,879,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/962/22523962/s_22523962.jpg
美学散步,2016-03-01 00:00:00,哲学宗教-美学,宗白华先生一生著述不多，而《美学散步》则几乎汇集了其一生最精要的美学篇章，也是先生生前的一部美学著作。初版于1981年，此次重版，除新增若干照片、校正部分错字外，基本保持原貌。对于这样一位源生于传统文化、洋溢着艺术灵性和诗情、深得中国美学精魂的大师以及他散步时低低的脚步声，在日益强大的现代化的机器轰鸣声中，也许再也难以再现了。然而，如何在愈益紧张的异化世界里，保持住人间的诗意和生命的憧憬，不正是现代人所要关注的一个世界性问题吗？而《美学散步》正好能给我们以这方面的启迪。,7,853,0,13,https://wfqqreader-1252317822.image.myqcloud.com/cover/970/32282970/s_32282970.jpg
美学原理,2009-04-01 00:00:00,哲学宗教-美学,这是一本全面、系统地讲述美学基本原理和基础知识的教科书，同时也是一本研究美学理论核心区的前沿课题的学术著作。这本书是作者将近五十年的美学研究成果的一个概括和总结。本书继承北京大学蔡元培、朱光潜、宗白华的美学传统，立足于中国文化，以“意象”和“体验”为核心，力图融会中西美学的精华，回应21世纪时代的呼唤，最后归结到提升人生境界。作者在书中注重视野的开阔，注重思想的深度和原创性，同时又注重材料的丰富和趣味性，追求文字的清晰、简洁和诗意。本书不仅适合作为大学生和文化界、艺术界、教育界朋友们的读物，同时也适合作为各行各业对美学有兴趣的朋友们的读物。读这本书可以获得理论的提升，人生的启示，同时又可以获得情趣的熏陶，审美的享受。,38,863,0,23.54,https://wfqqreader-1252317822.image.myqcloud.com/cover/622/24272622/s_24272622.jpg
西方美学史,2020-10-09 00:00:00,哲学宗教-美学,《西方美学史》是朱光潜最重要的一部著作，也是中国学者撰写的第一部美学史著作，具有开创性的学术价值，代表了中国研究西方美学思想的水平。 全书由序论和三个部分组成，第一部分，古希腊罗马时期到文艺复兴，第二部分，17、18世纪和启蒙运动；第三部分，18世纪末到20世纪初，最后对全书四个关键性美学问题专题研究。对该书的主要流派中主要代表的选择是根据代表性较大，影响较深远，公认为经典性权威，可说明历史发展线索，有积极意义因而足资借鉴的。而在具体评述每一位美学家时，先介绍总的时代背景和思想渊源，再分析和评价其具体美学观点，总结其得失。,10,914,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/671/34872671/s_34872671.jpg
宋：风雅美学的十个侧面,2021-01-01 00:00:00,哲学宗教-美学,宋代是中国历具有人文精神、有教养、有思想的朝代之一，有些历史学家将之比作中国的文艺复兴。它结束了残唐五代乱局，使中华大一统的主体文脉得以延续，又在诸多领域独具开创性，深远影响到元明清乃至近代中国文化的基本面貌。陈寅恪先生所谓“华夏民族之文化，历数千载之演进，造极于赵宋之世”。宋代士人集体展现出“文以载道”“先天下之忧而忧，后天下之乐而乐”的气魄与人格，重新划定了个人与天地自然、家国人伦的关系，为儒家理想的生活方式找到了道理和依据。他们看重内在自我人格的实现，又兼具书法、绘画、诗词等多方面修养，呈现出文雅、洒脱、有趣的人生。其“士气”通过抚琴、调香、赏花、观画、饮酒、烹茶等活动化入民俗，贡献了一系列雅致的生活范式，风尚所及，上至皇家宫廷，下至巷陌百姓，成为后世追慕的审美典范。三联书店邀请邓小南、杨立华、王连起、朱青生、康震、廖宝秀、扬之水、郑培凯、叶放、余辉十位重量级专家学者，以文化和审美为经纬，分别从国势、理学、书法、宋画、宋词、宋瓷、名物、茶事、雅集十个侧面，编织宋代文人的生活美学指南，立体呈现宋人丰富的精神世界，以及千年不坠的艺术传统。全书四色印刷，选配近三百幅精美高清图片，充分展示宋代文物的质地和细节，可供鉴赏与收藏。,9,742,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/181/41151181/s_41151181.jpg
美学（2019年版）,2019-06-01 00:00:00,哲学宗教-美学,本书是高等教育自学考试汉语言文学专业指定教材，也可以作为普通高等学校相关专业美学课程的教材。本书以马克思的实践存在论思想为哲学基础，以审美活动为出发点和主要研究对象，以实践是人存在的基本方式，审美活动是一种基本的人生实践为主旨，主要内容包括审美活动论、审美形态论、审美经验论、艺术论、审美教育论这几部分内容。本书以马克思主义实践论为基础，适当吸收当代西方存在论(现象学)思想的合理因素，尝试建构有时代特色的实践存在论美学理论，以发展我国的实践美学理论，使之更好地与中国古典美学思想有机地结合，成为21世纪具有生命力的一种美学理论。,18,842,0,28,https://wfqqreader-1252317822.image.myqcloud.com/cover/467/26833467/s_26833467.jpg
美在意象,2013-08-01 00:00:00,哲学宗教-美学,该书是国内著名美学大家叶朗集五年时间写成的美学著作。它既有教材的体例，同时又达到了目前国内对美学基本问题所能达到的理论深度。在将其作为教材《美学原理》出版的同时，也将其作为学术专著进行出版。该书涉及了美学的基本问题：美的本质，美感的分析，自然美，社会美，艺术美，科学与技术之美，中西美学基本范畴，审美与人生，等等。该书是北京大学美学传统的延续和发展，代表了国内目前美学理论总体上的最高成就。,37,880,0,174.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/763/26831763/s_26831763.jpg
美学（第一卷）（汉译世界学术名著丛书）,1997-02-01 00:00:00,哲学宗教-美学,这些演讲是讨论美学的；它的对象就是广大的美的领域，说得更精确一点，它的范围就是艺术，或则毋宁说，就是美的艺术。,13,901,0,17,https://wfqqreader-1252317822.image.myqcloud.com/cover/331/33889331/s_33889331.jpg
谈美,2016-07-01 00:00:00,哲学宗教-美学,《谈美》是朱光潜先生为青年写的一本美学入门书。本书采用书信体的形式，从“要求人生净化，先要求人生美化”的理念出发，顺着美感态度的特性、艺术与人生的距离、美感经验与移情的关系、美感与快感、自然美与艺术美等问题次第展开，文字明白晓畅，充满了真知灼见，指引读者一条认识美学的“简捷不绕弯的道路”，自问世以来深受好评，被视为学术性与普及性兼备的经典之作。,6,906,0,6.75,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/32512996/s_32512996.jpg
谈美书简,2018-02-01 00:00:00,哲学宗教-美学,《谈美书简》是朱光潜在82岁高龄的情况下写就的“暮年心血”之作，它既是对自己漫长美学生涯和美学思想的一次回顾和整理，也是对青年们有关美学方面问题的一个回复。本书中，朱光潜先生就青年朋友们普遍关心的美和美感、美的规律、美的范畴等一系列问题进行了深入探讨，同时也对文学的审美特征、文学的创作规律及特点做了详尽的阐释，是初涉美学者学习美学知识的重要参考书籍。,4,721,0,11.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/210/22486210/s_22486210.jpg
