title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
蛤蟆先生去看心理医生,2020-08-01 00:00:00,心理-心理学应用,蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢。他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨询师苍鹭的带领下，勇敢地探索了自己的内心世界，也逐渐找回了信心与希望……为了向大众读者普及心理学知识，作者借用了英国文学经典《柳林风声》的故事主角，让蛤蟆先生和他的朋友们再次登场，演绎了这个关于心理咨询的故事。读者犹如亲临现场，体验心理咨询的每一个细节，见证疗愈和改变的发生。作者借由蛤蟆和心理咨询师苍鹭的互动，探索了蛤蟆自卑、软弱、爱炫耀的个性与抑郁的情绪究竟来源于何处，以及如何才能在心理上真正长大成人，独立、自信、充满希望地生活。,6,899,0,32,https://wfqqreader-1252317822.image.myqcloud.com/cover/88/35551088/s_35551088.jpg
也许你该找个人聊聊,2021-06-01 00:00:00,心理-心理学应用,这是一位心理治疗师的回忆录，讲述了发生在诊室中的故事。在这个小小的密闭空间里，人们会展现出最真实、最脆弱的一面；也是在这里，人们获得了陪伴和倾听，也获得了宝贵的觉察、成长与改变。在书中，我们会看到四个来访者的故事，他们是：一个四十多岁、事业成功、自以为是，认为身边所有人都是蠢货的好莱坞制片人；一个三十多岁、刚刚新婚就被诊断出患有绝症，时日不多的大学女教师；一个六十九岁、离过三次婚，感觉孤独绝望，声称生活再不好转就要在七十岁生日当天自杀的老太太；一个二十多岁、有原生家庭创伤和酗酒问题，在爱情中频频受挫的姑娘。同时，书中还有第五个寻求帮助的人，那就是治疗师自己。她是一个单身的职场妈妈，四十多岁时遭遇失恋，几乎崩溃。有朋友对她说“或许你该找个人聊聊”，于是她也给自己找了一位心理治疗师。当她切换到来访者的位置，坐到另一位心理治疗师的沙发上诉说自己内心的脆弱与悲伤，就更能感受到心理治疗为何具有治愈和改变的力量。这本书从治疗师和来访者的双重视角展现了心理治疗的过程，让我们发现：无论身份背景有多相异，人类面对的烦恼其实都相通——爱与被爱、遗憾、选择、控制、不确定、死亡，这些都是我们身而为人必须共同学习面对的议题。我们在现实生活中所遭遇的切肤之痛和生命困境，都能在这本书中得到共鸣、找到希望。,20,928,0,59,https://wfqqreader-1252317822.image.myqcloud.com/cover/710/40726710/s_40726710.jpg
不被父母控制的人生：如何建立边界感，重获情感独立,2020-10-01 00:00:00,心理-心理学应用,许多人在不健康的家庭中长大，做了父母之后依然保持着不成熟的人格，在育儿方面也有各种不成熟的表现：情绪极其不稳定，控制孩子的生活，逃避自己的责任，拒绝和疏远孩子……如果你有这样的“情感不成熟的父母”，那么你在童年时会感到孤独和被忽视。成年之后，你可能会难以表达甚至认识不到自己的情绪和需求；在人际关系中无法建立适当的边界，容易受到其他情感不成熟的人的影响；父母可能仍然在嘲笑你的情感需求，轻视你的个人生活，控制你的思想自由。你怎样才能走出这样一个处处受限、没有自我的人生呢？吉布森博士30年来一直在研究情感不成熟的父母对成人孩子的影响，《不被父母控制的人生》是她撰写的一部实用指南，提供了真实的案例、有效的练习以及积极的提示和建议，帮助你学会：减少自我怀疑和对他人评价的恐惧，重新与自己的情绪建立联结，增加情感自主性和自我意识；与父母之间设立健康的边界，摆脱父母的情感控制，确保自己的情感和需求被尊重；识别其他情感不成熟的人，保护自己不被别人的情绪控制，在人际关系中建立适当的边界感。本书最终将帮助你找到按自己方式生活的自由，真正走出原生家庭的影响，拥有一个自己说了算的人生。,7,857,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/615/35172615/s_35172615.jpg
学会提问（原书第12版）,2021-05-01 00:00:00,心理-心理学应用,本书特别适合在以下几个领域中应用。通识课程的老师在第一堂课上，面对学生关于他们能从这门课中学到什么的疑问，可以让学生阅读本书，这将为他们的问题提供清晰明了的答案。英语老师在课堂上训练学生写作说明文时，也可以使用本书，不仅可以将其作为构思文章前评估各种不同论点的范本，还可以将其作为写作过程中应避免的问题的检查清单。本书还可以用作旨在培养学生批判性阅读和思考技能的课程中的核心材料。,33,866,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/443/39980443/s_39980443.jpg
养育你内心的小孩,2022-02-01 00:00:00,心理-心理学应用,《养育你内心的小孩》是一本通俗易懂的讲述如何与自己相处的心理学著作。国家二级心理咨询师丛非从，用十年的线下咨询和教学心得，从安全感、自由感、价值感、意义感、亲密感五个角度切入，36篇文章由点到线、由线到面，层层推进，娓娓道来，用风趣幽默的语言、犀利直接的观察，一举击碎生活中反复出现的负面情绪，直指情感关系中常见的疑难杂症，带领你直探内心需要，从根本解决问题。如果你有一个孤独的内在，你就会发现那里有一个无助的自己，不知道该怎么独自生活。做内心强大的自己并不是硬撑，硬撑是很孤独的，是一出假装强大的独角戏。当你真正倾听自己、从自己内心的角度思考问题，你就走上了独立、强大、自主之路。这个世界会扔给你各种问题，你缺少的从来不是方法，而是底气。本书以配有大量的真实咨询案例，如同面对私人心理咨询师，帮你看到躲藏在内心深处的自己：不相信自己值得被爱，不相信自己已经做得足够好，不相信自己的痛苦可以轻易消散……我们只能通过内心感受来理解自己，同样的，只有内心感受是专属于我们个人的经历。感受到痛苦意味着变好的可能，只要你愿意面对真实的自己。总是喜欢挑毛病，总是躲避亲密关系，总是觉得很愤怒……一切负面情绪，只是在提醒你，内心的需要还没有被满足。与其学习很多技巧，不如从翻开这本书开始，陪自己内心的小孩长大。,11,860,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/742/42849742/s_42849742.jpg
武志红心理学套装（共四册）,2018-11-01 00:00:00,心理-心理学应用,《为何家会伤人》——中国式家庭问题第一书，细致入微地揭示中国家庭的运行机理，解读你我的情感模式，认清病态家庭的前因后果，建立健康的家庭心理，帮助为家所困的人们重新找到自由与幸福。《为何越爱越孤独》——从心理学的角度，结合大量真实案例，帮助你看见关系的真实样子，打破横亘在人与人之间那堵自恋的墙，结束权利与控制的游戏，让真爱和自由重新回到家人、爱人之间。使自恋变为自爱。……,34,830,0,81.98,https://wfqqreader-1252317822.image.myqcloud.com/cover/730/23665730/s_23665730.jpg
高敏感是种天赋,2017-09-01 00:00:00,心理-心理学应用,为什么常觉得自己事情做不好、在人前丢脸？大家都说我太敏感、玻璃心、想太多！这是我的问题吗？丹麦心理治疗师伊尔斯·桑德俘获全世界敏感族的心理课。狂销全球美、英、德、法、日、韩等18国语言版权！用19个方法面对自己、向外沟通，你就是你，勇敢享受与众不同的天生才能！,9,698,0,13.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/169/917169/s_917169.jpg
身体从未忘记：心理创伤疗愈中的大脑、心智和身体,2016-03-01 00:00:00,心理-心理学应用,"本书是一部杰作。作者充满感情和同理心的深入视角，令人深信今后对心理创伤幸存者的治疗会日益人性化，极大地拓展了自我调控和疗愈的方式，同时也激发了更多关于创伤及其有效治疗方式的研究创新。作者范德考克通过充分呈现他人工作中令人信服的证据，连同他自己的开拓性探索以及在此过程中获取的经验，证实了身体会记录创伤的经历。除此之外，他开发了一套借助瑜伽、运动和戏剧表演的方法，巧妙地将人们的身体和心灵（以及他们的思想和情感）联系起来。这个新鲜观点是美好和令人欢迎的，并为心理治疗界带来了新的可能性。
。",57,840,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/124/820124/s_820124.jpg
欲望的博弈：如何用正念摆脱上瘾,2019-04-01 00:00:00,心理-心理学应用,本书把当前及新兴的科学知识应用到了日常和临床实例之中。它列举了大量案例，旨在解释现代文化（包括技术）怎样扭曲、劫持这种对进化有益的学习过程；并以帮助我们理解人类各种行为（从容易为手机分心等琐碎小事，到陷入爱河等有意义的体验）的起源为整体目标。在医学上，诊断是第一步也是最关键的一步。基于这一理念，再配合我从专业和个人实践中学到的东西，我概述了若干简单而实用的方法，锁定这些核心机制，好让我们将之应用到日常生活当中，戒掉上瘾的习惯，减轻压力，过更为充实的生活。,6,648,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/128/31144128/s_31144128.jpg
天才在左疯子在右,2017-07-01 00:00:00,心理-心理学应用,"    这本书，是一群误入歧途的天才的故事，也是一群入院治疗的疯子的故事。这个世界上有很多“非常态人类”，他们散落在世界各地，也潜伏在我们身边。但凡正常人，遇到这些人唯恐避之不及，然而却有少数人在关注这些人的内心世界，他们就是心理疗愈师。本书作者作为一名资深的心理疗愈师，认真倾听各种疯言疯语，在不让自己发疯的前提下，尽可能深入这些人的内心世界，帮助他们恢复健康。作者经过多年潜心研究，总结剖析各种精神病案例，作成此书，意在让更多人认识并了解这群“少数人”，还原出一个值得更多人关注的真实世界。
",16,645,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/993/27325993/s_27325993.jpg
