title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
自控力,2012-08-01 00:00:00,心理-积极心理学,《自控力》是斯坦福大学最受欢迎心理学课程。作者麦格尼格尔教授吸收了心理学、神经学和经济学等学科的最新洞见，为斯坦福大学继续教育项目开设了一门叫做“意志力科学”的课程，参与过这门课程的人称其能够“改变一生”。这门课程就是《自控力》一书的基础。,17,809,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/618/837618/s_837618.jpg
内向者优势,2019-09-01 00:00:00,心理-积极心理学,"在这个世界上，至少有四分之一的人喜欢避开聚光灯，沉浸于自己的一方角落。比起发言，他们更喜欢倾听；身处人群，倍感孤独；渴望交际，同时需要大量的时间来恢复精力……这就是并不为人们所理解的内向者。为了帮助他们掌握多种策略、提高自信，在外向者主导的世界如鱼得水、实现幸福。
本书首先帮助内向者全面认识自身的内倾型性格，确定自己在内向-外向连续体上的位置；其次提供改善内向者与其伴侣、孩子、同事、朋友关系的方法和贴士，帮助内向者正确地面对自己和向外界表达自己的需要，从而更好地融入外部世界；最后说明如何有效而充分地运用内向性格的特殊优势，发现新方法补充内向者的能量储备，创造一个顺应内向性格的舒适的生活状态。",8,763,0,29.99,https://weread-1258476243.file.myqcloud.com/weread/cover/40/3300015140/s_3300015140.jpg
习惯逃避：你在害怕什么,2020-10-01 00:00:00,心理-积极心理学,你是不是这样的人： 每份工作都觉得不满，寄希望于“跳槽改变人生”，于是不停地换工作，可麻烦始终如影随形  总有人把你的善良当成懦弱，把你的慈悲当成迟钝，你却只是默默忍受，还安慰自己宽容可贵  遇到挫折，总以为换个环境，就能让一切变得顺利起来，可挫折总在下一个路口悄悄等着自己…… 习惯逃避的你，必须明白一个道理：麻烦不会因为你暂时逃避而凭空消失，只有学会刻意面对，你才能打开彻底明亮的人生。 本书从“逃避心理”的角度入手，找出我们在生活中习惯逃避的原因，让受困于逃避心理的人们，重拾自信，找到直面人生的勇气。,6,785,0,28.99,https://weread-1258476243.file.myqcloud.com/weread/cover/92/3300011992/s_3300011992.jpg
越过内心那座山：12个普遍心理问题的自我疗愈,2022-05-01 00:00:00,心理-积极心理学,"北师大心理学部教授张西超、中科院心理所教授祝卓宏作序推荐！从奥斯维辛集中营幸存的心理医生告诉你，打开心灵牢笼的钥匙，就握在我们自己手中。
将我们的心灵牢牢困住的，往往并非外在的力量，而是我们给自己搭建的牢笼，是我们植入自己脑海的想法。
面对突如其来的不幸，我们无法坦然面对，指责苍天不公，被困在受害者心态里；
面对亲朋好友的期待，我们隐藏甚至扭曲了真实的自我，被困在他人的眼光里；
面对至亲挚爱的离去，我们用懊恼和内疚避免面对现实，被困在未解决的悲伤里。
我们每个人都能在本书描述的12种最普遍的心理困境中找到自己的影子，却不知道，获得自由所需的力量就藏在我们的内心；
我们都在这些自我编织的牢笼中苦苦挣扎，却不知道，打开牢笼的钥匙就握在自己的手中。
著名心理学家、奥斯维辛集中营幸存者伊迪丝·埃格尔博士用她疗愈自己的刻骨创伤和打开无数来访者心灵枷锁的故事告诉我们，自由的基础是具备选择的力量，而走出困境的关键在于以何种态度、何种方式回应我们的遭遇。
改变我们能够改变的，接受我们不能改变的，我们就能解救自己，让心灵得到自由。",7,851,0,31.99,https://weread-1258476243.file.myqcloud.com/weread/cover/32/3300018232/s_3300018232.jpg
人生十二法则2,2022-05-01 00:00:00,心理-积极心理学,"现象级畅销书《人生十二法则》作者全新力作！《人生十二法则》给现代人提供了应对混乱生活的一剂良药，《人生十二法则2》则以全新的视角提出，只有勇敢超越秩序的边界才能积蓄起抵御悲观、焦虑与痛苦的内在能量，获得自由且丰盛的人生。
知名心理学家乔丹·彼得森教授根据现代读者都很关心的问题，比如如何经营亲密关系、如何突破事业瓶颈、如何化解内心的伤痛，提炼出了破解人生困局的12条基本法则，为你每一次的迷茫、犹豫和困苦指明方向。",11,724,0,80.91,https://weread-1258476243.file.myqcloud.com/weread/cover/36/3300018036/s_3300018036.jpg
无行动，不幸福,2022-02-01 00:00:00,心理-积极心理学,我们知道何为幸福，却不知如何获得幸福。在后疫情时代，每个人的内心都有千般痛苦，原生家庭、儿时记忆、意志不足、患得患失、敏感多疑、消极情绪。在历经了多年的积极心理学研究后的赵昱鲲，结合了中国传统文化对于行动的重视后，提出了一个改变我们对于幸福认知的观点：你缺乏的并不是心理学知识，而是可以改变自己人生的有效行动！ 本书不仅含有45个可以帮助你获得幸福、实现自我的有效行动，还有7份权威的心理学测试，帮助你更好地了解自己，此外还有18个紧贴当下地心理学问题。我们希望每一个人都能在每天做出一点点改变自己、提升满足的行动，从而成为更好的自己，拥有更幸福的生活。,8,891,3,45,https://weread-1258476243.file.myqcloud.com/weread/cover/92/3300011792/s_3300011792.jpg
焦虑自救手册：克服焦虑一点也不难（心悦读丛书）,2022-03-01 00:00:00,心理-积极心理学,与“内卷”时代每个人的内心共鸣！ 一本懂焦虑，更“懂你”的疗愈手册。 “壹心理”诚意推荐，北医六院专家审校推荐。 剖析当代人的焦虑、恐惧和无助，想大声告诉你——我们能做的还有很多。 英国精神科医师蒂姆·坎托弗博士拥有近40年心理问题研究与疗愈经验。在他的从业生涯里，因为焦虑问题向他寻求帮助的来访者大多数是通常意义上的好人，他们往往诚实善良、踏实勤奋，对自己要求严格，努力地过好自己的生活。可是，当他们面对焦虑时却常慌了手脚、不知所措，不知不觉错过了许多本应享受的美好时光... ...通过这本小书，坎托弗博士想告诉饱受焦虑困扰的朋友，情况远没有想象得那么可怕、令人绝望。 在本书中，坎托弗博士首先帮助大家了解焦虑，为人们做好面对焦虑的心理建树——焦虑是正常的情绪，焦虑也可以被疗愈。前提是使用专业、科学的方法。坎托弗博士为不同类型的焦虑和不同程度的焦虑也准备了应对策略。从养成良好的生活小习惯到化解“有毒”的执念，帮助人们做好走出摆脱焦虑的第一步。对于苦受焦虑折磨的朋友，坎托弗博士不失深度地介绍了专业的心理疗法，帮助人们摆正看待焦虑疗愈的态度，也让人们对焦虑如何被疗愈做到心里有数，以能做到更好地信任咨询师、更好地配合专业治疗，早日摆脱焦虑的阴影。,6,720,0,34.99,https://weread-1258476243.file.myqcloud.com/weread/cover/84/3300011084/s_3300011084.jpg
性格修正：如何突破你的原生性格,2021-11-01 00:00:00,心理-积极心理学,"沉迷于做九型人格、MBTI、DISC等各种性格测试，容易引起共鸣却慢慢发现所获寥寥？感觉人生陷入了停滞，却找不到破局的方法？因为受过创伤，便放弃了对新生活的期待？我们往往认为性格只能被找到、性格以类型划分、性格固定不变、性格来自过往经历、性格是真实自我的反映等，但这却往往使我们变得不再勇敢，逐渐走向平庸，甚至有深深的无力感或陷入困局。
    本书通过丰富的心理学研究指出，利用性格测试和自身过去等定义“真实自我”和“原生性格”是片面甚至是错误的；并在阐述性格真相和常见五大性格误解的基础上，针对如何正确看待过往、自信定义自我、调整限制自我提升的错误观念和习惯等，在创伤、身份认同叙事、潜意识、环境四大性格影响因素等方面为读者提供了科学实用的建议，让读者可以从狭隘的性格观念中解放出来，走出困境，实现直接、高效的成长转变。",6,816,0,35.99,https://weread-1258476243.file.myqcloud.com/weread/cover/61/3300015161/s_3300015161.jpg
接纳：在坚硬的世界柔韧前行并拥抱无限可能,2021-06-01 00:00:00,心理-积极心理学,你愿意生活得更快乐、更轻松、更平静吗？那就去接纳，也就是接受生活本来的样子。接纳自己，意味着爱自己本来的样子；接纳现实，意味着你愿意利用现状来追求改变。接纳并不意味着没有改变的希望，而意味着你站在无限可能的门外。接纳是顺水行舟，不仅让我们获得内心的平静和幸福，还会带来情感上的解放，真正迎来人生的蜕变。作者探索了从抗拒到顺应再到可能性的旅程，介绍了自我关怀这一简单方法，这是放下抗拒、扩展积极情绪、轻松面对现实的关键。本书结合个人经历和心理治疗案例，强调了接纳的力量，使我们学会接纳自己、接纳他人、接纳现实、接纳过去。,24,799,0,23.95,https://wfqqreader-1252317822.image.myqcloud.com/cover/228/38778228/s_38778228.jpg
抱住棒棒的自己,2021-10-01 00:00:00,心理-积极心理学,"徐慢慢是一位36岁的心理咨询师，她有一个佛系的程序员老公老赵，活泼的9岁儿子小航。从2019年起，有上百万的读者在观看徐慢慢的故事，跟她一起接纳自己，松绑情绪。
这是武志红团队所组建的一个虚拟漫画形象，用漫画来讲心理学，用图画来呈现真实的心理咨询案例，比用文字更真实、更疗愈、更直达人心。他们探讨的议题，有人类永恒关注的“爱”和“恐惧”，也有新时代的竞争焦虑，比如“优秀”和“躺平”。当然，也有我们这个社会一直面临着的议题——活出自己，成为自己。
《抱住棒棒的自己》是徐慢慢心理话公众号两年结晶，热门漫画初集结，从情绪管理、个人成长、亲密关系、亲子关系四大热门话题出发，以漫画形式重现真实生活困境，用心理学的科学眼光剖析行为背后的心理动机。
相信我，在你读了两三个徐慢慢的故事后，你会感受到一种自我接纳的力量。也许，你还会像她的名字一样，试着慢下来一些。",3,883,0,46,https://weread-1258476243.file.myqcloud.com/weread/cover/14/3300018114/s_3300018114.jpg
