title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
毛泽东选集（全四卷）,1991-06-01 00:00:00,政治军事-政治,这部选集，包括了毛泽东同志在中国革命各个时期中的重要著作。几年前各地方曾经出过几种不同版本的《毛泽东选集》，都是没有经过著者审查的，体例颇为杂乱，文字亦有错讹，有些重要的著作又没有收进去。现在的这部选集，是按照中国共产党成立后所经历的各个历史时期并且按照著作年月次序而编辑的。这部选集尽可能地搜集了一些为各地方过去印行的集子还没有包括在内的重要著作。选集中的各篇著人，都经著者校阅过，其中有些地方著者曾作了一些文字上的修正，也有个别的文章曾作了一些内容上的补充和修改。,16,970,0,48,https://weread-1258476243.file.myqcloud.com/weread/cover/84/3300024284/s_3300024284.jpg
为什么是中国,2020-06-01 00:00:00,政治军事-政治,金一南将军全新著作，以广阔全面的视野、一以贯之的犀利文笔、磅礴激昂的气势，向读者生动客观地阐述了中国从百年沧桑到民族复兴的辉煌道路。全书以历史为脉络，将从甲午中日战争至21世纪世界新格局形成之间的历史事件为研究材料，寻道问路，深入分析近现代初期破碎山河中的世道人心、岐路惶恐间的挣扎徘徊，解读阐释共产党人的伟大历史自觉、抗战胜利的能量密码，鸟瞰钩沉中国崛起征途中的较量，理性瞻望改革强军的挑战与机遇、世界格局的未来走向。,11,929,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/991/37335991/s_37335991.jpg
可能性的艺术：比较政治学30讲,2022-04-01 00:00:00,政治军事-政治,"一个和平“爆发”的年代？
历史“终结论”的终结？
国家能力从何而来？
文明的冲突是一个过时的预言？
……
面对林林总总的政治问题，作者带领我们以一种比较的视角，在民主问责和国家能力两个政治比较的核心维度下，建立起观察的参照系，将不同体制、不同经济发展水平的国家纳入比较的视野，去分析我们的时代背景和全球化进程，讨论不同国家的政治转型与国家能力，以及文化和经济对政治变迁的影响。
“政治是可能性的艺术。”当我们将面对的政治现实当作一万种可能性之一来对待时，就能从此时此地抽离，获得一种俯瞰的视角，进而再聚焦定位现实，在浩瀚的可能性中理解我们自身。",6,923,0,57.4,https://weread-1258476243.file.myqcloud.com/weread/cover/46/3300016646/s_3300016646.jpg
论中国,2015-07-01 00:00:00,政治军事-政治,《论中国》是美国前国务卿亨利·基辛格唯一一部中国问题专著。他以一位资深外交家和思想家的独特视角，分析和梳理了中国自鸦片战争以来的外交传统，从围棋文化与孙子兵法中探寻中国人的战略思维模式，特别是试图揭示新中国成立以来，中国外交战略的制定和决策机制，以及对“一边倒”的外交政策、抗美援朝、中美建交、三次台海危机等等重大外交事件来龙去脉的深度解读。作为历史的亲历者，基辛格博士还在书中记录了自己与毛泽东、邓小平等几代中国领导人的交往。本书用世界视角国际眼光，重新解读中国的过去和未来，凝结了基辛格博士的战略理论以及对中国问题数十年的研究成果，注定将成为让世界认识中国、让中国重新认识自己的一部重量级作品！,16,835,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/582/914582/s_914582.jpg
台湾问题与中美关系,2009-08-01 00:00:00,政治军事-政治,台湾问题是中美关系中的重要问题。《台湾问题与中美关系》从历史到现实，梳理了自18世纪末到21世纪初美国与台湾长期、特殊关系的逐步演进；回顾了1949年后两岸关系从隔绝对抗到如今交流密切、往来频繁的曲折发展；阐述了近60年来中美之间围绕台湾问题既有斗争又有合作的复杂进程。《台湾问题与中美关系》还分析了美国政府对台政策的内容及原因；评述了中共四代领导人关于台湾问题思路、策略不断发展的成果；梳理了在蒋介石、蒋经国、李登辉、陈水扁主政的时期台湾当局大陆政策的调整变化。《台湾问题与中美关系》作为大学本科生的教材，是阐述台湾问题与中美关系基本知识的学术性读物，有助于读者深入了解台湾问题的来龙去脉，客观把握其中的是非曲直，增强完成祖国统一大业的信心，适合专业读者和大专院校学生阅读。,13,842,0,22.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/472/24273472/s_24273472.jpg
李光耀观天下（精装版）,2018-02-01 00:00:00,政治军事-政治,出生于1923年的新加坡前总理李光耀，一生密切地参与国际事务。从毛泽东到习近平，他见过中国每一位主要领导人，从林登·约翰逊到奥巴马等美国总统也与他有密切交往。2015年3月23日李光耀与世长辞，使得本书成为这位世界著名政治家的绝笔书。在这本书中，李光耀凭借其丰富经验和深刻洞察力，对今天世界的形势和20年后世界可能展现的面貌提出看法。这本书绝不是枯燥的地缘政治论述，也不是全球事务迂回曲折发展的专题报告。相反，在横跨美国、中国、亚洲和欧洲的广博叙述中，他剖析了它们的社会、探究其人民的心理，并提出了有关这些国家未来的结论。李光耀在书中表达的坦率且往往令人惊讶的观点，使本书成为一本新鲜生动又引人入胜的读物。为使本书完整，李光耀也探讨了他长久以来最关切的新加坡的未来，并让读者一窥他的私人生活和他对死亡的观点。本书每章中还穿插了他接受《海峡时报》访谈的问答录，有助于读者进一步理解他的观点。,3,924,0,62.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/802/31231802/s_31231802.jpg
《实践论》《矛盾论》导读（增订版）,2017-09-29 00:00:00,政治军事-政治,《实践论》《矛盾论》是毛泽东关于马克思主义认识论的代表著作。作者借用马克思主义的认识论观点揭露党内的教条主义和经验主义，特别是教条主义的主观主义错误。运用唯物辩证法总结了中国共产党领导中国革命斗争的实践经验，深刻地阐述了对立统一规律。由中国民主法制出版社、研究出版社联合出版的《〈实践论〉〈矛盾论〉导读》，在附原文的基础上，以经典原著的写作背景、成书过程、结构内容和观点及其历史影响和现实意义为脉络，对《实践论》《矛盾论》进行了细致入微的解读，同时对其中暗含的哲理给予了充分扩展，突出当代价值与时代特色，利于广大党员干部和青年学生深入理解和掌握马克思主义的原理，也有助于理解现代资本主义社会制度缺陷和社会主义制度的优越性所在。,3,897,0,19.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/318/25915318/s_25915318.jpg
政治学通识,2019-04-01 00:00:00,政治军事-政治,《政治的常识》是作者在复旦大学政治学课程讲义的基础上修改润色而成的。本书力求成为一部通俗易懂、深入浅出的政治学普及入门读物。这部书正是为那些对政治和公共事务感兴趣的读者朋友们而写的。通过本书，作者希望能够帮助读者加深对中国政治与世界政治的认知，帮助读者理解政治学领域的重大议题、主要理论与基本方法，帮助读者养成健全与系统的政治思考能力。,39,861,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/777/24275777/s_24275777.jpg
看懂世界格局的第一本书1：大国博弈,2016-07-01 00:00:00,政治军事-政治,了解当前国际环境、中美国家安全战略、国内政策法规的必读书！热点新闻背后的大国博弈！美国如何通过“货币战争”操纵国际汇率、打压人民币？中国为什么要建造属于自己的航母？,19,776,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/291/907291/s_907291.jpg
胜者思维,2017-04-01 00:00:00,政治军事-政治,关于胜利：成吉思汗说：越不可越之山，则登其巅；渡不可渡之河，则达彼岸。毛泽东说：红军不怕远征难，万水千山只等闲。任正非说：除了胜利，我们已经无路可走。这就是胜者思维。即便在最黑暗、最失败、最无望的时刻，他们内心也有一杆胜利的旗帜呼拉拉飘扬。本书为高层智囊金一南以“胜者”为出发点，结合历史大格局，所研究得出最终制胜新理念的文章合集。作者以极其广阔的视野、一以贯之的犀利文笔、磅礴的气势，生动客观地阐述了领导者应当具备的各种能力，里面引用了中国以及全球其他领导者在不同时期、不同地点的不同事件中不同的处理方式所带来的不同结果，用以大见小的事例，可以帮助领导位置的人掌握更好的危机处理方式以及提升管理能力。,15,937,0,44.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/989/37335989/s_37335989.jpg
