title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
红楼梦,2019-10-17 00:00:00,文学-古典文学,《红楼梦》，中国古代古代四大名著之一，也是中国古代小说的巅峰之作。全书以荣国府的日常生活为中心，以宝玉、黛玉、宝钗的爱情婚姻悲剧及大观园中点滴琐事为主线，以金陵贵族名门贾、史、王、薛四大家族由鼎盛走向衰亡的历史为暗线，展现了封建时代家族和社会的没落。,27,916,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/967/34615967/s_34615967.jpg
水浒传,2019-11-01 00:00:00,文学-古典文学,此次出版大字本，底本拟采用发行量最大的“中国古典文学读本丛书”四大名著，其中《三国演义》《西游记》经过全面修订，更臻完善。,32,887,0,50.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/986/29855986/s_29855986.jpg
三国演义,2012-01-01 00:00:00,文学-古典文学,中国第一部长篇章回体历史演义小说，以描写战争为主，反映了吴、蜀、魏三个政治集团之间的政治和军事斗争。在广阔的背景上，上演了一幕幕波澜起伏，气势磅礴的战争场面，成功刻画了曹操、刘备、孙权、诸葛亮、周瑜、关羽、张飞等脍炙人口的人物形象。,39,910,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/417/139417/s_139417.jpg
西游记,2012-01-01 00:00:00,文学-古典文学,梦回坎坷艰难的西行，在神魔仙境中畅游，与孙大圣一起龙宫寻宝，大闹天宫，修改生死簿；与唐僧一起去取经西方，看途中风土人情；还有好吃懒做的猪八戒与辛劳的沙僧！偷吃人参果，三打白骨精，莲花洞降妖，收服红孩儿，女儿国奇遇……世界上最经典的神话传奇故事，你不得不看。,100,910,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/418/139418/s_139418.jpg
西游记,2019-09-11 00:00:00,文学-古典文学,此次出版大字本，底本拟采用发行量最大的“中国古典文学读本丛书”四大名著，其中《三国演义》《西游记》经过全面修订，更臻完善。,32,936,0,29,https://wfqqreader-1252317822.image.myqcloud.com/cover/845/34631845/s_34631845.jpg
三国演义,2019-07-17 00:00:00,文学-古典文学,古典小说《三国演义》从汉灵帝黄巾起义写起，到西晋三国统一为止，描写了九十余年的重大历史事件及历史人物的活动，展示了三国兴亡的历史画卷，形象地再现了这一风云变幻的历史时代，生动地揭示了统治集团内部尔虞我诈、争权夺利的关系。 由人民文学出版社出版的《三国演义》是以毛宗岗本为底本、经过多次整理校订而成的迄今国内发行量最大、最权威的版本，自面世以来，一直是市场上最受读者欢迎古典文学名著之一。,38,877,0,39.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/984/29855984/s_29855984.jpg
水浒传,2011-10-01 00:00:00,文学-古典文学,《水浒传》，是我国第一部以农民起义为题材的长篇章回小说，是古代英雄传奇小说的典范作品。数百年来，它一直深受我国人民、乃至世界人民的喜爱。,17,875,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/316612/s_316612.jpg
红楼梦（全二册）,2017-01-01 00:00:00,文学-古典文学,"《红楼梦》又名《石头记》，被尊为中国古典四大名著之首。它不仅是中国古典小说第一之作，堪称中国封建社会的百科全书，传统文化的集大成者，也是世界文学海洋中的一颗璀璨明珠。作为一部具有世界影响力的人情小说作品，该书通过家族悲剧、女儿悲剧及主人公的人生悲剧，揭示出封建末世危机。全书以贾、史、王、薛四大家族的兴衰为背景，以贾府的家庭琐事、闺阁闲情为脉络，以贾宝玉、林黛玉、薛宝钗的爱情婚姻故事为主线，着重描写了贾家荣、宁二府由盛到衰的过程。
",16,935,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/173/926173/s_926173.jpg
红楼梦（全集）,2017-04-01 00:00:00,文学-古典文学,一部适合当今读者阅读的“原貌红楼梦”。不用再读那么多版本，就能体验阅读《红楼梦》的乐趣。本版正文的编校历时三年，前80回据脂本全新精校，以程高本后四十回补足全文。吸纳近几十年来重要的红学研究成果，参考了几个有代表性的当代校本，博采众长的同时，也作了大量的勘误。在字词、文本结构、语言风格上全面恢复作者原笔文字。是《红楼梦》226年出版史上的又一次重大突破。,18,913,0,22,https://wfqqreader-1252317822.image.myqcloud.com/cover/419/910419/s_910419.jpg
三言二拍（套装五本）,2018-10-01 00:00:00,文学-古典文学,作家大冰推荐版本，“于无常处知有情，于有情处知众生。”千百年俗世奇人奇事，尽在三言二拍；两百篇经典短篇小说，写透人间百态，写透江湖传奇故事，不愧是小说版《清明上河图》。“三言二拍”，是中国古代白话短篇小说大全集，包括明代文学大师冯梦龙编著的“三言”：《喻世明言》《警世通言》《醒世恒言》，小说大师凌濛初编著的“二拍”：《初刻拍案惊奇》《二刻拍案惊奇》。“三言二拍”总共两百篇经典白话短篇小说，完整囊括了宋、元、明三代白话短篇小说精髓，书中的每一个故事，独立精彩又跌宕起伏，白娘子永镇雷峰塔、杜十娘怒沉百宝箱、俞伯牙摔琴谢知音等中国人耳熟能详的经典故事，均源自“三言二拍”；“不受苦中苦，难为人上人”“画龙画虎难画骨，知人知面不知心”等深刻影响中国人价值观的名言警句，同样源自“三言二拍”。,27,838,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/300/23492300/s_23492300.jpg
红楼梦,2016-04-18 00:00:00,文学-古典文学,《红楼梦》是一部具有世界影响力的人情小说作品，举世公认的中国古典小说巅峰之作，中国封建社会的百科全书，传统文化的集大成者。小说以贾、史、王、薛四大家族的兴衰为背景，以贾府的家庭琐事、闺阁闲情为脉络，以贾宝玉、林黛玉、薛宝钗的爱情婚姻故事为主线，刻画了以贾宝玉和金陵十二钗为中心的正邪两赋有情人的人性美和悲剧美。通过家族悲剧、女儿悲剧及主人公的人生悲剧，揭示出封建末世危机。,36,929,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/684/23303684/s_23303684.jpg
聊斋志异,2016-03-21 00:00:00,文学-古典文学,"    《聊斋志异》是清初的一部短篇小说集，共收小说近五百篇，或讲民间的民俗民习、奇谈异闻、或讲世间万物的奇异变幻、题材极为广泛。《聊斋志异》为读者描绘了一个诡异奇幻的世界，借描绘狐仙鬼怪，反映人间百态，具有浓郁的浪漫主义色彩。书中既有对漆黑如墨的现实的不满，又有对怀才不遇、仕途难攀的不平；既有对贪官污吏狼狈为奸的鞭笞，又有对勇于反抗、敢于复仇的平民的赞叹；而数量最多、质量上乘、写得最美、最动人的是那些人与狐妖、人与鬼神以及人与人之间的纯美爱情。此书历来被视为小说中的翘楚之作，有“空前绝后”的美誉。
",7,713,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/400/814400/s_814400.jpg
道德经（无障碍阅读插图本）,2017-06-01 00:00:00,文学-古典文学,《道德经》仅五千余言，但文约意丰、博大精深，涵盖哲学、伦理学、政治学、军事学等诸多学科，不仅对中国古老的哲学、科学、政治、宗教等产生了深刻的影响，而且对中华民族的性格铸成、政治的统一与稳定，都起着不可估量的作用。《道德经》做为中国历史上一部完整的哲学著作，被誉为“万经之王”。,54,907,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/909/34129909/s_34129909.jpg
东周列国志：中国古典白话短篇小说的巅峰,2016-03-21 00:00:00,文学-古典文学,《东周列国志》是明代著名白话历史演义小说，以春秋五霸和战国七雄为主线，描写了西周末年到秦统一六国五百多年间的璀璨历史，其场面之宏大，跨度之久，事件之复杂，人物之多，描绘之深刻，后世史书只能望其项背。一个个以时间为顺序串联的列国故事，把上起治国、强军、富民之道，下至为人、做事、相处之策兼包并蓄，成为后世评判是非成败的标准和榜样，至今依然影响深远。,34,892,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/401/814401/s_814401.jpg
世说新语（全集）,2019-11-01 00:00:00,文学-古典文学,"    《世说新语》由南朝宋临川王刘义庆组织门下文人编撰而成，是我国最早的一部记述魏晋人物言谈逸事的笔记体小说。全书共36篇1000多则，反映了魏晋时代尤其是当时名士的风貌。自诞生以来，即以风流放诞、率真超脱的“魏晋风度”，深刻影响了中国文人及文化史，从而成为中国人不可不读的一部经典。本版《世说新语》是由超人气作家小岩井倾心翻译，除译文外，另撰写1700余条注释和500余条简评，帮助我们探索经典古籍的魅力。
",12,847,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/88/28394088/s_28394088.jpg
红楼梦,2011-09-01 00:00:00,文学-古典文学,"    《红楼梦》又名《石头记》，是中国古典小说的巅峰之作，位居“中国古典四大名著”之首。一般认为全书前八十回由清代小说家曹雪芹所作，后四十回由高鹗续成。这部中国文学史上的鸿篇巨制，以其丰富的思想内容、伟大的艺术成就和深远的文化影响成为中国古典文学史上的一朵奇葩。
",20,917,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/606/316606/s_316606.jpg
夜航船：年轻人要熟知的4248个文化常识（作家榜经典）,2018-10-01 00:00:00,文学-古典文学,读过《夜航船》，灵魂才有趣！这是一部有趣、有料的文化常识小百科。囊括天文地理、古玩奇器、珍禽异兽、诸子百家、宫廷秘闻、草木花卉、三教九流、鬼怪神异……包含20大类4248个文化常识，趣味性、知识性和故事性完美结合的不朽经典，问世300年一直秘本流传，仿佛漫天星光，在漆黑的夜空闪烁，璀璨而迷人。如果只读一本书，就能让你变得博识有趣，非《夜航船》莫属。,38,741,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/130/25169130/s_25169130.jpg
