title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
红星照耀中国,2016-06-01 00:00:00,文学-纪实文学,根据本书改编的同名电影8月8日上映，柯南·何裴、王鹏凯、李雪健、蒋雯丽、李幼斌主演。《红星照耀中国》（曾译《西行漫记》）自1937年出版以来，畅销至今。董乐山译本是今天了解中国工农红军的经典读本。本书真实记录了斯诺自1936年6月至10月在中国西北革命根据地进行实地采访的所见所闻，向全世界报道了红色根据地的情况。此次新版配有十余幅珍贵历史照片，是由人民文学出版社推出的经典版本。,20,899,0,17,https://wfqqreader-1252317822.image.myqcloud.com/cover/280/23021280/s_23021280.jpg
桶川跟踪狂杀人事件,2021-02-01 00:00:00,文学-纪实文学,一九九九年十月二十六日，年轻女子猪野诗织在日本埼玉县JR桶川站前遭人持刀刺死。受害者生前因长期受到跟踪骚扰而多次向警方报案，警方却未予重视，最终没能阻止悲剧的发生。记者清水洁在调查这一事件的过程中，依从受害者生前留下的“遗言”的引导，多方走访查证，在警方轻视线索、调查不力的情况下，以记者的身份找到了实行犯，进而揭露了警方对受害者生前报案的漠视、敷衍，以及案发后试图抹黑受害者、掩盖渎职事实的行为。此案引发强烈的社会反响，推动了日本《跟踪骚扰行为规范法》的出台。本书是该事件的全记录。,6,915,0,27,https://wfqqreader-1252317822.image.myqcloud.com/cover/704/38585704/s_38585704.jpg
东京贫困女子,2021-01-01 00:00:00,文学-纪实文学,在这本书的采访中，有在入学典礼前被迫进入风俗行业的花季少女，有付不起医疗费用的东京大学硕士，有名校毕业却因为贫困不得不让孩子退学的单身母亲……她们中很多人高学历、家境良好，似乎和贫困毫不沾边，她们的人生看似风调雨顺，背后却是一步也不能后退的贫困深渊。其实，她们不在远方，她们也可能是我们。,21,832,0,35,https://wfqqreader-1252317822.image.myqcloud.com/cover/334/40504334/s_40504334.jpg
打开一颗心,2018-11-01 00:00:00,文学-纪实文学,"    一位艺业精湛、傲气十足又敬畏生命的外科医生形象跃然纸上。那些十几年甚至几十年前就存在的顶尖外科技术也令读者叹为观止。在展现心胸外科手术的神乎其技之余，作者也借病症、病患和自己的业务游历，揭示了人世百态，介绍了世界各地的风物文化，展现了一名外科医生眼中所见的悲伤与爱，以及对医疗制度、伦理和医学教育的反思，令读者收获很多感触和启发，是一部兼具叙事魅力、医学知识和奇迹的佳作。
",9,943,0,36.75,https://wfqqreader-1252317822.image.myqcloud.com/cover/532/29348532/s_29348532.jpg
我的二本学生,2020-08-20 00:00:00,文学-纪实文学,《我的二本学生》是黄灯作为高校教师，对自己十三年教学实践的总结和反思，也是对中国高校市场化实践的一个诚恳反馈。在对自己的教学对象，即普通二本院校学生的长期接触和观察中，作者为读者呈现了他们的青春、犹疑，困惑，天真和挣扎，并后续跟踪了他们的前途，比较全面地展示了这个群体隐匿的生命境况，同时这本书也折射出中国最为多数的普通年轻人的成长状况和命运。这是一本资料详实、观点深入的原创非虚构作品。,8,752,0,27,https://wfqqreader-1252317822.image.myqcloud.com/cover/965/34615965/s_34615965.jpg
隐谷路：一个精神分裂症家族的绝望与希望,2021-10-01 00:00:00,文学-纪实文学,在外人看来，美国科罗拉多州斯普林斯市的加尔文一家是一个完美的中产家庭：丈夫多恩热情洋溢，是一名空军学院军官，妻子咪咪则是来自得克萨斯州一个上层家庭的大家闺秀，他们还有12个可爱的孩子。但在这种表面的光鲜下，有一股这对夫妇无法理解的力量正在涌动。短短十年间，12个孩子中的6个先后罹患严重的精神分裂症，另6个孩子则在恐惧中等待，等待自己成为下一个，等待更多痛苦和伤害的降临。癫狂、屈辱和暴力从未饶恕过这个家庭，笼罩在这个家庭之上的也远不止自残和谋杀。基于对所有健在当事人的采访和大量医学档案资料，作者罗伯特·科尔克以饱含同情和悲悯的笔触讲述了精神分裂症吞噬这个家庭的全过程。这个特殊的家庭也为探寻精神分裂症的病因和治疗方法带来了一丝希望。以加尔文一家的故事为脉络，科尔克在书中梳理并穿插了过去一个世纪医学界有关精神分裂症病因的观点和争论、这种疾病治疗方法的演变、社会对精神分裂症病人及其家人的偏见和歧视。从弗洛伊德与荣格的分歧与决裂，到整整一代治疗师将病因归咎于“精神分裂症妈妈”，从理论家们抛弃疾病的概念并执着于对其进行颠覆，到医学研究者抽丝剥茧寻找这种疾病的生物学原因，本书都一一做了介绍。,17,952,0,54.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/389/41355389/s_41355389.jpg
被抹去的一家（译文纪实）,2022-04-01 00:00:00,文学-纪实文学,"“恰恰是无力逃脱，才是家庭暴力的显著特征。”语言暴力、电击殴打、社会隔绝、指使谋杀，一起轰动日本的连环监禁杀人案，摧毁受害者人格的恐怖深渊。
北九州连环监禁杀人案发生在一九九六年至一九九八年间，但直到二〇〇二年才浮出水面。这桩前所未有的恶性案件震惊日本。
主犯松永太和绪方纯子虽未登记结婚但形同夫妻。松永太对绪方纯子进行了长达二十年的家暴，通过精神和肉体双重虐待对后者实施“洗脑”，令其成为自己的帮凶。
被害的七人中有六人是绪方纯子的亲属，松永太没有亲自动手，而是用暴力支配受害者。他将受害者分级排序，制造恐慌。为了不被惩罚，为了不落到等级的末位，受害者彼此监视告密，直至互相残杀……",4,794,0,33.99,https://weread-1258476243.file.myqcloud.com/weread/cover/8/3300024108/s_3300024108.jpg
在工作中，看到中国,2022-05-01 00:00:00,文学-纪实文学,本书书稿精选自网易非虚构公众号“人间thelivings”，其“寻业中国”栏目中发表的系列征文稿件，为各行各业的从业者对自己或周围人工作的口述：农民、app内容审核员、销售、历史老师、海员、黄金分析师、开锁匠、基层社区调查员……这些劳动者们或被时代裹挟，或是迎澜而上；或主动追求自身理想，或无可奈何生存所迫；或在本业中找到生命价值，或在迷失后重寻人生意义。他们的经历演绎了不同职业的酸甜苦辣，他们的工作支撑起这个社会的平稳运转，他们的故事万花筒一般映射出当代中国人的生活，在这些“真实的故事，真正的生活”中，我们能够看到一个生动的当代中国，或许，也能重新思考“工作”本身的价值与意义。,5,887,0,48.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/149/44346149/s_44346149.jpg
她来自马里乌波尔,2021-04-01 00:00:00,文学-纪实文学,“亲爱的上帝，请让我感觉她感觉到的，只要一瞬间就好。”多年之后，女儿这么说道。娜塔莎·沃丁十岁的某天，母亲出门，再也没有回来，后来才得知母亲自沉雷格尼茨河，没能留下只言片语；父亲则酗酒，终日埋首俄语书籍。——在那之后，作者才意识到自己对她一无所知，唯一知道的是她来自马里乌波尔，1943年作为强制劳工被驱离乌克兰，前往德国。凭借少得可怜的线索，娜塔莎·沃丁一点一点地把碎裂的瓷片拼接在一起，她发现，这个家族的过往是一个巨大的谜，是一则关于东欧苦难的历史寓言……作者用迷人的方式完整还原了一部母亲的个人史、家族史、二十世纪动荡史。虽然这是一部非虚构作品，却比虚构作品更魔幻，更戏剧化，也更惊心动魄。,5,928,0,36.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/156/37726156/s_37726156.jpg
红星照耀中国,2018-10-01 00:00:00,文学-纪实文学,根据本书改编的同名电影8月8日上映，柯南·何裴、王鹏凯、李雪健、蒋雯丽、李幼斌主演。《红星照耀中国》是西方记者对中国共产党和红军的第一部采访记录，也是新闻史和报告文学史上里程碑式的作品。书中不仅记载了大量有关中国红军和苏区，以及毛泽东等革命领导人的第一手资料，而且深入分析和探究了“红色中国”产生、发展的原因，对中国共产党和中国革命做出了客观的评价。由于其对历史的权威记录，以及对历史趋势的准确预见，本书成为风靡全球的经典名著，被译成近二十种文字。,22,921,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/386/25409386/s_25409386.jpg
