title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
真希望我父母读过这本书,2020-08-01 00:00:00,生活百科-育儿,与一般的“亲子教养书”不同，这本书并没有把养育孩子当作令人生畏的杂事。育儿是一种关系，孩子是要被理解和支持的个体。归根结底，在孩子身上的投入，不仅会使他们以后成为更优秀的人，而且也会使你自己变得更好。 它的阅读体验并不轻松，正如作者所说，任何父母都会为了孩子奉献自己，但美好的愿望也许不会带来理想的结果。父母的心愿就是让孩子幸福快乐，让他们过上美好的生活，但我们往往意识不到，自己是如何在无心之中伤害了孩子。 这本书会剖析我们在亲子教养方面犯下的错误，尤其是那些我们从来不想犯的错，这些错误的深层心理根源，以及有了过错之后我们如何弥补，修复裂痕。 这本书将帮你：了解自己的成长经历如何影响了你的亲子教养方式。 看清亲子关系是如何变质的，以及如何让它恢复正常。 与孩子建立真正的联结，学会用心倾听，培养情绪稳定的孩子。 打破恶性循环，及时补救与修复裂痕，避免把你以前吃过的苦复制到孩子身上。 学会处理自己与孩子的感受，让孩子在和谐的关系中成长。 学习如何与婴儿、儿童、青少年和长大成人的孩子相处，让亲子关系变成孩子一生的力量之源。,13,868,0,28.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/5/33140005/s_33140005.jpg
准爸爸读胎教故事,2012-01-01 00:00:00,生活百科-育儿,"胎宝宝来了，胎教绝不是准妈妈一个人的事情，准爸爸的参与，不仅能让准妈妈感觉受到重视与疼爱，胎宝宝也能感受到准妈妈愉快的心情，他会更健康更快乐，亲情这根绵延万里的暖带子，把全家人紧紧联系在一起。
　　男人们都曾梦想过成为万事通，就像机器猫的口袋，能应付朋友们提出的所有问题；男人们也曾时不时冒出古怪问题，但绝大多数都未获解答，随着成长梦想慢慢灭掉，也慢慢忘记了。当男人即将成为爸爸，发现这些念头又重出江湖，精灵般的孩子也开始“继承”这些想法。准爸爸跟孩子交流，睡着故事天天读就是最好的方法。
　　故事寓意丰富，文字温暖包容，故事简单易懂，充满智慧爱心，这一切都将伴随着宝宝变成美丽的蝴蝶的那一天。",18,830,0,5.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/59/706059/s_706059.jpg
好妈妈胜过好老师：一个教育专家16年的教子手记,2017-08-01 00:00:00,生活百科-育儿,《好妈妈胜过好老师》是尹建莉第一部家庭教育著作，是中国家庭教育里程碑之作。2009年一经出版发行，即引起巨大轰动，数年来一直高居各大畅销榜前列，数次登上几大畅销榜榜首，荣获二十多项大奖。在家教类别图书中则是恒定的榜首常青树。受到各学历层次、各年龄层面、各种人群的普遍欢迎。《好妈妈胜过好老师》既有国际视野，又具中国传统文化精髓，紧贴现实生活，颠覆了许多流传已久的错误教育观念，展示了正确教育的做法和魅力。首次把家庭教育著作提升到专业化高度，且文笔流畅，可读性强，改变了长期以来教育专业著作远离生活的现象。本书融专业性、实用性与文学性于一体，在普及优质家庭教育理念方面形成广度和深度，直接推动了中国家庭教育的进步，标志着中国家庭教育理念开始和世界先进水平接轨。,4,890,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/682/174682/s_174682.jpg
自驱型成长：如何科学有效地培养孩子的自律,2020-01-01 00:00:00,生活百科-育儿,本书还涵盖了控制感背后深厚的科学背景。关于控制感，已有很多举足轻重的研究得以在动物活体（例如大鼠和狗）上完成，其结论并不限于任何特定的种族或文化。对大鼠的生理学研究表明，控制感对大脑本身具有强大的影响力，因为能够控制好压力情境的经验，可以有效增强前额皮质的功能性，还能降低压力水平，并在一定程度上主动塑造大脑，保护它免受压力的负面影响。与此相应，神经科学领域的其他研究也已经表明，低水平的控制感，会让人感到极度紧张——这对心理健康问题的恶化起到了推波助澜的作用。每一个曾经焦虑过的人，都有过认为事态已经失控的经历，任何一个心情沮丧的人也都感受过对自己的生活失去控制的感觉。不争的事实是，无论人们来自何处、如何长大，只要缺少控制感，就会有压力。我们一再强调，好的控制感引发好的改变，我们要相信自己可以做出对生活至关重要的选择，也要相信在面对外力影响时，我们并不无助。,10,860,0,35,https://wfqqreader-1252317822.image.myqcloud.com/cover/265/31304265/s_31304265.jpg
为何家会伤人（百万畅销纪念版）,2018-11-01 00:00:00,生活百科-育儿,本书为心理学经典畅销书《为何家会伤人》百万畅销纪念版。该书出版十余年来，在读者中引起持久震荡，深深触动和改变了千万人，堪称中国家庭问题第1书。本书中，作者细致入微地揭示出中国家庭的运行机理，解读你我的情感模式，用最温暖有力的文字贴着当下读者的心，凭借25年行业经验，带领为家庭关系所困的万千读者一起踏上自我治愈与寻求幸福和自由的旅程。,13,755,0,23.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/424/23562424/s_23562424.jpg
父母的语言：3000万词汇塑造更强大的学习型大脑,2017-09-01 00:00:00,生活百科-育儿,人类的大脑是唯一在出生后还具有可塑性的器官，尤其是在三岁前。三岁前，大脑会发育到成熟期的80%左右，这三年里，使大脑建立神经连接的条件是什么呢？是语言，具体来说，是父母的语言。父母语言对孩子的意义，可能比任何昂贵的早教班都更加深远。推荐父母将这本书买来看看，参考这本书的方法，用“语言”帮孩子塑造更强大的学习型大脑。这本书会指导父母如何在和孩子的对话中，“塑造”孩子的大脑。,27,646,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/357/913357/s_913357.jpg
陪孩子终身成长,2020-04-01 00:00:00,生活百科-育儿,"樊登不仅是40,000,000会员的领读人，还是参与、陪伴和享受孩子成长的父亲。面对东西方多样的育儿理念和方法，家长们无所适从。樊登去芜存菁，将个人认同并验证的教育理念和方法写入《读懂孩子的心》。帮助迷茫中的父母解决了各种棘手难题：孩子抵触写作业、叛逆期、性格内向、缺乏社会能力等等。继《读懂孩子的心》后，父母们渴望找到家庭教育的底层逻辑：什么样的教育应该发生在孩子出现问题之前？什么样的原则应该渗透到日常所有的教育中？樊登在《陪孩子终身成长》中建立起亲子教育的三根支柱：无条件的爱、价值感、终身成长的心态。无条件的爱，为孩子提供幸福和勇气；价值感，让孩子有内驱力去创造成就；终身成长的心态，是一切美德背后的美德。本书献给所有渴望和孩子一起成长的父母：孩子提出的每一个问题，都将是彼此成长的一次机会。",10,860,0,29.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/328/30577328/s_30577328.jpg
养育男孩,2014-07-07 00:00:00,生活百科-育儿,这是一本丈夫会悄悄从妻子手中偷走的书，它简单、直接、易于阅读，它教你如何做一个好母亲——无论你的儿子是婴儿、男孩、少年还是青年；它教你如何做一个好父亲——即使你的父亲冷漠而疏远，你还是可以成为一个与其不同的父亲，在自己的家庭中扮演更好的角色。如果你是一名教师，或是研究最新男孩心理学的教授，这本书也将对你大有裨益。,7,728,0,19.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/782/635782/s_635782.jpg
你就是孩子最好的玩具（升级版）,2019-09-01 00:00:00,生活百科-育儿,"    在处理与孩子沟通的问题时，控制、放任、贿赂、威胁都是家长们常用的方法。这些不同类型的教育方法都有一个严重的缺陷，那就是可能导致孩子无法以恰当的方式来表达情感和进行沟通，从而无法建立起父母与孩子的亲密关系，孩子也就无法得到家庭关系所带来的归属感和安全感。与这些方法相比，情感引导的教育方法更加充满关爱，也更符合逻辑和人性。因为只有情感引导型父母才会把这些棘手的情况当成了解孩子内心世界的好机会，并且对孩子的情绪给予同情和理解，在沟通中增进亲子关系，进而提高孩子的情商和沟通能力，为他们将来的成长打下有益的基础。
",22,910,0,21.69,https://wfqqreader-1252317822.image.myqcloud.com/cover/280/29074280/s_29074280.jpg
陪孩子走过小学六年（第3版）,2016-11-01 00:00:00,生活百科-育儿,"小学六年，决定和影响了人生后面的六十年。孩子的成长是自然且独特的，教育最坏的示范就是给一个孩子的成长设限，不要随意在孩子生命的白纸上写下我们的规定。放低期许，放慢脚步，陪孩子走过小学六年。让孩子爱上学习的“吸铁石”，增进沟通的“家庭邮箱”，培养契约意识的“家庭守则”，妈妈“随意”散放的书刊，爸爸“刻意”设计的欢迎回家仪式……“陪伴教育”专家刘称莲用质朴而细腻的笔触，重温女儿小学成长的点点足迹，以及这些足迹如何为女儿铺就了通往北京大学的坚实台阶。
",17,846,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/36/861036/s_861036.jpg
睡前胎教故事,2012-05-01 00:00:00,生活百科-育儿,　孕妈妈必读的70个胎教故事，与准爸爸一起，睡前念给宝宝听，让这些温暖、友爱、有趣、可爱的故事陪伴着胎宝宝成长。,30,722,0,5.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/58/706058/s_706058.jpg
怀孕40周看这本就够了,2014-07-01 00:00:00,生活百科-育儿,《怀孕40周看这本就够了》以怀孕10月为纵线，分40周阐述，将胎宝宝每周、孕妇营养、孕妇日常生活护理、孕检、胎教、适当的“孕”动等孕期科普知识.分门归类，合理安排，使准爸妈们查阅起来快速简便，将书放在家里，或带在身边，就如同身边有一位妇产科专家在随时随地关心你、指导你。,5,778,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/365/824365/s_824365.jpg
读懂孩子的心,2019-03-01 00:00:00,生活百科-育儿,"樊登关于亲子教育的首部作品。作为15,000,000会员的读书带领人，樊登分享他从上千本亲子教育书籍中所领悟到的教养规律。内容实用、实用、更实用，樊登读书快速崛起的秘密，在于樊登能精准把握什么样的内容对读者最有实际作用，本书一以贯之。适合中国家长人手一本，深入浅出，接地气，涵盖孩子成长所有关键点，从学习到性格到情商，帮家长全面掌握孩子成长规律。",2,838,0,28,https://wfqqreader-1252317822.image.myqcloud.com/cover/708/24240708/s_24240708.jpg
当我遇见一个人：母婴关系决定孩子的一切关系,2016-06-01 00:00:00,生活百科-育儿,早期我们和父母的关系，内化成我们的性格，决定了命运。人的一生，就是在一遍遍轮回童年的幸或者不幸。童年经历如木马程序一般写进每个人的潜意识，精准控制着人生轮回。打破轮回从看见自己和孩子开始。当“我”足够清晰，“我爱你”才可能真实有力。借由一本书穿越回自己的童年，也看到孩子的当下，用丰盛的爱款待儿时的自己和身边的孩子，抚慰那个从不曾离开自己的、躲在阴影里的小孩。接纳并完善自己，教育是一种传递，当自己杯满之后，孩子自然会顺着对的方向一路蔓延。,12,796,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/658/920658/s_920658.jpg
每天10分钟胎教故事,2014-09-01 00:00:00,生活百科-育儿,《每天10分钟胎教故事》是孕妈妈必读的胎教故事，与准爸爸一起，睡前念给宝宝听，让这些温暖、友爱、有趣、可爱的故事陪伴着胎宝宝成长。介绍有趣味性的胎教方式图文结合，知道孕妇操作执行，文字内容突出指导性。,45,844,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/104/598104/s_598104.jpg
如何说孩子才会听，怎么听孩子才肯说（大全集）,2011-12-01 00:00:00,生活百科-育儿,"    天下没有哪一个父母不盼望自己的孩子能成龙成凤的，但无数事实证明，没有一个孩子是在父母的打骂中成才的。棍棒威吓可能会起作用，但只是暂时的，不会持久。只有父母会说也会听，才能培养出真正优秀的孩子。父母的一句话，可以照亮孩子的一生，让孩子的人生充满阳光和快乐；同样，父母的一句话也可以让孩子受到伤害，产生心理阴影。既然父母的态度和语言有如此强大的力量，所以作为父母，应当在孩子面前充当爱神和智者。《如何说孩子才会听,怎么听孩子才肯说大全集（超值金版）》围绕“如何说”、“怎么听”两个主题，结合现代家庭教育中父母容易碰到的难题设置场景再现，并进行深度诠释。
",4,758,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/185/334185/s_334185.jpg
爱弥儿,2018-01-01 00:00:00,生活百科-育儿,孩子就像一棵小树，刚生下来是充满勃勃生机。可是，不当的教育，就像一个不熟练的园丁，将这课小树修剪得乱七八糟，从而使他失去了原有的活力。既然如此，为何不顺应孩子的自然天性，按照他的成长规律，将其培养成才呢？孩子有着探索世界、发展各种能力的本能，所以无需我们的干预，他们本身就具有成长的冲动。在孩子自由发展的时候，我们只需给他提供良好的环境、一定的帮助和引导，就能使他的能力均衡地发展。因此，与其赋予孩子学习的动力，不如叫他自己引燃学习的热情。我们可以通过日常生活中的一些事情，让孩子意识到自己知识上的不足，使他们渴望能够获得这些知识。另外，我们还要通过锻炼孩子的动手能力，培养他的技能，使他具有谋生的能力。,12,789,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/948/23433948/s_23433948.jpg
父母的觉醒,2013-09-01 00:00:00,生活百科-育儿,"《父母的觉醒》是一本从心理与情感层面讲述教养之道的书。“觉醒”意味着对我们经历的一切事情保持清醒，按照现实的本来面目去接受和应对它，而不去妄图控制或改变它。也就是说，我们在教养孩子的时候，要依从他们的本性，接纳他们的本真。父母的觉醒与改变是教育的真正开始。父母只有安顿好自己的身心，才能帮助孩子成长为一个健全的人。
",5,839,0,21.32,https://wfqqreader-1252317822.image.myqcloud.com/cover/299/231299/s_231299.jpg
