title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
教授与年轻人,2022-07-01 00:00:00,科学技术-科学科普,“特别会讲故事的国博讲解员”河森堡原创科普故事集。“冷山大学”里的高冷教授“荒白”与痞子少年“秦子”，一对“被命运绑在一起”的师徒，30场关于宇宙、历史、人生、自我等宏大命题的认知思辨之旅。若你曾思考一些旁人很少想到的问题：比如“人类花大价钱探索太空有什么意义？”比如“我们读书、我们追寻诗和远方，有什么价值？再比如“研究甲骨文到底有什么用？”“我们为什么一定要学数学？”……从教授和年轻人的故事里，你可能不会得到一个显而易见的答案，却能从中看到现象背后的本质联系，重新思考前行的方向。他们用30场与日常生活紧密相连的对话，把自然科学、历史人文、社会生活与哲学思辨等多个领域的知识串成“星座”，将答案落脚在“此刻的我们”之上，带领读者重新思考知识对人类当下和未来的价值。比起知识本身，或许这本书更能让你获得一种将多学科交叉的信息融会贯通的意识，学会如何对我们生存的环境中的问题进行“有意义的追问”，以及如何探寻现象背后的事物之间的本质联系，让知识成为帮助我们打开视野、理解万物、增长智慧的工具。,8,896,0,48.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/862/44497862/s_44497862.jpg
宇宙,2021-06-01 00:00:00,科学技术-科学科普,《宇宙》由知名天文学家卡尔·萨根所著，是影响深远的一本天文科普名著，是豆瓣9.5分同名传奇纪录片的姊妹篇。《宇宙》一书将科学思辨和人文精神结合，从我们身边的锁事追溯到万物的开端，从浩渺的宇宙视角审视人类自身。作者在天文、生物、化学和地理学之间进行“异花授粉”，将科学与历史、艺术、人类学和哲学交织，向我们描述了宇宙了前生今世，帮助读者拥抱科学，了解人在宇宙中的位置。,11,914,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/314/39457314/s_39457314.jpg
我们为什么要睡觉？,2021-03-01 00:00:00,科学技术-科学科普,你认为自己最近睡眠充足吗？你还记得上一次自然醒后神清气爽的感觉吗？不用怀疑，我们正在进入一个失眠已经成为流行病的时代。作为一名杰出的神经科学家，沃克对生物的睡眠行为充满好奇，这促使他成了睡眠研究方面的专家。本书中，他总结了人类有史以来的睡眠研究成果，以及前沿的科学突破，告诉我们睡眠的运行机制、睡眠不足的坏处、睡眠与做梦的有益功能，以及睡眠对专业人士个人能力提升的惊人影响。我们的身体健康、心理健康、情商智商、记忆力、运动力、学习力、生产力、创造力、吸引力，甚至食欲，这些让日间生活丰富多彩的能力，原来都与夜间那场睡眠有着密不可分的关系。现在，你知道我们为什么需要充足的睡眠了吧。打开这本书，看平凡的睡眠如何带来非凡的生命能量，顶尖科学对于睡眠的所有了解及如何睡好觉的诀窍都将在这部关于睡眠的“百科全书”中逐一揭晓。,9,849,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/528/43697528/s_43697528.jpg
时间简史（插图本）,2012-01-01 00:00:00,科学技术-科学科普,《时间简史》讲述关于宇宙本性的最前沿知识，但是从那以后无论在微观还是宏观宇宙世界的观测技术方面都有了非凡的进展。这些观测证实了霍金教授在该书第一版中的许多理论预言，其中包括宇宙背景探险者卫星（COBE）的最近发现，它在时间上回溯探测到离宇宙创生的30万年之内，并显露了他所计算的在时空结构中的涟漪。尽管霍金教授的著述极为清晰而机智，有些读者仍然觉得难以掌握复杂的概念。为了使读者加深理解，本版还增加了240多幅彩色插图，包括卫星图像和照片。,6,863,0,28.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/874/757874/s_757874.jpg
是我把你蠢哭了吗,2020-10-01 00:00:00,科学技术-科学科普,人们普遍认为，科学写作应该崇高、严肃，同时也将大脑视为一种界限模糊的构造，既是连通人类经验与未知世界的桥梁，也是一个不可亵渎的妙物。但作者站在神经科学家的立场，却一直在与此唱反调。在作者看来，大脑确实复杂难懂，也的确非常有趣，但若就此把它特殊化，认为它批评不得，就会很没意思。反倒是大脑那些较为随性、杂乱的特性，与其完全无视，反而更应该重视，甚至大书特书。因此，本书不仅写作风格诙谐幽默，而且讲的还都是大脑如何经常犯错的糗事，将神经科学与普通日常生活之间的距离大大拉近，令神秘而引人好奇的大脑走下神坛，帮助读者快乐地了解关于大脑想知道的一切。,5,815,0,25.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/495/37544495/s_37544495.jpg
上下五千年（最新版）,2012-01-01 00:00:00,科学技术-科学科普,《上下五千年》是少儿社的经典品牌读物，经历了三十余年的市场考验，销量一直长盛不衰，得到了好几代读者的信赖和认同。《最新版上下五千年》，延续了老版以故事讲历史的经典形式，按时间顺序编排了370多个历史故事，脉络清晰，通俗易懂。全书内容涵盖政治、军事、科技、文化、经济、艺术、民族、法律、外交、教育等诸多方面，讲述了从盘古开天辟地到1949年新中国诞生的五千年历史。这里不仅有斑斓瑰丽的上古创世神话，有斗智斗勇的春秋战国谋略故事，也有天下一统的秦汉雄风和战事纷扰的三国故事，有气势恢弘、文采精华的唐宋故事和跌宕起伏的元明清朝代更替，还有近代史上的受辱与抗争，以及浴火重生的新中国的建立。捧读这本经典的《上下五千年》，历史画卷顿时在你眼前徐徐展开……,113,885,0,22,https://wfqqreader-1252317822.image.myqcloud.com/cover/184/34744184/s_34744184.jpg
云彩收集者手册,2018-03-01 00:00:00,科学技术-科学科普,《云彩收集者手册》介绍了46种云彩和大气光学现象，并且收录了全世界云彩爱好者拍摄的百余幅精彩摄影作品。从太空边缘的神秘夜光云，到我们周围的重重雾霭，都在这本手册之中。即使没有任何自然观察经验，读者也可以了解云彩的名称、特征、形成原因，鉴别云的种类，并利用书中的趣味记分系统与亲朋好友展开观云竞赛。,8,737,0,22.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/199/22486199/s_22486199.jpg
从一到无穷大,2019-09-01 00:00:00,科学技术-科学科普,清华大学新生礼物，校长邱勇推荐！“大爆炸”理论推动者乔治·伽莫夫的顶级科普经典，风靡全球70余年，鼓舞一代代年轻人走上科学道路。这本书将会回答你如下问题：1.无穷大究竟有多大？2.空间有里外之分吗？3.为什么三维世界里的人无法想象四维空间？4.相对论是怎么“相对”的？5.我们怎么才能看到原子的尺寸？6.核反应时究竟在发生什么？7.生物与非生物的界限在哪里？一，二，三……快进入无穷大的科学世界吧！,10,870,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/687/26295687/s_26295687.jpg
漫画科普：比知识有趣的冷知识,2019-09-17 00:00:00,科学技术-科学科普,海量知识，包罗万象：从生活日常的细节到地球本身的历史，从科技发展的秘密到广博自然的的奥妙，涉猎不同领域，每一页内容都是干货，每一则知识都带来新的思考。多种形式，打破枯燥：突破文字描述为主的科普模式，通过画面进行知识解说，插图、漫画、立绘……数百幅不同形式的图画将枯燥的科普知识灵活展现。还增附作者创作手记与冷知识小剧场，颠覆知识科普制式。这是一套启发思维的科普类图书，也是一套画面精良的知识绘本，书中通过新奇有趣的漫画内容，将鲜为人知的冷知识绘制出来，是一个包罗万象的知识合集。,63,766,0,31.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/34/32490034/s_32490034.jpg
半小时漫画宇宙大爆炸,2021-10-01 00:00:00,科学技术-科学科普,半小时读完138亿年宇宙史，一口气搞懂大爆炸、奇点、黑洞、引力波、暗物质……通过手绘漫画的形式，陈磊（混子哥）及其半小时漫画团队为读者解读从宇宙大爆炸中诞生出的物质和能量，如何指引着宇宙中的一切：粒子抱团成为物质，让太阳一边发生核聚变，一边被引力压得死死的，为人类安全地提供光和热；黑洞虽然会无情地吞噬所有的光，可它的强引力也维持着周边星系的正常运转；暗物质和暗能量的博弈，会左右宇宙未来是被压扁还是被拉扯。不摆吓人的艰深理论，没有沉闷的史料堆砌，在轻松有趣的故事中了解宇宙的惊人面貌。翻开本书，笑着笑着搞定宇宙常识！,5,893,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/690/41414690/s_41414690.jpg
