title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
水浒传（青少年无障碍阅读版）,2016-06-01 00:00:00,童书-幼儿启蒙,《水浒传》是一部气势恢宏的英雄史诗，展现了中国古代社会的人间百态，没有卓越的文思才情和丰富的人生经验，绝对无法写出这样的杰作。阅读如此超凡的经典，是孩子一生宝贵的阅历！,19,848,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/434/32858434/s_32858434.jpg
西游记（小学生无障碍阅读版）,2017-04-01 00:00:00,童书-幼儿启蒙,《西游记》是一条惊险却决不后退的取经之路，更是一部充满神奇色彩、乐观向上的神话史诗。书中展现的如此瑰丽的魔幻世界，是令孩子们钟爱和憧憬的快乐天堂！,19,884,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/446/32858446/s_32858446.jpg
红楼梦（青少年无障碍阅读版）,2016-06-01 00:00:00,童书-幼儿启蒙,《红楼梦》是一场家族兴衰中的爱情悲剧，更是一部在文学、美学、思想甚至生活、建筑等各方面成绩斐然的百科全书，阅读如此丰富的经典，才是孩子一生真正的财富！,19,900,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/438/32858438/s_32858438.jpg
童年,2018-05-01 00:00:00,童书-幼儿启蒙,《童年》是高尔基以自身经历为原型创作的自传体小说三部曲中的第一部（其他两部分别为《在人间》、《我的大学》）。该作讲述了阿廖沙（高尔基的乳名）三岁到十岁这一时期的童年生活，生动地再现了19世纪七八十年代前苏联下层人民的生活状况，写出了高尔基对苦难的认识，对社会人生的独特见解，字里行间涌动着一股生生不息的热望与坚强。,9,892,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/567/39451567/s_39451567.jpg
安徒生童话全集,2021-03-01 00:00:00,童书-幼儿启蒙,《安徒生童话全集》收录了安徒生所创作的166个童话和故事，其中包含了的《海的女儿》《皇帝的新装》《丑小鸭》《卖火柴的小女孩》等名篇；还独家附录了权威译者叶君健老师的6篇随感，以让读者更好地理解安徒生童话诞生的背景，并带领读者去探寻安徒生的生平、足迹以及一些逸闻。《安徒生童话》已被译为150多种语言在世界各地出版发行。,26,754,0,108.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/788/38118788/s_38118788.jpg
史记 : 少年版,2020-03-01 00:00:00,童书-幼儿启蒙,《史记》是中国第一部纪传体通史，被鲁迅誉为“史家之绝唱，无韵之离骚”。学者、作家史杰鹏精选《史记》中的人物故事，用生动的语言重新讲述，再现上千年波澜壮阔的历史画卷。通过严谨的考证、缜密的分析，把精彩的故事和丰富的知识相结合。让孩子走近经典，触摸历史，在成长之路上增长知识，塑造品格。,33,853,0,63.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/618/30660618/s_30660618.jpg
三国演义（小学生无障碍阅读版）,2017-04-01 00:00:00,童书-幼儿启蒙,《三国演义》是一部非凡的英雄史诗，它不仅以优雅的形式表现个体的命运，又在精雕细琢的细节里凸显出历史的波澜壮阔，其浪漫、凄婉而热烈的叙事，精妙的处世哲学与令人叹惋的悲剧色彩，使得此书超越时间与空间的藩篱，在文学的长河里熠熠生辉。,19,854,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/442/32858442/s_32858442.jpg
三国演义（青少年无障碍阅读版）,2016-06-01 00:00:00,童书-幼儿启蒙,《三国演义》是一部非凡的英雄史诗，它不仅以优雅的形式表现个体的命运，又在精雕细琢的细节里凸显出历史的波澜壮阔，其浪漫、凄婉而热烈的叙事，精妙的处世哲学与令人叹惋的悲剧色彩，使得此书超越时间与空间的藩篱，在文学的长河里熠熠生辉。,19,795,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/432/32858432/s_32858432.jpg
写给孩子的论语课,2020-07-01 00:00:00,童书-幼儿启蒙,温故知新、举一反三、言而有信、精益求精、见义勇为、因材施教……很多我们熟悉的成语、俗语、典故，其实都来自一部流传了2000多年的书：《论语》。 《论语》的很多内容，我们很小就接触。不过，我们对于它的了解，可能还不够：《论语》究竟是一部什么样的书？孔子又是一位什么样的人？他和他的弟子之间的言谈录，为何能够流传那么多年？这其中的知识，我们在日常的学习、生活和交往中，又该怎么用？ 担心“之乎者也”不好读？很会讲故事的馒头大师张玮，用故事加漫画的方式，把《论语》里的知识点、背后的历史故事，还有我们用得上的道理都讲出来，不但有趣，还能让你知道怎么用。 这本书里，还有近200张原创漫画，馒头大师亲自“出演”，汤圆、包子、饺子、面条、粽子一起上阵。 而且，在复旦大学讲了20多年论语课的傅杰教授、上海交通大学附中沈文婕老师（“上海市教学能手”获得者）、复旦大学郭永秉教授和李宏昀博士，给这本书的内容全程把关，既保证知识的准确性，又能让你读得进、用得上。 请跟着馒头大师一起，进入《论语》的世界吧。,9,935,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/796/32490796/s_32490796.jpg
孩子，愿你一生勇敢心中有光,2020-08-01 00:00:00,童书-幼儿启蒙,孩子自觉性差，父母一不看着就管不住自己。别人家的孩子五岁会背一百首古诗，认识一千五百个字， 我的孩子是不是落后了？ 做作业拖拉，不肯上幼儿园，遇到困难就退缩…… 这些让中国家长普遍感到头痛的难题，是不是也在困扰着你？社会高速发展，今天培养的孩子，在二十年后才会成为建设社会的主力军。所以，清楚二十年之后世界的模样、职场的变化，并提前做出应对，是家长为孩子做出的重要的选择。 世界科幻大奖“雨果奖”得主郝景芳，兼具科幻作家对未来的前瞻思维与经济学家对社会的分析与洞见。她以学霸的钻研精神，深入阅读学习了上百本经典的心理学和教育学书籍，对于儿童心理发展、脑科学和各流派教育理论都有深入研习，并向各领域专家学习实践经验。同时她结合自己养育两个孩子的丰富经验，以及用作家的敏锐眼光积累的鲜活案例，为中国家长总结出关于社会发展趋势的分析，四种父母思维革新模型，五种孩子成长核心能力以及家庭启蒙的实用方法，帮你透过复杂的现象，抓住教育的本质，不走冤枉路。,8,878,0,35.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/587/33808587/s_33808587.jpg
伊索寓言（小学生爱读本）,2016-08-01 00:00:00,童书-幼儿启蒙,"    《伊索寓言》是文学史上的经典，可以让不同年龄、不同职业、不同文化层次的读者从一则则生动、闪光的寓言中找到处理问题的方法，找到属于自己的人生寓意。其中的诸多篇章诙谐有趣，且于诙谐之中揭示人间的真善美、假恶丑，其中有个性特征鲜明的主人公和离奇曲折的故事情节，总能吸引小学生们的目光。书中栩栩如生的形象不仅会在小学生的心中留下不可磨灭的印象，而且会伴随他们快乐成长。农夫的善良、乌龟的毅力，还有小山羊躲避恶狼的机智，这些都会在小学生们柔软的心上扎根生长，开出美丽的智慧之花——这是小学生们一生的宝贵财富。
",53,823,0,7.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/509/26796509/s_26796509.jpg
三字经（国学启蒙书系列）,2011-01-01 00:00:00,童书-幼儿启蒙,《三字经》与《百家姓》、《千字文》并称为三大国学启蒙读物。《三字经》是中华民族珍贵的文化遗产，它短小精悍、朗朗上口，千百年来，家喻户晓。其内容涵盖了历史、天文、地理、道德以及一些民间传说，所谓“熟读《三字经》，可知千古事”。基于历史原因，《三字经》难免含有一些精神糟粕、艺术瑕疵，但其独特的思想价值和文化魅力仍然为世人所公认，被历代中国人奉为经典并不断流传。,20,788,0,1.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/34/460034/s_460034.jpg
嘻嘻哈哈陪娃图鉴：妈妈陪你猜谜语,2021-11-01 00:00:00,童书-幼儿启蒙,本书是一本写给家长们的陪娃手册，由北师大教育学博士李芳主编、针对3至6岁有宝宝的家庭编写，将经典、流行、好笑的陪娃秘籍尽收囊中。《妈妈陪你猜谜语》包含了191个谜语，80个简笔画教程。这本谜语书包含了谜题、谜底、知识小贴士与简笔画四个板块。一边读、一边猜、一边画、一边学，让知识与乐趣巧妙碰撞，为温情的母子时光带来一阵脑力风暴！本书提供了详细的使用说明书，指导家长在生活的各种场景里使用书中的内容；配套的知识小贴士板块，能让家长们及时解答孩子们在游戏会提出的问题。家长们翻翻书，就能和孩子一同创造哈哈大笑的游戏时间，并且让孩子在游戏中得到认知、身体、心理、社会性的多维成长。,7,864,0,18.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/3/42629003/s_42629003.jpg
富爸爸穷爸爸：漫画版,2018-07-01 00:00:00,童书-幼儿启蒙,越早学习，越早受益！在《富爸爸穷爸爸：漫画版》这本书中，你将学到：1.“工作是为了学习，而不是为了赚钱”这一理念如何铺平通向财务自由之路！2.如何通过创造资产来获得财富的基本知识！3.如何让钱为你努力工作，而不是你拼命为钱工作！,4,840,0,29.85,https://wfqqreader-1252317822.image.myqcloud.com/cover/682/26297682/s_26297682.jpg
