title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
小学生常背古诗词75+80首·楷书字帖,2018-08-01 00:00:00,童书-阅读工具书,《小学生常背古诗词75+80首·楷书字帖》除了新课标和新大纲要求小学生必背的古诗词75首+80首外，还精选了几十首经典的古诗词，由中国硬笔书法协会楷书专业委员会常务主任兼秘书长柳长忠先生书写，全国课改优秀教师武宏钧推荐。,4,737,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/227/25794227/s_25794227.jpg
我是一个兵：少年装甲兵（八路叔叔少年军事科普小说）,2022-04-27 00:00:00,童书-儿童文学,离开特种作战大队后，T小队的少年们前往装甲兵部队，开始了崭新的军旅生涯。在荒漠戈壁的恶劣环境中，少年们的训练状况频出，但他们充分发扬吃苦耐劳的革命精神，终于掌握了坦克驾驶技术和装甲作战方法。突然，边境的紧张局势打乱了训练节奏，少年们驾驶坦克千里奔驰。战争一触即发，在危机四伏的战场上，他们能逢凶化吉，将侵略者赶出国境线，并终获得象征荣誉的装甲兵勋章吗？,8,800,0,9.99,https://weread-1258476243.file.myqcloud.com/weread/cover/47/3300017447/s_3300017447.jpg
我超喜欢的趣味数学书（小学二年级）,2012-08-01 00:00:00,童书-阅读工具书,本书主要章节有：数与计算、量与计量、几何初步知识、应用题、统计初步知识、比和比例、代数初步知识，数学故事等。她涵盖算术趣题、代数趣题、几何趣题、组合趣题、数论趣题、图论趣题、概率趣题、分割趣题、博弈趣题和逻辑趣题等趣味数学各个领域。她彰显“数学很美，数学很有趣，数学很有竞争性，她是世界上最聪明的人玩的游戏”。,13,765,0,10.32,https://wfqqreader-1252317822.image.myqcloud.com/cover/831/656831/s_656831.jpg
朱天衣的作文课（全5册）,2016-09-01 00:00:00,童书-阅读工具书,来自文学世家的朱天衣老师，给孩子上一堂不一样的作文课！作者朱天衣从事作文教学25年，独创“说故事玩作文”法，风靡台湾；用引导的方式，让孩子发挥写作的本能，让作文如同呼吸、说话一般自然；60个主题，涵盖各种作文类型，用说故事的方式进行引导启发，让你写什么题材都信手拈来；精心设计的文字游戏，寓教于乐，在练习中提高孩子的语文能力；“给父母的温馨小叮咛”环节，把作文变成亲子互动游戏，让教孩子写作文不再成为令人头疼的事情。每册配有光盘，朱天衣亲自念给你听，孩子有如亲临课堂聆听；2007年首次出版，台湾地区十年畅销不衰！朱天衣的作文课6大特色复合式有声作文学习教材，CD+作文课+游戏题，看、听、读、写多元练习60个主题，一周听一课，一周写一篇，轻松学习没压力透过说故事的引导方式，激发孩子的想象力，下笔更容易由朱天衣老师亲自讲述，犹如亲临课堂，容易吸收理解；收录“给父母的小叮咛”，让亲自共享写作的乐趣拥有二十余年儿童作文教学经验的朱天衣，主张以启发引导、说故事的方式，让孩子发挥想象力，写出与主题相关的文字描述。她认为，最重要的是让孩子觉得写作文是一件快乐的事。在本套书中，朱老师精心挑选了60个主题，写成文本，并亲自走进录音棚，将文本录制成声音，把自己的生活经验和阅读心得融会贯通，穿插在60个主题中，让小朋友一边兴趣盎然地听朱老师说故事，一边联想构思自己的精彩内容。当然，偶有某些题目，小朋友比较不容易发挥，朱老师还会依据她丰富的教学经验，给对父母的小提示，让父母和孩子一起动脑，搭建一座包罗万象、五花八门的作文世界。除了这60个主题，朱老师还精心设计了数十种文字游戏，包括字词接龙、多音字、同音易错字、反义词、标点符号、猜灯谜、声音描述等等，让孩子能一边轻松玩游戏，一边还能借着游戏，增长语文基本功，打好语文运用的基础。如何使用这套教材 1.一个星期消化一个单元。 2.让孩子坐在桌前，备好纸、笔、橡皮擦，听完一个单元就动笔练习写。 3.不会的字先以注音代替，全篇完成后再查字典，中途尽量不中断。 4.低年级以下的小朋友，可以练习口说作文，父母代为记录后再念给孩子听。,28,892,0,48.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/591/858591/s_858591.jpg
用思维导图学看图写话（全四册）,2020-04-01 00:00:00,童书-阅读工具书,从内容上，《用思维导图学看图写话（全四册）》丛书包含单图和多图，顺序为写人篇、记事篇、写景篇和状物篇。每一部分写作浓缩成三步，即抓要素、找细节和加入想象等。同时，还加入了非常适合低年级孩子学习和应用的两种“可视化思维工具”：一种是Thinking Map（思维导图），另一种是Mind Map（八大思维图示）。将这两种思维导图应用在写作场景中，功能强大。它们可以帮助孩子尽快搭建写作思路，丰富写作内容，从而真正做到“言之有物、言之有序”，成为看图作文“小学霸”；还会帮助孩子从小学会科学的思考方式，受益终生。本书还设置了举一反三、日积月累好词好句、一课一练等内容，让学生深化所学。,6,0,0,57.6,https://rescdn.qqmail.com/weread/cover/299/3300003299/s_3300003299.jpg
高考零分作文精选大全,,童书-阅读工具书,从这些年流传出的零分作文中我们可以看出，它主要分为以下四类：一是愤世嫉俗型。此类作文切合题意，但是思想消极、偏激。它常常以激烈的言辞来表达作者对社会上各种现象的不满。二是玩世不恭、恶搞型。这些作者才华横溢，但却违背了出题人的意愿，它常常以调侃社会、调侃高考为乐，本着娱乐至上的大无畏精神将“严肃”的高考活动戏弄一番。三是挑战高考型。四是严重跑题型。此类作文文采飞扬，言辞犀利，但却严重地跑题。无论是以上四类中哪一种类型的零分作文，都普遍反映出现在的学生因激烈的社会竞争和巨大的学习压力而产生的逃避态度和抵触情绪，并致使他们不能从容应战。同时，也从另一个侧面反映了我国高考制度的不完善。,8,0,0,19.99,https://rescdn.qqmail.com/weread/cover/168/3300003168/s_3300003168.jpg
会花钱的小高手,2022-03-01 00:00:00,童书-阅读工具书,"《会花钱的小高手》
每个人的钱都是有限的，我们应学会把钱花在自己真正需要的东西上，不攀比，做个理性的购物小高手，成为智慧的“小管家“……相信你能在本书的故事中找到自己的影子，赶紧读起来吧！",4,0,0,8.32,https://weread-1258476243.file.myqcloud.com/weread/cover/49/3300018849/s_3300018849.jpg
我超喜欢的趣味数学书（小学五年级）,2012-08-01 00:00:00,童书-阅读工具书,本书主要章节有：数与计算、量与计量、几何初步知识、应用题、统计初步知识、比和比例、代数初步知识，数学故事等。她涵盖算术趣题、代数趣题、几何趣题、组合趣题、数论趣题、图论趣题、概率趣题、分割趣题、博弈趣题和逻辑趣题等趣味数学各个领域。她彰显“数学很美，数学很有趣，数学很有竞争性，她是世界上最聪明的人玩的游戏”。,6,793,0,10.32,https://wfqqreader-1252317822.image.myqcloud.com/cover/835/656835/s_656835.jpg
小学生必背古诗词75+80首·楷书字帖,2017-01-01 00:00:00,童书-阅读工具书,《小学生必背古诗词75首+80首·楷书字帖》字体全为楷书，除了新课标和新大纲要求小学生必背的古诗词75首+80首外，还精选了几十首经典的古诗词，由中国硬笔书法协会楷书专业委员会常务主任兼秘书长柳长忠先生书写。,4,729,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/660/25793660/s_25793660.jpg
小学生常背千古名句·楷书字帖,2018-08-01 00:00:00,童书-阅读工具书,《小学生常背千古名句·楷书字帖》，由中国硬笔书法协会楷书专业委员会常务主任兼秘书长柳长忠先生书写，所精选古诗词名句按惜时好学、爱国情怀、胸怀壮志等主题编排。小学生可以在联系书法的同事，记忆古诗词句子。,4,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/230/25794230/s_25794230.jpg
