title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
雪中悍刀行（张若昀、李庚希主演）,2017-10-01 00:00:00,精品小说-影视原著,烽火戏诸侯开创奇幻武侠新世界，持续热销，再创高峰！魔窟北凉的草包世子徐凤年兀自觉醒，逐渐成熟，踏上了逆袭之路。他一刀将江湖捅了个透！妖刀烽火颠覆传统用鬼斧般的文字创造了一个奇特而神秘的世界。这里有牵瘦马缺门牙见着歹人跑得比主子还快却是传说中的高手的老黄，有整日摇摇晃晃不求道却能一剑开天门，倒骑青牛的年轻道士，有刚出世便跌入武评第八，一声剑响成了陆地神仙敢叫天下第二劈海相送的断臂抠脚的老剑神，还有骑熊猫扛向日葵不太冷的少女杀手……,205,913,0,211.24,https://wfqqreader-1252317822.image.myqcloud.com/cover/525/834525/s_834525.jpg
白鹿原,1993-06-01 00:00:00,精品小说-影视原著,同名电视剧由张嘉译、何冰、秦海璐、刘佩琪等人主演。当代文学里程碑之作，茅盾文学奖获奖作品。一部记录“民族的秘史”的长卷，一部渭河平原50年变迁的雄奇史诗，一轴中国农村斑斓多彩，触目惊心的长幅画卷。主人公白嘉轩六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代代争斗不已，上演了一幕幕惊心动魄的活剧：巧取风水地，恶施美人计，孝子为匪，亲翁杀媳，兄弟相煎，情人反目……大革命、日寇入侵、三年内战，白鹿原翻云覆雨，王旗变幻，家仇国恨交错缠结，冤冤相报代代不已。,12,907,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/443/812443/s_812443.jpg
余罪：我的刑侦笔记（共11册）,2015-10-01 00:00:00,精品小说-影视原著,本书为您揭开的是一张令人触目惊心的当下社会犯罪网络。从混迹人群中的扒手，到躲在深山老林里的悍匪，从横行街头的流氓，到逡巡在海岸线边缘的毒枭；他们似乎离我们很远，似乎又很近，看似悄无声息，却又如影随形；作者所描写的，正是这个光怪陆离而又真实存在的地下世界。警校学员余罪，在通过一次意外的选拔之后，被丢进了一间住满凶神恶煞的罪犯的牢房，他迅速发现，要在这个凶险万状的环境中活下来，自己必须比毒贩更奸诈，比窃贼更狡猾，比匪徒更残忍。他不仅要用罪犯的思维去理解犯罪，还要用罪犯的手段去对抗犯罪，更要和罪犯一样突破种种底线。,118,877,0,128.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/969/818969/s_818969.jpg
梦华录（刘亦菲、陈晓主演同名影视剧原著小说）,2022-06-10 00:00:00,精品小说-影视原著,刘亦菲、陈晓主演《梦华录》影视剧原著小说，根据张巍原创剧作改编。在钱塘开茶坊的赵盼儿终于收到未婚夫欧阳旭在京城高中探花的喜讯，结果却惨被抛弃，不甘命运的她誓要上京讨个公道。当欧阳旭得知赵盼儿来到京城找上门来，竟设法将她赶出汴京。可赵盼儿没有就此放弃，姐妹三人决定留在汴京，并在皇城司指挥使顾千帆的帮助下，靠自己的本事闯出一片天，同时也为古代地位卑微的女子推开了一扇平等救赎之门...,4,804,0,-1,https://weread-1258476243.file.myqcloud.com/weread/cover/96/3300019496/s_3300019496.jpg
苍兰诀（虞书欣、王鹤棣主演同名影视剧原著）,2021-02-01 00:00:00,精品小说-影视原著,"简介:虞书欣、王鹤棣主演影视原著!
一某一天，小兰花睁开眼，发现自己从一朵娇滴滴的兰花仙灵变成了令人闻之色变的……上古魔尊。
--魔尊复生之际，抛情弃欲，他连半颗心脏都能说不要就不要，怎么可能喜欢上什么人?
魄心族神女被魔尊东方青苍灭族，万年后重生成天界低阶仙女小兰花，无意间复活了困干昊天塔的灭族仇人魔尊。为获得自由，东方青苍要牺牲小兰花的神女之魂解开身上咒术封印，在此过程中，这个断情绝爱的大魔头却爱上了温顺可爱的小兰花",7,838,0,39.99,https://weread-1258476243.file.myqcloud.com/weread/cover/21/3300023021/s_3300023021.jpg
冰与火之歌（全五卷）,2017-01-01 00:00:00,精品小说-影视原著,4月15日美剧《权力的游戏》第八季回归，再掀全球性的“冰与火之歌”热潮。原著《冰与火之歌》系列共15册，是美国“国宝级”幻想文学作品，维斯特洛大陆九大家族的权力斗争史诗。奇幻大师乔治·马丁16年精耕细作成就的文学经典。整个系列没有塑造任何传统意义上的英雄，所有人物都努力尝试去把握自己命运的人类，让我们看到在冰与火这片混乱之下，依然有不变的人性在苦苦地挣扎，任由他们自由而真实地碰撞。,49,919,0,285.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/878/849878/s_849878.jpg
黄易全集01：寻秦记（全8册）,2022-03-07 00:00:00,精品小说-影视原著,纪念黄易诞辰70周年，《黄易作品》正版电子书上架！ 来自二十一世纪的特种部队精锐战士项少龙成了时空实验的白老鼠，被送回公元前的战国时代。 寻找秦始皇变成他留在战国的唯一目标，因为只有成为嬴政派系的人，他才能在这个吃人的战国时代成为强者。为了帮助嬴政，他对内铲除奸雄，对外统一六国，与七国的权贵展开了一场生死争斗…… 开天辟地寻秦记！一部永远值得一读再读的玄幻穿越经典！,31,910,0,199,https://weread-1258476243.file.myqcloud.com/weread/cover/1/3300012101/s_3300012101.jpg
教父三部曲,2018-08-01 00:00:00,精品小说-影视原著,"《教父》 教父的世界里，友谊，是通行的货币；忠诚，是上好的礼物；缄默，是必守的规则。 他藐视一切价值，不给警告，不虚张声势，不留余地。 教父，就是自己的上帝。 男人要是不愿意好好当父亲就不是真正的男人。 除了朋友低估你的优点，世上的天然优势就是敌人高估你的缺陷。 伟大的人并非生而伟大，而是越活越伟大。 威胁是愚蠢的自我暴露，不假思索就释放怒火是危险的任性表现。 
《教父Ⅱ：西西里人》 黑手党的故土，教父的阴谋还在继续，你死我亡的较量正在上演。 他们是有权势的男人、势均力敌的统治者；他们是浪漫的情人、勇猛的战士、忠诚的朋友。 他们，是西西里人。 活着就不要当英雄，只要活着就行。时过境迁之后，英雄似乎就有点儿愚蠢了。 相信自己的美德比相信自己的狡诈更加危险。 写在纸上的东西会影响历史，但影响不了生命。生命是一部不同的历史。 真话是力量的源泉，是控制的杠杆，为什么要拱手交给别人呢？ 
《教父 Ⅲ：最后的教父》 他是教父，地下世界的统治者。 谁也无法揣测教父的阴谋，谁都无法阻挡家族终极的野心。 没有正义，只有胜利。 永远别回头。无论是为了找借口、为自己辩解还是找乐子，永远都不要回头。你现在是什么人，就是什么人，世界眼下是什么样，就是什么样。 要用行动而不是言语来赢得尊重。 每个人都要为自己的所作所为负责。",3,935,0,215.76,https://weread-1258476243.file.myqcloud.com/weread/cover/34/3300010434/s_3300010434.jpg
小王子,2013-01-01 00:00:00,精品小说-影视原著,3D动画奇幻电影《小王子》中文配音版于2015年10月16日中国上映！这是一本足以让人永葆童心的不朽经典，被全球亿万读者誉为最值得收藏的书。翻开本书，您将看到遥远星球上的小王子，与美丽而骄傲的玫瑰吵架负气出走，在各星球漫游中，小王子遇到了傲慢的国王、酒鬼、惟利是图的商人，死守教条的地理学家，最后来到地球上，试图找到治愈孤独和痛苦的良方。这时，他遇到一只奇怪的狐狸，于是奇妙而令人惊叹的事情发生了…… 《小王子》犹如透亮的镜子，照出了荒唐的成人世界。她在提醒我们，只有爱，才是最高的哲学，才是我们活下去的唯一理由。,9,907,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/212/216212/s_216212.jpg
芸汐传奇：天才小毒妃（《芸汐传》原著）,2018-03-01 00:00:00,精品小说-影视原著,年度大剧《芸汐传》原著，原名《天才小毒妃》。她是医学世家最卑微的废材，人人可欺；他是天宁国最尊贵的王上，权倾天下。他是她指腹为婚的未婚夫；她是他望而却步的拖油瓶。她的才学、毒术、胆识让他惊艳，也引发他的怀疑与提防，只不知早已情根深种。皇宫家宴，公主中毒身亡，她被污蔑而入狱。面对油锅极刑，她死命苦撑，盼他出手。,20,783,0,206.66,https://wfqqreader-1252317822.image.myqcloud.com/cover/536/684536/s_684536.jpg
簪中录（《青簪行》原著）,2015-04-01 00:00:00,精品小说-影视原著,唐懿宗年间，名闻天下的女探黄梓瑕，一夜之间从破案才女变为毒杀全家的凶手，成为海捕文书上各地捉拿的通缉犯。李舒白贵为皇子，却身遭“鳏残孤独废疾”的诅咒，难以脱身。皇帝指婚之时，准王妃却形迹可疑，“鳏”的诅咒应验在即。黄梓瑕只身出逃到京城伸冤，途中阴错阳差巧遇夔王李舒白。识破黄梓瑕身份的李舒白，答应帮黄梓瑕重新彻查家中血案，作为交换，则要她以王府小宦官的身份，去调查自己身边的团团迷雾。风起春灯暗，雨过流年伤。李舒白与黄梓瑕沿着断断续续的线索，走遍九州四海。江南塞北，宫廷荒村，在各种匪夷所思的悬案尽头，真相足以倾覆整个大唐王朝。,15,841,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/292/431292/s_431292.jpg
大江大河（王凯、杨烁、董子健主演）,2018-06-01 00:00:00,精品小说-影视原著,王凯、杨烁、董子健主演的正午阳光新剧《大江大河》原著小说，《欢乐颂》作者阿耐作品。全景展现改革开放以来中国经济、社会、生活变迁，深度揭示历史转型新时期平凡人物命运。荣获中宣部“五个一工程” 奖。豆瓣评分9.2分。《激荡三十年》作者、著名财经作家吴晓波，《新周刊》副主编蒋方舟，著名文学评论家雷达、程光炜、白烨、张颐武力荐。读《大江大河》，有人看到权谋，有人看到商略，有人看到国策，有人看到整整一代人的命运浮沉。还原国家与个人进步背后的苦泪细节。青年入世启蒙之书！本书完整收录了《大江东去》（1978-1998）和续作《艰难的制造》（1998-2008）全部内容。,84,850,0,91.02,https://wfqqreader-1252317822.image.myqcloud.com/cover/478/918478/s_918478.jpg
神澜奇域无双珠,2022-07-22 00:00:00,精品小说-影视原著,"冰河历二二零一年，先祖法初受神之恩赐，凝聚出人类第一本法典《诸法之初》，后十年，先祖天行受神之恩赐，凝第二部法典《预言之书》，先祖炎兀凝第三部法典《言灵之书》，是为三大圣典。法初、天行、炎兀并称为三圣祖。冰河历二二一三年，法初建立法典圣殿、成立建木之国，代表着人类逐渐摆脱妖、精两族附庸种族标志性事件。
后数十年间，建木之国与掌控元素的自由国度、融合妖、精两族能力的圣灵国度人类爆发战争。先祖炎兀不愿继续这场挥洒了太多鲜血的战事，爆发法典圣殿之变，后败亡。《言灵圣典》失落。
先祖天行伤心炎兀之死离开建木之国，封印《预言法典》，做出最后一个预言，三百年后，由妖怪族和精怪族统治的妖精大陆与包括人类在内的所有附庸种族将要毁灭。
冰河历二二七七年，法初以自己性命为代价，一次凝聚出十二本法典，史称十二神典，在十二神典力量的笼罩下，建木之国新生之儿六岁可至圣殿获神赐法典。
冰河历二五零一年。生存着魔族与兽族的小行星飞至，撞击法蓝星的大陆妖精大陆。妖、精两族大能在建木之国先祖天行最后一次预言后联合所有种族共同炼制的神器七神珠，对抗撞击，避免世界毁灭。但妖精大陆随之四分五裂，与破裂的小行星分裂成六片大陆。史称六域。生态破坏、奇诡衍生，化七片海洋，史称七色海。七海六域共称神澜奇域，冰河时代结束，进入黑暗时代，那一年，也被称之为，黑暗历元年。
黑暗历三年至二十七年，建木之国新国主法振，携建木之国残余，在六域之一建立秩序国度，以《诸法之初》与十二神典为基础，建立秩序国度。是为法域。自由国度占据一域，命名蓝域。圣灵国度占据一域，命名圣域。是为人类三域。妖怪族与精怪族在大灾变中死伤惨重，强者皆亡，残余占据一域，是为妖域。魔族与兽族各占据一域，是为魔域、兽域。六域初成。",20,651,0,39.99,https://weread-1258476243.file.myqcloud.com/weread/cover/40/3300022040/s_3300022040.jpg
警察荣誉（张若昀、白鹿领衔主演同名剧本改编小说）,2022-05-01 00:00:00,精品小说-影视原著,"本文由编剧：赵冬苓 、谭嘉言 的同名剧本改编，张若昀、白鹿领衔主演。
四位刚入警队的年轻警察，一开始对警察这个职业有着各种想像，当面对巨大工作压力、面临尖锐的社会矛盾以及自媒体时代给派出所工作带来的新挑战时，他们经历了困惑与挫折，也有过迷茫、怀疑自己甚至放弃的念头，但在人民警察光荣传统的熏陶下，在老警察的言传身教下，年轻人经受住了考验，得到了迅速的成长，对警察的使命和荣誉也有了新的认识，成为合格的人民警察  。",19,795,0,49.99,https://weread-1258476243.file.myqcloud.com/weread/cover/33/3300018033/s_3300018033.jpg
我的团长我的团（段奕宏、张译等人主演）,2018-02-27 00:00:00,精品小说-影视原著,中缅边境的禅达，一群国民党溃兵和百姓因抗战汇聚于此：北平人孟烦了、军医郝兽医、湖南兵不辣、上海军官阿译、东北佬迷龙还有川军士兵豆饼及要麻、蛇屁股、康丫、川妹子小醉等。残酷的战争让别无选择的他们摒弃前仇、恩怨、偏见、狭隘而组成一支小分队，用血肉之躯书写了一曲铁血卫国的悲壮战歌！本书从独特的角度展现了抗战惨烈残酷、艰苦卓绝的图景，具有无与伦比的历史真实度。,7,970,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/928/23303928/s_23303928.jpg
帝皇书（ 迪丽热巴、龚俊主演电视剧《安乐传》原著）,2018-11-01 00:00:00,精品小说-影视原著,晋江大神星零再绘古言长卷！风靡言情界的不朽之作，言情爱好者的必修经典。连载5年，收藏百万，万千读者期待，隆重呈现！新增3万字结局，全新3万字番外。赵宝刚导演、饶俊编剧电视剧同步开机！风雷动，权计深，八万英魂在，天下可倾！东宫寂，红颜盛，所爱隔山海，山海亦平！大靖太子韩烨这一生，曾经问过两句话——“任安乐，你可愿同我比肩朝堂，创大靖盛世？”她回：“不愿，殿下的江山，殿下自己去守。”“帝梓元，你可愿放弃仇怨，与我此生携手？”她回：“不愿，帝家满门被诛，我与殿下仇深似海。”生命中最进退维谷的一笔，被她最举重若轻地画下。他与她皆被殷红往事追赶太久，在同秘密和权谋的周旋里，忽略了内心次第的韶华。原来他之所慕，不过同一女子；原来爱情苍蓝，无须言说也无须证明。帝梓元，你与韩烨的十年动荡记忆，正被铸成三国凛冽的烽烟。而你浴血沙场，以飒沓征尘赋咏的帝皇弦歌，是将一剑潋滟，抑或一剑成殇？,45,833,0,40.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/670/23562670/s_23562670.jpg
千门·云襄传（陈晓、毛晓彤主演电视剧《云襄传》原著）,2022-06-10 00:00:00,精品小说-影视原著,"为建跑马场敛财，江湖上势力很大的南宫世家意欲将骆家庄据为己有，并设计夺取骆家庄秀才骆文佳的未婚妻。骆文佳拼死反抗，上告官府，不料南宫世家与当地知府暗中勾结，自己反被诬陷，送至戈壁滩矿场挖矿。
     因缘巧合之下，骆文佳自千门前辈云啸风处习得《千门秘典》，并继承千门门主之位，改名云襄智战江湖！自此江湖流传：千门有公子，奇巧玲珑心；翻手为云霭，覆手定乾坤。",12,739,0,99.9,https://weread-1258476243.file.myqcloud.com/weread/cover/51/3300018751/s_3300018751.jpg
刺猬的优雅（法国同名电影原著）,2009-07-01 00:00:00,精品小说-影视原著,豆瓣8.8分电影《刺猬的优雅》原著小说。故事发生于巴黎左岸政商名流频繁往来的高级地段，格勒内勒街七号，一栋高级公寓。帕洛玛从不是个安分的女孩。她很聪明，甚至可以说是天才。生于富裕家庭、父亲是个国会议员的她，小小眼睛已经看透成人世界的虚伪与空虚。因为常常躲起来思索存在问题，而被老爱大惊小怪的妈妈误认为精神异常。面对荒谬的外在世界，她为自己订了个人生目标——在十三岁生日当天自杀，并放火烧了父母的豪宅。同时，人见人不爱的门房勒妮，二十七年来在这栋住满达官显贵、精英分子的高级公寓，过着隐形人般的生活。装笨、扮丑、耍粗俗，是她每天必须谨守的本分。在掩人耳目的背后，她的心灵密室塞满胡塞尔现象学、弗洛伊德、中世纪哲学……,6,874,0,22.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/18/32511018/s_32511018.jpg
风起陇西（陈坤、白宇主演同名电视剧原著）,2017-11-01 00:00:00,精品小说-影视原著,陈坤、白宇主演的电视剧《风起陇西》将于2022年4月27日开播，该剧根据马伯庸的同名小说改编，讲述了三国时代秘密情报战线上的生死角逐。从汉中到整个雍凉大地，魏蜀两国之间的灼热战火绵延于秦岭两侧。金戈铁马，风起云涌，这是个英雄辈出的年代。然而战争不仅有刀光剑影，亦不只是血肉搏杀。围绕着蜀汉新型弩机的诞生，一场无声的战争爆发于不为人知的角落。他们战斗在敌人腹心，活跃于危机四伏的暗面，或者蛰伏在己方内部，从事清道夫的工作。史书不会记录这些事件，也不会留下他们的名字，甚至同时代的人都不会觉察到这些人的存在，但他们确实在悄然推动着历史，并且不可或缺，因为这是涌动于时代阴影中的壮阔波澜，三国时代秘密情报战线上的生死角逐。这是一场无声的战争。,2,743,0,26.99,https://weread-1258476243.file.myqcloud.com/weread/cover/88/182588/s_182588.jpg
大江东去（欢乐颂作者阿耐代表作）,2014-07-01 00:00:00,精品小说-影视原著,正午阳光2018年新剧，王凯、杨烁、董子健主演！《欢乐颂》作者阿耐代表作，豆瓣9.2分神作，媲美《平凡的世界》，著名财经作家吴晓波力荐！它被誉为“描写中国改革开放30年的第一奇书”，也因此成为中国第一部荣获中宣部“五个一工程奖”的网络长篇小说。在这部书中，有人看到权谋，有人看到商略，有人看到国策，有人看到整整一代人的命运浮沉。雷东宝、宋运辉、杨巡、梁思申，每个人都是改革开放年代中国人的典型代表，他们的成长就是中国的进步，他们的失败也正是中国走过的弯路。他们的故事并不能反映中国人的全貌，但作为经济舞台上的精英份子，他们的所思所为已经能帮助我们理解改革之路的全景和细节。,63,872,0,64.59,https://wfqqreader-1252317822.image.myqcloud.com/cover/280/715280/s_715280.jpg
青瓷,2022-02-01 00:00:00,精品小说-影视原著,"张仲平是3D拍卖公司的董事长兼总经理，他的日常工作就是“三陪”，陪法院干部吃、喝、玩、乐，再把他们搞定。
第一步，进行感情投资；第二步，向对方证明自己能把事情做好；第三步，向“受贿者”证明“绝对安全”，这几乎成了他致富的不二法门。
他在法院以及国有资产管理部门之间游走，与掌权者进行巧妙的博弈，在错综复杂的官商关系中风生水起。然而事由关系来，也由关系去，一桩快到手的大买卖终于出了大问题……",6,742,0,58,https://weread-1258476243.file.myqcloud.com/weread/cover/55/3300018755/s_3300018755.jpg
陆犯焉识（陈道明、巩俐主演）,2011-10-01 00:00:00,精品小说-影视原著,【张艺谋最新电影《归来》原著小说】陆焉识本是上海大户人家才子，聪慧倜傥，会讨女人喜欢。父亲去世后，年轻无嗣的继母为了巩固其在家族中的地位，软硬兼施地使他娶了自己的娘家侄女婉喻。没有爱情的陆焉识很快出国留学。毕业回国后的陆焉识博士开始了风流得意的大学教授生活，也开始了在风情而精明的继母和温婉而坚韧的妻子夹缝间尴尬的家庭生活。五十年代，陆焉识因其出身、更因其不谙世事的张扬激越而成为&quot;反革命“，在历次运动中，其迂腐可笑的书生气使他的刑期一次次延长，直至被判为无期。这位智商超群的留美博士由此揣着极高的学识在西北大荒漠上改造了二十年。枯寂中对繁华半生的反刍，使他确认了内心对婉喻的深爱。婉喻曾是他寡味的开端，却在回忆里成为他完美的归宿……,8,924,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/352/356352/s_356352.jpg
一场江山豪赌：纨绔世子妃,2013-08-01 00:00:00,精品小说-影视原著,"温文尔雅的腹黑世子VS腹有乾坤的纨绔少女 带你走近结局的绚烂与静好！
诗词歌赋不通，琴棋书画不懂，天圣皇朝第一废物！纨绔不羁、大字不识、嚣张跋扈、恶名昭彰，废物中的废物！她叫云浅月，云王府唯一嫡女！皇朝繁华百年，千疮百孔、风雨飘摇。四大王府、附属小国、各地藩王、无数只手背地里搅动时局，暗潮涌动。帝王深沉，皇子心机，世子莫测，小王爷混世，年轻公子纷纷展现翻云覆雨手。斗棋，斗技，斗朝堂，斗江湖，斗江山，斗天下，无所不斗，包括女人！繁华的天下渐渐被搅成了一锅浑水，而她就在这一大锅浑水里摸鱼。是继续纨绔不羁到底，还是素手挑起乾坤？这一场繁华乱世，她注定会书写传奇！",11,799,0,148.93,https://wfqqreader-1252317822.image.myqcloud.com/cover/311/537311/s_537311.jpg
醉玲珑（刘诗诗陈伟霆主演）,2016-11-01 00:00:00,精品小说-影视原著,刘诗诗、陈伟霆主演古装大剧《醉玲珑》原著小说。一个帝王的驾崩之谜，一脉皇族的混乱血统，一件巫族的上古之宝，江湖与庙堂的纷争，情孽与恩怨的纠缠，玲珑九转，风云变幻，为何会将一个相隔千万年的现代女子卷入其中？“你谁都不是，你只是我的女人。”在他凝视的目光中，她像是坠入百世千生宿命的轮回，一步步沦陷。如果她是为他来这一世，那么他这一世便是为了等她。千年相逢，回眸相知，人世间至高无上的权力之路，她与他执手前行，踏一路铁血烽烟，指点如画江山。浩瀚天地，无尽岁月，当此生登临绝顶，他与她，又是怎样的取舍，怎样的抉择？,12,788,0,31.01,https://wfqqreader-1252317822.image.myqcloud.com/cover/677/171677/s_171677.jpg
风声（茅盾文学奖得主麦家作品）,2020-10-01 00:00:00,精品小说-影视原著,徐璐、文咏珊主演谍战剧《风声》原著小说，同名电视剧热播中！日伪时期，西子湖畔。昔日歌舞升平的裘庄里，五名伪政府的军事要员被囚禁于此，潜伏在他们中间的共党卧底“老鬼”身份即将暴露，危在旦夕。老鬼到底是谁？Ta要如何渡过这命悬一线的险境？又将如何传出那断无可能走漏的“风声”？,8,917,0,25.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/12/34370012/s_34370012.jpg
夏日终曲（电影《请以你的名字呼唤我》原著）,2018-02-01 00:00:00,精品小说-影视原著,根据这部小说改编的电影《请以你的名字呼唤我》荣获2018年第90届奥斯卡最佳改编剧本奖，同时一共大奖4项提名，由金牌导演、编剧詹姆斯·艾沃里担任编剧，并由好莱坞新生代影星“甜茶”蒂莫西·柴勒梅德主演。一段让千万人垂泪的爱情故事，2007年出版以来长踞《纽约时报》、美国亚马逊书店、Goodreads各种畅销书榜单。,4,839,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/539/25028539/s_25028539.jpg
东宫,2017-11-01 00:00:00,精品小说-影视原著,"新增番外五则+后记丨匪我思存再现一段盛世王朝的爱情记忆
陈星旭、彭小苒主演同名影视剧，火遍全网，口碑爆棚

忘川之水，在于忘情，
忘川的神水让他们忘记了三年，却没能忘记一辈子。
一方是人心鬼蜮的东宫，
她是困于危城的太子妃，东宫内外杀机四伏，而他不过冷眼相待；
一方是辽阔自由的大漠黄沙，
那时，她是备受宠爱的西凉九公主，他是她的顾小五，
为她斩杀白眼狼王，为她捉一百只萤火虫，为她举行盛大的婚礼……
哪一方世界是真，哪一方世界是假？
冰封的记忆最终冲破禁锢，隔着刻骨情痴，隔着血海深仇。
生生世世，我都要永远忘记你！
昔日的誓言剜心泣血，如今更是心死如灰。
朱弦断，明镜缺，朝露晞，芳时歇。
他与她，宁愿，此生是大梦一场。",3,899,0,28.99,https://weread-1258476243.file.myqcloud.com/weread/cover/24/3300009024/s_3300009024.jpg
