title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
我曾走在崩溃的边缘：俞敏洪亲述新东方创业发展之路,2019-04-01 00:00:00,经济理财-管理,这本书是作者俞敏洪第一次完整、深度地讲述新东方从0到1、从1到N的创业历程，披露了诸多不为人知的细节，让人看到带领着新东方从一个培训班发展成为上市集团的创业者，以及他的团队曾经经过的至暗时刻，甚至曾走到崩溃的边缘。创业维艰，1/4个世纪的风雨征程，完整地被记录，激荡地再现了新东方创始团队及新东方人，在时代的光辉中砥砺前行的身影。延着内容主线，“三驾马车”的光阴故事已经留存，新生代的管理团队已在快速发展的互联网时代中开拓进取，搏出广阔天地，而今，人工智能浪潮下，新东方又将向何处进发，仍是新东方故事的待续篇章。相信这本书，定能让读者在作者个人一贯的幽默叙事方式中，在个人发展、组织建设、企业管理等多个方面受到启发和激励。,13,830,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/26/25242026/s_25242026.jpg
原则,2018-01-01 00:00:00,经济理财-管理,华尔街投资大神雷·达里奥白手起家40多年的生活与工作原则，比尔·盖茨、罗辑思维、吴晓波、张瑞敏、潘石屹、万维钢、傅盛等人力荐。瑞·达利欧是全世界顶尖投资家、企业家之一，对冲基金公司桥水创始人。桥水创立至今为客户赚取的收益远远超过历史上任何一家对冲基金。达利欧认为桥水的成功源自他所奉行的一套原则，而这些原则也是他一生中学到的最重要的东西。达利欧认为，我们可以像看待机器一样看待生活、管理、经商和投资，并将其系统化为一系列原则。这本书阐述了他的原则的两大基石——极度求真、极度透明，并介绍了以此为基础的创意择优，以及基于可信度评价的决策机制。书中500多条原则将帮助我们保持开放心态，看清现实，正确评价自己和他人，从容面对做决策、打造强大团队等问题，更进一步深入认识自我，实现不断成长。达利欧相信，自己的成功并非因为个人的特质，而是因为他从失败中学会了做人、做事的原则，而大多数人和公司都可以运用他的这些原则更好地实现自己的目标。,11,820,0,58,https://wfqqreader-1252317822.image.myqcloud.com/cover/568/921568/s_921568.jpg
掌控习惯,2019-07-01 00:00:00,经济理财-管理,《纽约时报》畅销书；《华尔街日报》畅销书；《今日美国》畅销书；《出版商周刊》畅销书；《快公司》畅销书；《商业内幕》畅销书。为什么“习惯改变命运”？因为个人40%~50%的行为取决于无意识的习惯。习惯形成需要4步：提示→渴求→反应→奖赏。提示触发渴求，渴求激发反应，而反应则提供满足渴求的奖赏，并最终与提示相关联。这4个步骤一起形成了一个神经反馈回路——提示、渴求、反应、奖赏；提示、渴求、反应、奖赏——并最终让你养成自然而然的习惯，由此构成完整的习惯循环。美国著名习惯研究专家、习惯学院创始人詹姆斯·克莱尔根据习惯形成的4个步骤，总结了相对应的培养习惯的4大定律：让它显而易见；让它有吸引力；让它简便易行；让它令人愉悦。本书通过这4大定律、56个具体案例，帮助你快速养成良好的习惯，同时利用这4大定律的反面，可以帮助你戒除不良的习惯。,29,868,0,33.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/843/26934843/s_26934843.jpg
冯唐成事心法,2020-12-01 00:00:00,经济理财-管理,他是热爱文艺的管理专家，是精通麦肯锡与曾国藩成事学的商业领袖，是医学博士出身的投资人。10年麦肯锡战略规划经验，5年华润医疗集团创始心得，5年中信资本投资管理启示——冯唐20年持续跨界成事经验，凝结成这本《冯唐成事心法》。冯唐说：“我将自己二十年职业管理生涯中吃过的苦、踩过的雷、翻过的山、见识过的人，总结为‘冯唐成事心法’。”以西方麦肯锡管理方法为经，以中国经典成事智慧为纬，融合冯唐20年职场亲身实践的经验，以冯唐独特观点+方法语录提炼+丰富运用场景+经验案例+实战方法为内容框架，助你在现实中修行，在工作中求法，在沟通中识人，在思考中升级。写给每一个想干事、能干事、持续成大事的人。,15,822,0,54.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/325/35138325/s_35138325.jpg
卓有成效的管理者,2018-07-01 00:00:00,经济理财-管理,德鲁克以卓越的睿智告知读者：不是只有管理别人的人才称得上是管理者，在当今知识社会中，知识工作者即为管理者。管理者的工作必须卓有成效，卓有成效是可以学习的。全书共7章前前5章主要讲管理者如何管理自己；最后两章是管理者如何决策。本书提出的管理理念经得起时间和实践的考验。本书已经成为世界上众多企业管理者的必读书籍。,10,861,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/310/25131310/s_25131310.jpg
活法,2012-05-01 00:00:00,经济理财-管理,做企业的目的是什么？赢利！做企业人的目标是什么？帮企业赢利！然而，为什么在财务报表形势喜人、经营业绩节节攀升的同时，我们还会听到公司员工对老板的私下抱怨，看到高层们面对发展的十字路口无法舒展的愁眉，甚至此时正目睹着各界舆论对业界翘楚、时代精英们毫不留情、铺天盖地的指责与奚落？诚然，所有企业及企业人都恪守着赢利——这一亘古不变的原则在时代的浪潮中奋勇前进，但是又有多少人真正参透了利益背后的玄机？中国并不需要“道义放两边、利字摆中间”的商业大鳄，更不会提供给缺乏德行、忽视修为的企业人广阔发展的康庄大道；如果想在白热化的竞争中一枝独秀，就必须要剖开经济的表象，探求企业的本质，找到得以在如今的世道中生存下去的活法。这本《活法（新版）》的作者稻盛和夫是日本战后经济的传奇，他不用优美的文字取胜，也不用高深的说教让人五体投地，而是将其多年心得以质朴的文字向我们娓娓道来。企业人会从中领会真正的企业发展之路，而普通人亦将感受到*境界的“为人之道”。,8,850,0,18.9,https://weread-1258476243.file.myqcloud.com/weread/cover/14/3300019014/s_3300019014.jpg
影响力（全新升级版）,2021-10-30 00:00:00,经济理财-管理,自出版以来，《影响力》就一直是畅销佳作。由于它的影响，说服得以成为一门科学。无论你是普通人还是为某一产品或事业观点游说的人，这都是一本基本的必读书，是你理解他人心理的基石。心理学家罗伯特·西奥迪尼为我们解释了为什么有些人具有说服力，而我们总是容易上当受骗。隐藏在冲动地顺从他人行为背后的6大心理武器，正是这一切的根源。那些劝说高手们，总是熟练地运用它们，让我们就范。经过近7年的潜心研究，西奥迪尼发现了第7种心理武器——联盟，将6种心理武器扩展为7种；书中更新内容多达10万字，包括近10年行为心理学新研究与新发现，近5年上百个商业、管理、科技、个人成长、家庭教育等方面的全新案例。本书被引述率高居社会心理学之冠，曾获得美国心理学会、美国心理学基金会年度大奖提名。是《财富》杂志推荐的75本商业必读书；在中国，《影响力》系列书系常年位居各大网络、地面书店管理畅销榜单前10名。,15,896,0,67.43,https://wfqqreader-1252317822.image.myqcloud.com/cover/771/41504771/s_41504771.jpg
优势谈判,2022-01-01 00:00:00,经济理财-管理,统计证明，每个人一天中要谈判六到七次 去商场购物是谈判 找工作、谈薪水是谈判 租房、买房是谈判 销售是谈判 挖客户也是谈判 甚至与亲人朋友聊天都是谈判 …… 掌握被全球1000万人验证有效的谈判技巧，你的人生会变得大大不同！ 无论你的谈判对手是房地产经纪人、汽车销售商、保险经纪人，还是家人、朋友、生意伙伴、上司，你都能通过优势谈判技巧成功地赢得谈判，并且赢得他们的好感。   ◎ 怎样让步既不吃亏，还让对手满意？   ◎ 如何利用 “专家秘诀”抵消对手的经验优势？   ◎ 如何找出对方的“心动按钮”，并将其转化为订单？   这本书是由美国两任总统的首席谈判顾问、国际首席商业谈判大师罗杰·道森集30年的成功谈判经验著述而成，书中有详细的指导、生动而真实的案例、权威的大师手记和实用的建议。 教会你如何在谈判桌前取胜，更教会你如何在谈判结束后让对手感觉到自己赢得谈判，而不是吃亏了。,11,839,0,47.6,https://weread-1258476243.file.myqcloud.com/weread/cover/36/3300011736/s_3300011736.jpg
俞军产品方法论,2020-01-01 00:00:00,经济理财-管理,“产品经理就是以产品当笔，与世界对话。”一句颇具情怀的话，道出了俞军近二十年对于产品经理的所有认知，也很好地表达了本书的主旨。在互联网圈，俞军被网友称作“百度贴吧之父”“传奇”“神话”，他的一举一动牵动无数人的神经，网友自发总结的“PM12条”更是早早地就被奉为业界圣经，影响着一代又一代的产品经理。如书名所展示的，《俞军产品方法论》收录的正是俞军数年来的产品实践与思考所得，并经过了系统的结构梳理、内容整合和案例补充，它一直在迭代。本书分为产品经理是什么，如何权衡企业、用户、产品的关系，如何做交易及交易模型，如何做决策，以及产品经理的选拔与成长五个部分，附录部分展示了俞军的产品认知迭代史。俞军认为，产品经理是一个用科学方法研究复杂且非科学的人性，并转化为可执行的商业方案的实践验证学科。一个具备人文逻辑的产品经理，最重要是拥有批判性思维，其次是愿意并能够理解人和世界。产品经理的工作是找到真的用户价值，想做到这一点，需要长期积累海量用户样本，以及一个正确的思考框架。产品经理应该在实践中理解用户模型和交易模型，让交易更多地发生，以创造“有利可图”的用户价值。书中还有关于产品经理的能力模型与进阶方向，成为顶尖产品经理的成长路径。对于想成为顶尖产品经理的人，非读不可；对于有志于从事产品经理工作的人，可以看看做到产品经理大牛应该是什么样子。,10,804,0,39,https://wfqqreader-1252317822.image.myqcloud.com/cover/41/28165041/s_28165041.jpg
可复制的沟通力：樊登的10堂表达课,2020-06-01 00:00:00,经济理财-管理,樊登老师认为，沟通的技巧和修自行车的手艺一样，是要学习的。光学还不够，还要练习才行。沟通的目的是尊重与合作，而非输赢。作为中央电视台前主持人、“樊登读书”App“言值”担当，樊登老师在本书中提炼出沟通的两大原理，梳理了沟通的十个维度，系统阐述了提升沟通力的方法与技巧。本书有两大亮点：一是知识结构化，多学科支撑，层层探明沟通机理，让你知其然更知其所以然；二是内容场景化，覆盖了90%沟通中常见的问题，让每个人都能即学即用，成为高效沟通者。,10,734,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/558/31403558/s_31403558.jpg
