title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
建筑也可以很好玩：欧洲篇，从古希腊到文艺复兴,2020-03-10 00:00:00,艺术-建筑,本书用活泼的语言、漫画的形式，结合历史故事，使读者从整体上可以快速了解整个欧洲建筑的发展历史，包括西方建筑的老祖宗为什么在古希腊，罗马角斗场是否是帝国的维稳工具，哥特式大教堂怎么就成了黑暗化身，等等。本书适合欧洲建筑爱好者、初学者阅读，也适合喜欢建筑历史文化的大众读者阅读。,10,918,0,39.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/801/32913801/s_32913801.jpg
建筑也可以很好玩：欧洲篇，从古典主义到近现代,2020-03-10 00:00:00,艺术-建筑,本书用活泼的语言、漫画的形式，结合历史故事，使读者可以从整体上快速了解整个欧洲建筑的发展历史，包括古典主义和洛可可是怎么双双出现在法国的，近代第一建筑是否只是座温室，20世纪初欧洲建筑圈儿到底有多乱，等等。本书适合欧洲建筑爱好者以及喜欢建筑历史文化的大众读者阅读。,9,920,0,39.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/808/32913808/s_32913808.jpg
造房子,2016-08-01 00:00:00,艺术-建筑,本书是世界建筑奖普利兹克奖得主、著名建筑大师王澍的建筑文化随笔集。10篇建筑文化随笔——从宋代山水画的意境，到明清园林的审美情趣，作者深入剖析中国传统文化、艺术，更以建筑的角度，从中探寻传统文化、东方哲学的美学价值。4篇建筑作品历程书写——王澍的著名建筑作品包括中国美院象山校区、宁波美术馆等，在本书中，从设计开端、建造过程，直至建成后续，作者用深入浅出的语言，还原这些作品的诞生历程。从中，我们看到的是作者对于“好的建筑”以及“如何做出重返传统的当代建筑”的深入思考。6篇散文随笔1篇对谈——作者漫谈个人经历、社会与人生，更触及当下人关心的居住空间等话题，大师的成长历程和人文情怀一览无遗。本书从建筑出发，却不止于建筑，更是一本探讨中国传统文化当代性的著作。传统文化的当代性一直是这些年学界反复思索和讨论的重要课题，王澍以自己的学术素养，以及营造经验，构建出独特的关于东方美学的审美体系，也给出传统文化进入当代的路径，这对于当下有非常重要的学术参考价值。,7,835,0,32.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/679/29192679/s_29192679.jpg
隈研吾谈建筑,2021-07-01 00:00:00,艺术-建筑,从1964到2020，看隈研吾解读日本现代建筑六十年。个人经历+时代记忆，隈研吾的回忆录+建筑文化小传。从1964年到2020年，日本建筑界风云变幻的60年，也是作者隈研吾的60年。他从大仓山脚下的小屋一路蹒跚走来，经历了对现代主义建筑的憧憬到幻灭的过程，从纽约到东京、再到世界各地，一边工作一边寻求理想的建筑形态，直至今日，终于站在世界建筑的舞台上。作者隈研吾截取了他人生中四个重要的节点，以自身的所见、所闻、所感，为读者梳理了日本现代建筑在社会经济影响下的发展和变化，同时将自己对建筑的理解、自我心态的转变以及对未来建筑的展望一一道明。,17,881,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/438/40681438/s_40681438.jpg
中国建筑常识,2017-08-01 00:00:00,艺术-建筑,《中国建筑常识》精心选取林徽因关于建筑学方面的文章，包括中国古代建筑传统及其历史发展阶段的详细论述，以及外出考察古建筑的调查报告。因其内容科学严谨，文字清新凝练，将专业知识、美学思想熔铸于散文化的讲述之中，既可以看做资深建筑学家的学术文章，也可以当成著名散文家有关建筑的优美篇章。书中亦附有专业图表，图文并茂，入之深而出之显，既可作为建筑研究者的参考书，亦可成为普通读者的入门读物。,5,751,0,13.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/779/919779/s_919779.jpg
《营造法式》注释与解读,2018-02-01 00:00:00,艺术-建筑,《营造法式》被誉为“中国古代建筑的宝典”。全书共三十六卷，其中图样六卷，几乎囊括了当时建筑工程以及与建筑相关的各个方面，把当时和前代工匠的建筑经验加以系统化、理论化，提出了一整套木构架建筑的模数制设计方法，并提供了珍贵的建筑图样。全书体系严谨、内容丰富，是中国古代建筑科学技术的一部百科全书。本书对原著文字部分进行了注释和解读，将图样部分的图有选择性地插入内文合适的地方，形成了“古文配古图，古图释古文”的特点。另外，在“原典图说”版块中，编者对原著中涉及的相关建筑，不仅配上了实景图，还进一步给予了专业性的解读。这不仅让读者对古典建筑有一个直观的了解，而且还融学术性、趣味性和欣赏性为一体，是古籍中难得的优秀读本。本书适合建筑师、建筑史学者、建筑专业师生、建筑爱好者、艺术设计专业师生以及相关专业人员阅读。,92,937,0,89.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/870/29973870/s_29973870.jpg
中国传统建筑十五讲,2010-06-01 00:00:00,艺术-建筑,《中国传统建筑十五讲》依据作者在北大开授中国传统建筑通选课的讲义而成，该课程在北大很受欢迎，是历年来最为学生喜爱的课程之一。《中国传统建筑十五讲》与通常讲述中国传统建筑的著作相比，突出了中国传统建筑的人文特质，尤其注重思考在当下西方建筑观念和建筑设计占据强势的情况下，如何挖掘和发展中国传统建筑中的精华。与此同时，作者也全面地介绍了中国传统建筑的各种类型，宫殿、园林、佛塔、桥梁等，并配有大量插图，与精湛的文字相得益彰。,29,783,0,16.81,https://wfqqreader-1252317822.image.myqcloud.com/cover/619/24274619/s_24274619.jpg
走向新建筑,2016-06-01 00:00:00,艺术-建筑,“20世纪20年代初，石头缝里迸出了一个孙猴子，柯布西耶出版了《走向新建筑》，造了玉皇大帝的反。”《走向新建筑》被称为“一本奇书”、“一本极重要的书”、“一本永远不会磨灭的书”，“它把几千年来的建筑价值观颠倒过来了”。几千年的建筑史无非是帝王将相宫殿庙宇的历史……他关心为普通而平常的人使用的普通而平常的住宅，将其当作建筑学的基本层次，而任凭宫殿倒塌。他关心人的尺度，强调恢复人道的基础，需要的标准、功能的标准、情感的标准，认为这就是一切。他提出了建筑必须走平民化、工业化、功能化道路，反对搞虚假装饰的古典主义；提出“住宅是住人的机器”这句划时代的名言，并建立了现代建筑的美学观念“工程师美学”。他的彻底性和坚定性，他的石破天惊的理论和观念，对世界现代建筑的形成和发展产生了重大而深刻的影响。,18,772,0,29,https://wfqqreader-1252317822.image.myqcloud.com/cover/250/24906250/s_24906250.jpg
空间的诗学（译文经典）,2013-07-01 00:00:00,艺术-建筑,本书初版于1957年。在现代主义晚期建筑文化快要窒息的氛围中，此书从现象学和象征意义的角度，对建筑展开了独到的思考和想象。作者认为，空间并非填充物体的容器，而是人类意识的居所，建筑学就是栖居的诗学。书中最精彩之处，莫过于对亲密空间的描绘与想象。他指出，家是人在世界的角落，家的意象反映了亲密、孤独、热情的意象。我们在家屋之中，家屋也在我们之内。我们诗意地建构家屋，家屋也灵性地建构我们。,27,777,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/813/25926813/s_25926813.jpg
不只中国木建筑,2018-04-01 00:00:00,艺术-建筑,对传统的每一次深情回望，都让我们心生敬意。这是一本可以让你很享受的关于中国传统木建筑的普及读物，然而又不只是讲中国传统木建筑，更是讲中国的传统文化，中国的传统艺术。作者赵广超先生从“家”开始，述说中国人将“家”与自然共处一室，把你带入中国传统木建筑的大门，接着是伐木、文字 、高台、标准、结构、斗栱……四合院 、风水、园林、装饰等篇章，没有教科书的刻板，有的是谐趣甚至诗意隽永的语言，借着建筑与中外文化甚至中国古典诗词之间的联系，将中国传统木建筑文化娓娓道来。,16,859,0,47.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/130/25790130/s_25790130.jpg
