title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
故事：材质、结构、风格和银幕剧作的原理,2014-09-01 00:00:00,艺术-影视,“好莱坞编剧教父”罗伯特麦基30年授课“故事”培训班的精华梳理，全世界编剧经典之选，当然也适用于小说家们。自1997年初版以来，《故事》一直是全世界编剧必读经典，至今，仍属于美国亚马逊最畅销图书中的Top1%。本书集结了罗伯特·麦基30年的授课经验，在对《教父》《阿甘正传》《星球大战》等经典影片的详细分析中，清晰阐述了故事创作的核心原理，其指导意义不应只被影视圈的人所认识，更应得到小说创作、广告策划、文案撰写人才的充分开发。,4,867,0,28,https://wfqqreader-1252317822.image.myqcloud.com/cover/797/568797/s_568797.jpg
救猫咪：电影编剧指南,2020-12-01 00:00:00,艺术-影视,《救猫咪：电影编剧指南》是好莱坞知名编剧、剧本导师布莱克·斯奈德的代表作。这是一本简练、清晰的实战派指导手册，它不讲玄而又玄的原理理论，而是坦诚地传授好莱坞商业电影的经典写作套路和技巧，直截了当，上手即用。从让主人公“救猫咪”，到一句话故事，到结构节奏，再到推销剧本时必须注意的风险和机遇，作者结合自身多年的职业经验，对于商业剧本写作的方方面面都给与了细致清晰的解答。而且，还非常好笑。对于编剧新手来说，这是一本写满通关答案的“作弊纸”；对于职业编剧来说，这是一本常读常新的实用工具书。当然，它也适用于小说家、文案写作者，以及那些希望破解好莱坞套路的影迷们。,11,863,0,39,https://wfqqreader-1252317822.image.myqcloud.com/cover/524/36744524/s_36744524.jpg
贾想Ⅰ：贾樟柯电影手记（1996—2008）,2017-06-01 00:00:00,艺术-影视,"本书稿是著名电影导演贾樟柯第一部回顾其电影创作和思路历程的著作，也是对其1996到2008年这十余年来导演生涯的梳理与总结，全景记录了这些年来其思考和活动的踪迹。此书2009年由北京大学出版社首次出版，此次经作者重新修订，改版推出。书中收录了贾樟柯导演生涯各时期对电影艺术孜孜不倦的探索和独特的思考，另有多篇与电影界、艺术界、媒体等多领域关键人物的代表性访谈。全书以贾樟柯所拍电影为纲，所有收录文章以发表的时间顺序排列，呈现出导演个人敏感而执着的心路历程，也体现出贾樟柯以电影抒写乡愁的深切情怀。
",14,820,0,24.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/738/921738/s_921738.jpg
电影批评,2004-03-01 00:00:00,艺术-影视,《电影批评》是“教育部人才培养模式和开放教育试点教材”之一种。作者从具体电影的批评方法入手来进行《电影批评》写作，具有文学案例研究的方式。在进入具体的文本分析之前，《电影批评》作者先简洁而概要的介绍这一种批评理论的大致情况，比如批评对象、理论来源、主要内容等等，然后再进入到对具体电影文本的解读和分析，这样学生可以非常细致的了解怎样进行电影批评。,12,843,0,11.15,https://wfqqreader-1252317822.image.myqcloud.com/cover/786/24272786/s_24272786.jpg
演员自我修养,2017-07-01 00:00:00,艺术-影视,《演员自我修养》是斯坦尼知名的代表作，一本写了三十多年的书，为了完善、修改它，斯坦尼几乎用了一辈子；《演员自我修养》以日记体的叙事方式，戏剧学校师生课堂对话的视角写就，详细阐述了演员在形体、发声、性格、思维逻辑等方面所应具备的素养；其中涉及的各个方面经无数表演工作者成功检验，是斯坦尼斯拉夫斯基表演体系的精华所在；不仅是一部关于演员职业、责任的工具书，也是一部关于成长、生活和人生的巨著。,5,840,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/873/918873/s_918873.jpg
刀与星辰,2021-05-01 00:00:00,艺术-影视,这是一本影评集。徐皓峰的影评被很多专业读者称为“惊艳之作”。影评的写法有很多种，尤其忌讳教条和千人一面。徐皓峰有着自己的写法，张艺谋、陈凯歌、李安、吴宇森等导演的电影，被作者装进自己知识的筐子里，却没有贩卖思想和人生哲理之嫌。其涉猎的兵器、武技、佛道、围棋等知识，随意出手，点缀其中，用以解析电影中一个个角色和情节。从颇受瞩目的大制作《卧虎藏龙》《赤壁》《十面埋伏》，到独具风格的《放·逐》《春夏秋冬又一春》，作者的美学体系、文化观念自成一体，恣意放笔，文风犀利，观点独到，态度直率，尽显其趣味所在，与他的电影、小说创作浑然一体。,13,825,0,42,https://wfqqreader-1252317822.image.myqcloud.com/cover/738/38245738/s_38245738.jpg
编剧的艺术,2020-03-01 00:00:00,艺术-影视,畅销70年，一本享誉世界的编剧写作宝典。戛纳电影节最佳编剧奖得主、编剧梅峰推荐。国内十位专业电影人万字导读推荐。启示伍迪·艾伦三次摘获奥斯卡原创剧本奖。美国、英国等世界多国院校影视专业指定教材。好莱坞一线编剧人手一本的案头工具书。连年稳居亚马逊剧本写作类专业书籍TOP前10。电影理论家大卫·波德维尔强烈推荐。适用于电影电视、小说、新闻等多领域的文体写作。《编剧的艺术》是一本论述编剧方法的名著。首版于20世纪40年代，作者挑战了亚里士多德的“情节首要”观念，提倡将写作的核心聚焦到变化丰富的人物之上。本书对国内外戏剧理论界影响深远，直到现在仍然是编剧们不可或缺的案头工具书。全书按照戏剧写作的基本要素，分为“前提” “人物” “冲突”与“综述”四大章节。文中首创性地提出了“人物动机推进情节”的写作方法，并指出创作一部成功的剧作需要一个结构明晰的前提，具有生理、社会、心理三维度信息完备的人物，以及升级型冲突与冲突的预示。书中大量引用《玩偶之家》《罗密欧与朱丽叶》《伪君子》等享誉世界的经典名作，巨细无遗地分析了这些作品的架构、人物的对话与冲突类型，为深度阐述一部剧作的成败提供了详实的例证。文中还加入了多个提问环节，追根溯源地解答了编剧们在写作过程中遇到的疑难。作者文风犀利，一气呵成，虽然全文旁征博引，但简明易懂，是一本具有很高文学价值的剧作论著，其方法也适用于电影电视、小说、新闻等多领域的文体写作。,13,828,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/197/31702197/s_31702197.jpg
赖声川的创意学,2011-08-01 00:00:00,艺术-影视,畅销经典，首次增入赖声川亲笔——“赖声川创作笔记”。创意虽神秘，也是可以“学”的。在这里，赖声川提出一整套创意理念，从灵感的产生到实践转化，总结出“创意金字塔”模型。赖声川结合生活体验、作品案例，分享积累多年的创作和教学经验，解析创意生成和实现的过程，实用，开放，引人思索。本书不仅写给创意产业工作者，每个普通人也可以有所领悟，激发创意，高品质生活。,7,754,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/785/857785/s_857785.jpg
电影是什么？,2019-06-01 00:00:00,艺术-影视,本书依据权威版本，遴选包括《查理·卓别林》《凡尔杜先生的神话》《〈舞台春秋〉，或者，莫里哀之死》《海报女郎的形态学研究》等28篇名文。通过这本著作，我们可以清晰地看到巴赞始终坚持电影本体研究，所写文章涉及电影本体论、电影社会学、电影心理学和电影美学等诸多话题，为他赢得了“电影的亚里士多德”的崇高荣誉。他推崇电影现实主义美学，并提出了“电影是现实的渐近线”和场面调度理论。在巴赞与《电影手册》的推动下，法国电影在二战后兴起了新浪潮运动。,9,806,0,33,https://wfqqreader-1252317822.image.myqcloud.com/cover/150/33276150/s_33276150.jpg
戏剧艺术十五讲(修订版),2019-04-01 00:00:00,艺术-影视,本书是在大学戏剧课程讲义基础上整理而成的，从理论、历史、实践三个“维度”上讲授戏剧艺术的基本理论与相关知识，既注重知识性、趣味性、普及性，又不忽视学科前沿的重要问题。面向大、中学生，戏剧影视从业人员，以及爱好文学、戏剧的广大读者，帮助他们学习戏剧艺术的基础理论和相关知识。此次进行了全书的修订，吸收了新的研究成果，更有针对性，如加大了戏剧教育一讲的比重等，注重实践性，更适应艺术院校的教学需要。,15,885,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/673/26831673/s_26831673.jpg
