title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
江湖丛谈（注音注释插图本）,2019-05-01 00:00:00,艺术-民艺,《江湖丛谈》可谓一本不可多得的奇书。它是我国现存仅有的一部全面介绍江湖行当、行话和内幕的书。作者是已故评书大家连阔如。20世纪30年代，他以云游客的笔名，在北平《时言报》发表长篇连载《江湖丛谈》。1938年由时言报社结集出版，共三集。这本书除了介绍北平天桥、天津三不管等地的变迁以及艺人小传、艺人生活状况外，还以大量的篇幅着重记述和揭露了清末至20世纪30年代这一时期江湖行当的内幕以及危害社会的种种骗术，劝诫人们不要贪便宜上当受骗。,22,917,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/25736038/s_25736038.jpg
中国经典纹样图鉴,2021-01-01 00:00:00,艺术-民艺,本书收录了上至新石器时代马家窑彩陶、商周时代青铜器上的纹样，下至元、明、清时期及近现代瓷器、织物上的纹样，共80种，近200张中国经典纹样。这些纹样包括兽面纹、花卉纹、动物纹等具象纹样，还包括万字纹、几何纹等抽象纹样。书中对每一种纹样都进行了简单介绍，并讲解了其结构和应用。每一张纹样图都经过重新设计绘制，并拆分了单独纹样，提取了中国传统色谱的色值，以方便读者理解和使用。本书适合传统文化爱好者、美术从业者及设计师等阅读和参考。,26,766,0,129.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/227/36090227/s_36090227.jpg
物尽其用：老百姓的当代艺术,2011-05-01 00:00:00,艺术-民艺,全书分为三部分：第一部分，是巫鸿就该项目的思想意义、其中蕴含的家庭伦理价值所进行的学术思辨。第二部分是全书的主体，以衣食住用为大类，每类下各设小类，展示其每一类的收藏，并由赵湘源和宋东口述关于这些物件的记忆，里面包含了浓郁的亲情，亲人之间相濡以沫的相亲相爱。第三部分，是不同背景的人参观过《物尽其用》展览后的感想与评论。,9,700,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/484/567484/s_567484.jpg
鸟类图案设计图典,2019-04-01 00:00:00,艺术-民艺,这是一本汇集了两千余种鸟类各种姿态的装饰图案书，是在对各种鸟类的自然生态规律、运动姿态和神情气韵充分了解及研究的基础上，运用黑白装饰的语言，充分发挥点、线、面和黑、白、灰而构成的精美图案书。书中既有古朴、粗犷、浑厚的表现，又有精致、灵巧或雅拙的刻画；既有单纯、随意的描写，又有繁缛、周密的雕琢；并且包容了从传统到现代、从中国到世界各国的装饰设计方法。主要介绍了鸟类图案的历史演变、鸟的分类、中国传统图案中的鸟类纹样、中国民间艺术中的鸟类纹样、中国鸟图案的吉祥观念、外国图案中的鸟类纹样、近现代设计中鸟类图案的运用、鸟图案构成的形成特点、鸟图案的节奏韵律法则。中国的鸟类图案装饰艺术，经过数千年的发展与改进，在造型和纹饰方面都取得了令人叹为观止的成就。,5,719,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/887/25680887/s_25680887.jpg
长物志,2020-05-01 00:00:00,艺术-民艺,《长物志》是关于生活的艺术，集中国式审美朴、雅、幽 之大成的书。全书共分12卷269小节，记载内容包括：室庐、花木、水石、禽鱼、书画、几榻、器具、位置、衣饰、舟车、蔬果、香茗等，广泛涉及衣、食、住、行、用、赏、鉴、藏各个领域，其中所宜所忌，所雅所俗，所是所非，所贵所贱，言简意赅，皆有定语。“长物”本意指身外多余之物，但对于古代文人雅士来说，于内，寄托其审美情趣、审美理想及品格意志；于外，则借以展其韵、才和情。文震亨所代表的这一脉美学，对于当代人营造宜居生活环境，及内修外化，具有重要的启示意义。本版以国家图书馆藏明刻本为底本，参考清代砚云书屋刻本、文渊阁本、民国商务印书馆标点排印本及近现代陈植校注本等全新精校，邀请明代艺术史研究专家蒋晖全新注释。收录诸百科图录类书如宋龙大渊《古玉图谱》、明项元汴《历代名瓷图谱》等的相关绘画，并以文震亨曾祖文徵明为代表的书画大家近百幅相关珍藏名画，帮助读者进入《长物志》的美学世界。首次附录作者文震亨相关书画、诗词作品，个人年谱及家族人物谱，展现晚明文人雅士之风貌。,27,818,0,28,https://wfqqreader-1252317822.image.myqcloud.com/cover/88/31503088/s_31503088.jpg
“小书大传承”非物质文化遗产通识读本：二十四节气,2021-06-01 00:00:00,艺术-民艺,"二十四节气是我国古代干支历中表示季节、物候、气候变化以及确立“十二月建”的特定节令，是我国古代人民对天文、气象进行长期观察、研究的产物，表达了人与自然宇宙之间独特的时间观念，蕴含着中华民族悠久的文化内涵和历史积淀，是中国非物质文化遗产的重要组成部分。
本书基于向青少年及社会大众普及二十四节气知识的目的，对每个节气的所处时间及气候特征、古代文献、相关民俗及农事活动等做了深入浅出的介绍，以期让读者能更好地明白二十四节气的起源及背后的深层文化内涵。全书语言生动流畅，既有学术的严谨，又富于趣味性与可读性，同时书中还配有大量极具民俗特色的插图，非常适合社会大众及青少年读者阅读。",5,0,0,12.5,https://weread-1258476243.file.myqcloud.com/weread/cover/86/3300017486/s_3300017486.jpg
留住手艺（修订版）,2012-09-01 00:00:00,艺术-民艺,这本书记录的人物，或许将是日本最后一批传统手工艺者，他们和他们的祖辈千百年来取法自然，用树皮、藤条、篠竹等天赐之物编织布匹、打造工具、维持生活，由于工业化和全球化的冲击，这些精巧的手工技术濒临灭绝，匠人们依靠双手世代传承的宝贵记忆也终将无处安放，著名作家盐野米松二十余年来走遍日本，倾听和记录下了不同业种的匠人们的生活，本书选取了其中十六位手工艺人的访谈，系统而忠实地呈现了他们不为人知的处境和精细美妙的作品。,6,677,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/795/857795/s_857795.jpg
南京云锦,2014-04-01 00:00:00,艺术-民艺,南京云锦是中国古老的丝织技艺的杰出代表，位于中国三大名锦之首，元、明、清三朝均为皇家御用品，有“东方瑰宝”、“中华一绝”的美誉，2006年被列入中国第一批国家级非物质文化遗产名录；2009年被收入联合国教科文组织人类非物质文化遗产代表作名录。《南京云锦》一书着重介绍其历史发展过程、技艺特点、及其在当代中国工业化背景下的处境与状况。,5,853,0,9,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/812612/s_812612.jpg
唐卡艺术全书（彩图精装）,2014-06-01 00:00:00,艺术-民艺,宛华编著的这本《唐卡艺术全书》分别从雪域高原的珍宝、唐卡的制作方法、唐卡的收藏与鉴赏、唐卡中的佛教基本观、唐卡中的历史传说、藏传佛教中的祖师、唐卡中的诸尊、唐卡中的曼荼罗、唐卡中的建筑物、唐卡中的藏医药等lO个方面介绍唐卡艺术及其承载的文化。本书首先介绍唐卡的基础知识、制作方法及鉴赏知识，让读者对唐卡有一个基本的认识。然后按照唐卡的不同题材内容，分列唐卡中所描绘的佛教基本观、历史传说、各派祖师、神佛诸尊、曼荼罗、建筑物和藏医药等内容，精选数百幅精美的唐卡作品，逐一详细分析和解说，让读者对唐卡有一个全面而理性的认识。,18,857,0,5.96,https://wfqqreader-1252317822.image.myqcloud.com/cover/396/813396/s_813396.jpg
“小书大传承”非物质文化遗产通识读本：陶瓷,2017-12-01 00:00:00,艺术-民艺,"从新石器时代开始，华夏大地上的先民们就大量使用陶器，商周时期出现了原始青瓷，至东汉时真正的瓷器诞生了，唐代以来瓷器作为中国的特色商品走向世界，获得世界人民的青睐，千百年来一直在国际上享有极高的声誉。China， “中国”的译音，将我们伟大的国家和瓷器永远地连在了一起。中国是世界著名的陶瓷古国，从原始社会的先民制造陶器开始，到原始瓷器的出现，最终产生质的飞跃，烧造出真正的高温瓷器，成为世界上*早发明瓷器的国家，陶瓷艺术在中国经历了近万年的历史，产生了源远流长的陶瓷文化。我们追溯中国陶瓷发展史，也就是在追溯中华文明的发展史。
本书是一本关于中国陶瓷艺术的普及读物，分为中国陶瓷发展历史概述、传统陶瓷的分类、传统陶瓷制作工艺与技法介绍、传统陶瓷的主要产地及艺术特色与传统陶瓷的文化内涵五部分，比较全面地介绍了中国非物质文化遗产重要组成部分的陶瓷的相关知识。",3,550,0,15,https://weread-1258476243.file.myqcloud.com/weread/cover/28/3300017428/s_3300017428.jpg
