title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
大话中国艺术史,2022-03-01 00:00:00,艺术-理论,"句句有梗，一口气读完10000年中国艺术史。
本书从原始社会的陶器说起，内容涵盖了陶器、玉器、青铜器、草书、行书、山水画、工笔画等多种中国特有的艺术形式，时间跨越了秦、汉、唐、宋、元、明、清、近代等多个时期。
意公子用她独有的视角，以时间为写作脉络，通过我们耳熟能详的艺术珍品串联起了这波澜壮阔、脉络纵横的艺术历程，配上简洁生动幽默风趣的语言和丰富精美的图片，带领读者重现认识中国艺术的发展脉络，体会中国艺术的精神内涵，感受中国这片土地独有的艺术色彩。",10,888,0,118,https://weread-1258476243.file.myqcloud.com/weread/cover/46/3300010746/s_3300010746.jpg
现代艺术150年：一个未完成的故事,2017-03-01 00:00:00,艺术-理论,如果我们还能从一百五十多年前莫奈的《日出》、梵高的《星空》中，依稀辨认出艺术“原来”的模样，那么，一百五十年后安迪·沃霍尔的金汤宝罐头、达米恩·赫斯特的腌制鲨鱼，还有翠西·艾敏乱糟糟的床，足以让我们看到艺术的其他可能。回顾现代艺术一个半世纪的反叛之路，我们见证了一代又一代人如何变得愈发反叛、大胆、混乱。这背后，是艺术家对“何为艺术”的无尽追问，是他们对周遭世界的回应与抵抗。现代艺术的故事仍在继续，也许永远不会完成。,11,874,0,48.75,https://wfqqreader-1252317822.image.myqcloud.com/cover/705/29348705/s_29348705.jpg
大话西方艺术史,2020-02-01 00:00:00,艺术-理论,句句有梗的极简艺术史。头号艺术自媒体意外艺术八年积累诚意之作！30000年艺术历程 · 150件名画经典 · 40位艺术大师 · 20个艺术流派。用浅白风趣奇葩的方式，讲出深沉丰厚宽广的艺术史。零压力掌握艺术史知识框架，短时间提升审美品位，就看这本书！读完这本书，你一定会从此爱上艺术，收获更优秀的自己！一读就懂，轻松入门，迅速建立西方艺术史框架从洞穴壁画到当代艺术，掌握欣赏名画的方法，了解艺术背后的文明。一本书厘清3万年艺术史脉络。本书用浅白风趣的语言和逻辑清晰的脉络，梳理了30000多年西方艺术史的精髓，帮助你迅速构建完整的艺术史认知框架，提升你在生活中的独立审美意识。从艺术的起源、西方文明的源头开始，经过文艺复兴、巴洛克、新古典主义，再到浪漫派、印象派乃至20世纪之后的当代艺术，这些名目繁多的流派、艺术家和代表作，经由意公子轻松有趣的解读逐一串连，配合书中丰富精美的图片以及关键词索引附录，满足你阅读的不同需求。在这里不仅可以学到艺术领域的基础知识，也可以找到欣赏艺术作品的方法。这本句句有梗的极简艺术史，你值得拥有。,13,763,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/269/30067269/s_30067269.jpg
对立之美：西方艺术500年,2021-04-01 00:00:00,艺术-理论,《对立之美：西方艺术史》采用“二元对立法”为大众讲述西方艺术史，作者在研究对象众多的艺术史中，找到同一时期成就高且又风格迥异的两位艺术家，对他们进行研究、归纳，为读者建立西方艺术史的坐标系，帮助读者系统地了解西方艺术史，让读者在阅读本书之后触类旁通，透过历史看艺术，再透过艺术看历史，方能知其然，也知其所以然。《对立之美：西方艺术500年》把艺术家、艺术品所处年代的社会背景打通介绍，捋清脉络和关系，还原艺术史的真相。理解一条逻辑线：用“二元对立法”理清古希腊至今的艺术流派产生、发展、流变背后的逻辑。认识200位艺术界超级IP：帮你搞清至少200位人类历史上伟大的艺术家的300件艺术品。熟悉艺术专业术语：大到“三位一体”、文艺复兴，小到失点、延音，无论是大众熟知的，还是艰深晦涩的，所有艺术专业术语，你都将不仅知道是什么，还能知道为什么。,13,836,0,117.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/297/38478297/s_38478297.jpg
陈丹青《局部》（套装全3册）,2020-12-01 00:00:00,艺术-理论,艺术纪录片《局部》，三季内容全收录。没有教条、远离陈词滥调，跟随陈丹青的艺术直觉，把缺失的美术教育补回来。视频之外，文字的魅力无可取代。三季内容，补充近万字，甄选艺术史上千余幅“局部”。即是随笔又是艺术画册。,10,923,0,295.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/851/36206851/s_36206851.jpg
大美中国（套装全八册）,2018-05-01 00:00:00,艺术-理论,本书通过对我国古代大量文明遗产（包括各类工艺品、美术作品、音乐舞蹈作品、文学作品、建筑、器具、各类文献等）严谨详细地审视，透过古代各特定时期的生产方式、生活方式、信仰方式、思维方式等多重因素对这些审美对象的渗透和影响，以及这些审美对象自身发展演变的规律（如自由与法则的关系、朴素与繁华的关系、通俗与典雅的关系、写实与写意的关系、壮美与优美的关系等）的考察和研究，为我们清晰地展现和勾勒出中国古代审美文化史的演进轨迹。,25,912,0,210,https://wfqqreader-1252317822.image.myqcloud.com/cover/399/26675399/s_26675399.jpg
中国美术史,2020-03-01 00:00:00,艺术-理论,古画流传至今，辨真伪难，断代亦难。本书选择中国美术史中具有代表性和典型性的，能够体现民族独特的审美理想和思想观念的美术种类、美术流派、美术家、美术作品和美术理论，加以扼要介绍，以期读者对中国美术史的发生、发展和演变及其文化背景有一个概括了解。,17,775,0,115.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/811/39983811/s_39983811.jpg
艺术学概论,2006-08-01 00:00:00,艺术-理论,《艺术学概论》内容分为三编：上编为艺术总论，系统论述了艺术的本质与特征、艺术的起源、艺术的功能、文化系统中的艺术。中编为艺术种类，把艺术分为5大部类16门艺术，从美学和文化学的角度进行了阐述，并且通过对中外28个经典作品的读解与分析，帮助大学生加深对艺术作品的理解，并掌握鉴赏作品的方法。下编为艺术系统，对艺术创作、艺术作品、艺术鉴赏进行了全面介绍。《艺术学概论》注重从美学和文化学的角度来研究艺术，力求探索和发掘艺术的人文精神；吸收了国内外最新研究成果，在体系和内容上都有新的拓展；论述深入浅出、例证丰富，由感性认知到理性升华，符合学生的认知规律。《艺术学概论》可供高等院校素质教育与艺术教育使用，也是文艺理论研究者和爱好者的必备参考书。,8,854,0,23.54,https://wfqqreader-1252317822.image.myqcloud.com/cover/252/24273252/s_24273252.jpg
浮世绘,2020-10-01 00:00:00,艺术-理论,浮世绘被誉为“日本民俗的百科全书”，是流行于日本江户时代（1601-1867）、出自民间画工的版画艺术，以花魁美人、歌舞伎演员、春宫魅惑、民俗风景、花鸟虫鱼等社会风俗为主要题材，表现当时社会各阶层的生活百态和流行时尚。中国浮世绘研究权威潘力清晰地讲述了浮世绘300年的兴衰史。鸟居派、歌川派、怀月安度堂派等7大流派的来龙去脉，喜多川歌麿、葛饰北斋、歌川广重等31位大师的生平故事与艺术成就，《歌撰恋之部》《富岳三十六景》《名所江户百景》等200多幅经典作品的风格解析，都在书中得到了完美展现。每一幅浮世绘都承载着丰富的日本民俗文化密码，只有巨细无遗地解锁这些信息，才能说是真正看懂浮世绘，也才能对日本文化有更准确的认识。——潘力,15,944,0,78.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/705/36557705/s_36557705.jpg
理想国·BBC艺术经典三部曲：《文明》《新艺术的震撼》《艺术的力量》,2019-01-01 00:00:00,艺术-理论,本套共3本书，《文明》《新艺术的震撼》《艺术的力量》.艺术为文明而生，《文明》以艺术之名。欧洲文明如何由艺术来谱写？绘画、雕刻、建筑、文学和音乐是文明最直接的表现。克拉克以其广博的知识和笃定的判断，回顾了欧洲自罗马帝国灭亡以来的艺术发展，将文明的进程娓娓道来。我们将在书中看到：艺术家在怎样的时刻，如何摆脱时代的束缚？艺术又是历经怎样的时期，如何穿越时空的羁绊？何谓持久的成就，何为短暂的时尚？笔触彪悍、言辞生猛的现代艺术史。《新艺术的震撼》以八个理解现代艺术的重要主题为框架，多维角度勾画出西方艺术的百年流变——1780年的异域情调，如何成为1880年的新鲜论调，又何以沦为1980年的陈词滥调。作者以犀利精妙的笔触，探求艺术更为完整的真实——艺术与社会时代的关系。《艺术的力量》聚焦八件无与伦比的大师之作，从卡拉瓦乔的大卫和歌利亚，到毕加索的格尔尼卡。作者西蒙·沙玛将我们从美术馆的舒适区里赶出来，以扣人心弦的讲述再现了波澜壮阔的历史情境——八位艺术家历经种种不甘与不堪，孤注一掷的时刻。“艺术有什么用？”八件杰作给出了各自的回答。,37,905,0,307.32,https://wfqqreader-1252317822.image.myqcloud.com/cover/137/25456137/s_25456137.jpg
